path,source_guess,dataset_guess,raw_or_processed,file_type,rows,columns,date_min,date_max,n_teams,n_competitions,file_size_bytes,modified_time,notes
/Users/marco/Documents/Projects/worldcup-forecast-r/data/metadata/data_inventory.csv,pipeline metadata,data_inventory,metadata,csv,8912,14,NA,NA,NA,NA,1793065,2026-05-28 19:22:46.462824,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/metadata/source_manifest.csv,pipeline metadata,source_manifest,metadata,csv,10295,6,2026-05-27,2026-05-28,NA,NA,2913514,2026-05-28 16:19:47.30882,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_360.csv,StatsBomb Open Data,statsbomb_360,processed,csv,21561945,13,NA,NA,NA,NA,6021589725,2026-05-28 18:31:04.035285,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_competitions.csv,StatsBomb Open Data,statsbomb_competitions,processed,csv,80,12,NA,NA,NA,24,10923,2026-05-28 15:46:55.777218,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_competitions.rds,StatsBomb Open Data,statsbomb_competitions,processed,rds,80,12,NA,NA,NA,24,2452,2026-05-28 15:46:55.777921,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_events.csv,StatsBomb Open Data,statsbomb_events,processed,csv,13911986,45,NA,NA,NA,NA,6031105087,2026-05-28 16:17:39.369233,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_lineups.csv,StatsBomb Open Data,statsbomb_lineups,processed,csv,152133,13,NA,NA,NA,NA,61528551,2026-05-28 16:19:33.193408,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_matches.csv,StatsBomb Open Data,statsbomb_matches,processed,csv,3961,26,1958-06-24,2025-07-27,353,24,993877,2026-05-28 15:46:57.65876,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_matches.rds,StatsBomb Open Data,statsbomb_matches,processed,rds,3961,26,1958-06-24,2025-07-27,353,24,76399,2026-05-28 15:46:57.674727,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/statsbomb_shots.csv,StatsBomb Open Data,statsbomb_shots,processed,csv,101227,30,NA,NA,NA,NA,35944477,2026-05-28 16:17:39.448701,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/football_data_uk_matches.csv,football-data.co.uk,football_data_uk_matches,processed,csv,177295,36,1993-07-23,2024-06-02,564,15,40556251,2026-05-28 19:32:38.640269,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/football_data_uk_matches.rds,football-data.co.uk,football_data_uk_matches,processed,rds,177295,36,1993-07-23,2024-06-02,564,15,2789207,2026-05-28 19:32:39.826829,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/football_data_uk_matches_core.csv,football-data.co.uk,football_data_uk_matches_core,processed,csv,177295,36,1993-07-23,2024-06-02,564,15,40556251,2026-05-28 19:32:38.840362,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/football_data_uk_odds_wide.csv,football-data.co.uk,football_data_uk_odds_wide,processed,csv,177295,169,1993-07-23,2024-06-02,564,NA,122181275,2026-05-28 19:32:39.165064,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/international_goalscorers.csv,martj42/international_results,international_goalscorers,processed,csv,47601,14,1916-07-02,2026-03-31,220,NA,12667813,2026-05-28 16:19:48.352081,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/international_results.csv,martj42/international_results,international_results,processed,csv,49257,21,1872-11-30,2026-03-31,336,198,13661940,2026-05-28 16:20:22.808903,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/international_results.rds,martj42/international_results,international_results,processed,rds,49257,21,1872-11-30,2026-03-31,336,198,1183503,2026-05-28 16:20:23.001738,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/processed/international_shootouts.csv,martj42/international_results,international_shootouts,processed,csv,677,11,1967-08-22,2026-03-31,230,NA,164053,2026-05-28 16:19:48.469567,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3764440.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,10103522,2026-05-28 13:07:07.00707,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3764661.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9646454,2026-05-28 13:07:07.976112,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773369.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,11502409,2026-05-28 13:07:08.812465,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773372.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8853348,2026-05-28 13:07:09.524774,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773377.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8942566,2026-05-28 13:07:10.278106,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773386.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8855420,2026-05-28 13:07:11.169289,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773387.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8701921,2026-05-28 13:07:11.956775,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773403.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8833527,2026-05-28 13:07:13.245461,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773415.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9703012,2026-05-28 13:07:13.663955,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773428.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8961091,2026-05-28 13:07:15.000709,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773457.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9595025,2026-05-28 13:07:15.987561,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773466.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8079387,2026-05-28 13:07:16.615543,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773474.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9414674,2026-05-28 13:07:17.57331,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773477.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9038631,2026-05-28 13:07:18.361736,NA
