source,dataset,url,local_path,downloaded_at,notes
StatsBomb Open Data,competitions,https://raw.githubusercontent.com/statsbomb/open-data/master/data/competitions.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/competitions.json,2026-05-27 09:48:13.550656,Open professional-style football data; JSON export from StatsBomb Open Data
StatsBomb Open Data,events_15946,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/15946.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/15946.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_15956,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/15956.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/15956.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_15973,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/15973.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/15973.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_15978,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/15978.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/15978.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_15986,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/15986.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/15986.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_15998,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/15998.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/15998.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16010,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16010.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16010.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16023,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16023.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16023.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16029,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16029.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16029.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16056,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16056.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16056.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16073,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16073.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16073.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16079,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16079.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16079.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16086,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16086.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16086.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16095,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16095.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16095.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16109,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16109.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16109.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16120,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16120.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16120.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16131,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16131.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16131.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16136,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16136.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16136.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
