source,raw_team,team_clean,canonical_team,notes,elo_team,elo_team_clean
world_football_elo,Abkhazia,abkhazia,Abkhazia,auto_initialized,NA,NA
world_football_elo,Afghanistan,afghanistan,Afghanistan,auto_initialized,NA,NA
world_football_elo,Albania,albania,Albania,auto_initialized,NA,NA
world_football_elo,Alderney,alderney,Alderney,auto_initialized,NA,NA
world_football_elo,Algeria,algeria,Algeria,auto_initialized,NA,NA
world_football_elo,Ambazonia,ambazonia,Ambazonia,auto_initialized,NA,NA
world_football_elo,American Samoa,american_samoa,American Samoa,auto_initialized,NA,NA
world_football_elo,Andalusia,andalusia,Andalusia,auto_initialized,NA,NA
world_football_elo,Andorra,andorra,Andorra,auto_initialized,NA,NA
world_football_elo,Angola,angola,Angola,auto_initialized,NA,NA
world_football_elo,Anguilla,anguilla,Anguilla,auto_initialized,NA,NA
world_football_elo,Antigua and Barbuda,antigua_and_barbuda,Antigua and Barbuda,auto_initialized,NA,NA
world_football_elo,Arameans Suryoye,arameans_suryoye,Arameans Suryoye,auto_initialized,NA,NA
world_football_elo,Argentina,argentina,Argentina,auto_initialized,NA,NA
world_football_elo,Armenia,armenia,Armenia,auto_initialized,NA,NA
world_football_elo,Artsakh,artsakh,Artsakh,auto_initialized,NA,NA
world_football_elo,Aruba,aruba,Aruba,auto_initialized,NA,NA
world_football_elo,Asturias,asturias,Asturias,auto_initialized,NA,NA
world_football_elo,Australia,australia,Australia,auto_initialized,NA,NA
world_football_elo,Austria,austria,Austria,auto_initialized,NA,NA
world_football_elo,Aymara,aymara,Aymara,auto_initialized,NA,NA
world_football_elo,Azerbaijan,azerbaijan,Azerbaijan,auto_initialized,NA,NA
world_football_elo,Bahamas,bahamas,Bahamas,auto_initialized,NA,NA
world_football_elo,Bahrain,bahrain,Bahrain,auto_initialized,NA,NA
world_football_elo,Bangladesh,bangladesh,Bangladesh,auto_initialized,NA,NA
world_football_elo,Barawa,barawa,Barawa,auto_initialized,NA,NA
world_football_elo,Barbados,barbados,Barbados,auto_initialized,NA,NA
world_football_elo,Basque Country,basque_country,Basque Country,auto_initialized,NA,NA
world_football_elo,Belarus,belarus,Belarus,auto_initialized,NA,NA
world_football_elo,Belgium,belgium,Belgium,auto_initialized,NA,NA
world_football_elo,Belize,belize,Belize,auto_initialized,NA,NA
world_football_elo,Benin,benin,Benin,auto_initialized,NA,NA
world_football_elo,Bermuda,bermuda,Bermuda,auto_initialized,NA,NA
world_football_elo,Bhutan,bhutan,Bhutan,auto_initialized,NA,NA
world_football_elo,Biafra,biafra,Biafra,auto_initialized,NA,NA
world_football_elo,Bolivia,bolivia,Bolivia,auto_initialized,NA,NA
world_football_elo,Bonaire,bonaire,Bonaire,auto_initialized,NA,NA
world_football_elo,Bosnia and Herzegovina,bosnia_and_herzegovina,Bosnia and Herzegovina,auto_initialized,NA,NA
world_football_elo,Botswana,botswana,Botswana,auto_initialized,NA,NA
world_football_elo,Brazil,brazil,Brazil,auto_initialized,NA,NA
world_football_elo,British Virgin Islands,british_virgin_islands,British Virgin Islands,auto_initialized,NA,NA
world_football_elo,Brittany,brittany,Brittany,auto_initialized,NA,NA
world_football_elo,Brunei,brunei,Brunei,auto_initialized,NA,NA
world_football_elo,Bulgaria,bulgaria,Bulgaria,auto_initialized,NA,NA
world_football_elo,Burkina Faso,burkina_faso,Burkina Faso,auto_initialized,NA,NA
world_football_elo,Burundi,burundi,Burundi,auto_initialized,NA,NA
world_football_elo,Cambodia,cambodia,Cambodia,auto_initialized,NA,NA
world_football_elo,Cameroon,cameroon,Cameroon,auto_initialized,NA,NA
world_football_elo,Canada,canada,Canada,auto_initialized,NA,NA
world_football_elo,Canary Islands,canary_islands,Canary Islands,auto_initialized,NA,NA
world_football_elo,Cape Verde,cape_verde,Cape Verde,auto_initialized,NA,NA
world_football_elo,Cascadia,cascadia,Cascadia,auto_initialized,NA,NA
world_football_elo,Catalonia,catalonia,Catalonia,auto_initialized,NA,NA
world_football_elo,Cayman Islands,cayman_islands,Cayman Islands,auto_initialized,NA,NA
world_football_elo,Central African Republic,central_african_republic,Central African Republic,auto_initialized,NA,NA
world_football_elo,Central Spain,central_spain,Central Spain,auto_initialized,NA,NA
world_football_elo,Chad,chad,Chad,auto_initialized,NA,NA
world_football_elo,Chagos Islands,chagos_islands,Chagos Islands,auto_initialized,NA,NA
world_football_elo,Chameria,chameria,Chameria,auto_initialized,NA,NA
world_football_elo,Chechnya,chechnya,Chechnya,auto_initialized,NA,NA
world_football_elo,Chile,chile,Chile,auto_initialized,NA,NA
world_football_elo,China,china,China,auto_initialized,NA,NA
world_football_elo,China PR,china_pr,China PR,mapped_to_elo:China,China,china
world_football_elo,Christmas Island,christmas_island,Christmas Island,auto_initialized,NA,NA
world_football_elo,Cilento,cilento,Cilento,auto_initialized,NA,NA
world_football_elo,Cocos Islands,cocos_islands,Cocos Islands,auto_initialized,NA,NA
world_football_elo,Colombia,colombia,Colombia,auto_initialized,NA,NA
world_football_elo,Comoros,comoros,Comoros,auto_initialized,NA,NA
world_football_elo,Congo,congo,Congo,auto_initialized,NA,NA
world_football_elo,Cook Islands,cook_islands,Cook Islands,auto_initialized,NA,NA
world_football_elo,Corsica,corsica,Corsica,auto_initialized,NA,NA
world_football_elo,Costa Rica,costa_rica,Costa Rica,auto_initialized,NA,NA
world_football_elo,County of Nice,county_of_nice,County of Nice,auto_initialized,NA,NA
world_football_elo,Crimea,crimea,Crimea,auto_initialized,NA,NA
world_football_elo,Croatia,croatia,Croatia,auto_initialized,NA,NA
world_football_elo,Cuba,cuba,Cuba,auto_initialized,NA,NA
world_football_elo,Curaçao,cura_ao,Curaçao,auto_initialized,NA,NA
world_football_elo,Cyprus,cyprus,Cyprus,auto_initialized,NA,NA
world_football_elo,Czech Republic,czech_republic,Czech Republic,mapped_to_elo:Czechia,Czechia,czechia
world_football_elo,Czechia,czechia,Czechia,auto_initialized,NA,NA
world_football_elo,Czechoslovakia,czechoslovakia,Czechoslovakia,mapped_to_elo:Czechia,Czechia,czechia
world_football_elo,Délvidék,d_lvid_k,Délvidék,auto_initialized,NA,NA
world_football_elo,Darfur,darfur,Darfur,auto_initialized,NA,NA
world_football_elo,Denmark,denmark,Denmark,auto_initialized,NA,NA
world_football_elo,Djibouti,djibouti,Djibouti,auto_initialized,NA,NA
world_football_elo,Dominica,dominica,Dominica,auto_initialized,NA,NA
world_football_elo,Dominican Republic,dominican_republic,Dominican Republic,auto_initialized,NA,NA
world_football_elo,Donetsk PR,donetsk_pr,Donetsk PR,auto_initialized,NA,NA
world_football_elo,DR Congo,dr_congo,DR Congo,auto_initialized,NA,NA
world_football_elo,East Germany,east_germany,East Germany,auto_initialized,NA,NA
world_football_elo,East Timor,east_timor,East Timor,auto_initialized,NA,NA
world_football_elo,East Turkestan,east_turkestan,East Turkestan,auto_initialized,NA,NA
world_football_elo,Eastern Samoa,eastern_samoa,Eastern Samoa,auto_initialized,NA,NA
world_football_elo,Ecuador,ecuador,Ecuador,auto_initialized,NA,NA
world_football_elo,Egypt,egypt,Egypt,auto_initialized,NA,NA
world_football_elo,El Salvador,el_salvador,El Salvador,auto_initialized,NA,NA
world_football_elo,Elba Island,elba_island,Elba Island,auto_initialized,NA,NA
world_football_elo,Ellan Vannin,ellan_vannin,Ellan Vannin,auto_initialized,NA,NA
world_football_elo,England,england,England,auto_initialized,NA,NA
world_football_elo,Equatorial Guinea,equatorial_guinea,Equatorial Guinea,auto_initialized,NA,NA
world_football_elo,Eritrea,eritrea,Eritrea,auto_initialized,NA,NA
world_football_elo,Estonia,estonia,Estonia,auto_initialized,NA,NA
world_football_elo,Eswatini,eswatini,Eswatini,auto_initialized,NA,NA
world_football_elo,Ethiopia,ethiopia,Ethiopia,auto_initialized,NA,NA
world_football_elo,Falkland Islands,falkland_islands,Falkland Islands,auto_initialized,NA,NA
world_football_elo,Faroe Islands,faroe_islands,Faroe Islands,auto_initialized,NA,NA
world_football_elo,Felvidék,felvid_k,Felvidék,auto_initialized,NA,NA
world_football_elo,Fiji,fiji,Fiji,auto_initialized,NA,NA
world_football_elo,Finland,finland,Finland,auto_initialized,NA,NA
world_football_elo,Frøya,fr_ya,Frøya,auto_initialized,NA,NA
world_football_elo,France,france,France,auto_initialized,NA,NA
world_football_elo,Franconia,franconia,Franconia,auto_initialized,NA,NA
world_football_elo,French Guiana,french_guiana,French Guiana,auto_initialized,NA,NA
world_football_elo,FS Micronesia,fs_micronesia,FS Micronesia,auto_initialized,NA,NA
world_football_elo,Găgăuzia,g_g_uzia,Găgăuzia,auto_initialized,NA,NA
world_football_elo,Gabon,gabon,Gabon,auto_initialized,NA,NA
world_football_elo,Galicia,galicia,Galicia,auto_initialized,NA,NA
world_football_elo,Gambia,gambia,Gambia,auto_initialized,NA,NA
world_football_elo,Georgia,georgia,Georgia,auto_initialized,NA,NA
world_football_elo,German DR,german_dr,German DR,mapped_to_elo:Germany,Germany,germany
world_football_elo,Germany,germany,Germany,auto_initialized,NA,NA
world_football_elo,Ghana,ghana,Ghana,auto_initialized,NA,NA
world_football_elo,Gibraltar,gibraltar,Gibraltar,auto_initialized,NA,NA
world_football_elo,Gotland,gotland,Gotland,auto_initialized,NA,NA
world_football_elo,Gozo,gozo,Gozo,auto_initialized,NA,NA
world_football_elo,Greece,greece,Greece,auto_initialized,NA,NA
world_football_elo,Greenland,greenland,Greenland,auto_initialized,NA,NA
world_football_elo,Grenada,grenada,Grenada,auto_initialized,NA,NA
world_football_elo,Guadeloupe,guadeloupe,Guadeloupe,auto_initialized,NA,NA
world_football_elo,Guam,guam,Guam,auto_initialized,NA,NA
world_football_elo,Guatemala,guatemala,Guatemala,auto_initialized,NA,NA
world_football_elo,Guernsey,guernsey,Guernsey,auto_initialized,NA,NA
world_football_elo,Guinea,guinea,Guinea,auto_initialized,NA,NA
world_football_elo,Guinea-Bissau,guinea_bissau,Guinea-Bissau,auto_initialized,NA,NA
world_football_elo,Guyana,guyana,Guyana,auto_initialized,NA,NA
world_football_elo,Haiti,haiti,Haiti,auto_initialized,NA,NA
world_football_elo,Hitra,hitra,Hitra,auto_initialized,NA,NA
world_football_elo,Hmong,hmong,Hmong,auto_initialized,NA,NA
world_football_elo,Honduras,honduras,Honduras,auto_initialized,NA,NA
world_football_elo,Hong Kong,hong_kong,Hong Kong,auto_initialized,NA,NA
world_football_elo,Hungary,hungary,Hungary,auto_initialized,NA,NA
world_football_elo,Iceland,iceland,Iceland,auto_initialized,NA,NA
world_football_elo,India,india,India,auto_initialized,NA,NA
world_football_elo,Indonesia,indonesia,Indonesia,auto_initialized,NA,NA
world_football_elo,Iran,iran,Iran,auto_initialized,NA,NA
world_football_elo,Iraq,iraq,Iraq,auto_initialized,NA,NA
world_football_elo,Iraqi Kurdistan,iraqi_kurdistan,Iraqi Kurdistan,auto_initialized,NA,NA
world_football_elo,Ireland,ireland,Ireland,auto_initialized,NA,NA
world_football_elo,Isle of Man,isle_of_man,Isle of Man,auto_initialized,NA,NA
world_football_elo,Isle of Wight,isle_of_wight,Isle of Wight,auto_initialized,NA,NA
world_football_elo,Israel,israel,Israel,auto_initialized,NA,NA
world_football_elo,Italy,italy,Italy,auto_initialized,NA,NA
world_football_elo,Ivory Coast,ivory_coast,Ivory Coast,auto_initialized,NA,NA
world_football_elo,Jamaica,jamaica,Jamaica,auto_initialized,NA,NA
world_football_elo,Japan,japan,Japan,auto_initialized,NA,NA
world_football_elo,Jersey,jersey,Jersey,auto_initialized,NA,NA
world_football_elo,Jordan,jordan,Jordan,auto_initialized,NA,NA
world_football_elo,Kárpátalja,k_rp_talja,Kárpátalja,auto_initialized,NA,NA
world_football_elo,Kabylia,kabylia,Kabylia,auto_initialized,NA,NA
world_football_elo,Kazakhstan,kazakhstan,Kazakhstan,auto_initialized,NA,NA
world_football_elo,Kenya,kenya,Kenya,auto_initialized,NA,NA
world_football_elo,Kernow,kernow,Kernow,auto_initialized,NA,NA
world_football_elo,Kiribati,kiribati,Kiribati,auto_initialized,NA,NA
world_football_elo,Kosovo,kosovo,Kosovo,auto_initialized,NA,NA
world_football_elo,Kurdistan,kurdistan,Kurdistan,auto_initialized,NA,NA
world_football_elo,Kuwait,kuwait,Kuwait,auto_initialized,NA,NA
world_football_elo,Kyrgyzstan,kyrgyzstan,Kyrgyzstan,auto_initialized,NA,NA
world_football_elo,Åland Islands,land_islands,Åland Islands,auto_initialized,NA,NA
world_football_elo,Laos,laos,Laos,auto_initialized,NA,NA
world_football_elo,Latvia,latvia,Latvia,auto_initialized,NA,NA
world_football_elo,Lebanon,lebanon,Lebanon,auto_initialized,NA,NA
world_football_elo,Lesotho,lesotho,Lesotho,auto_initialized,NA,NA
world_football_elo,Liberia,liberia,Liberia,auto_initialized,NA,NA
world_football_elo,Libya,libya,Libya,auto_initialized,NA,NA
world_football_elo,Liechtenstein,liechtenstein,Liechtenstein,auto_initialized,NA,NA
world_football_elo,Lithuania,lithuania,Lithuania,auto_initialized,NA,NA
world_football_elo,Luhansk PR,luhansk_pr,Luhansk PR,auto_initialized,NA,NA
world_football_elo,Luxembourg,luxembourg,Luxembourg,auto_initialized,NA,NA
world_football_elo,Macao,macao,Macao,auto_initialized,NA,NA
world_football_elo,Macau,macau,Macau,auto_initialized,NA,NA
world_football_elo,Madagascar,madagascar,Madagascar,auto_initialized,NA,NA
world_football_elo,Madrid,madrid,Madrid,auto_initialized,NA,NA
world_football_elo,Malawi,malawi,Malawi,auto_initialized,NA,NA
world_football_elo,Malaysia,malaysia,Malaysia,auto_initialized,NA,NA
world_football_elo,Maldives,maldives,Maldives,auto_initialized,NA,NA
world_football_elo,Mali,mali,Mali,auto_initialized,NA,NA
