feature,n,n_missing,min,p01,p05,median,mean,p95,p99,max,n_below_p01,n_above_p99
home_goal_diff_per_match_last_5,49257,141,-24,-4.2,-2.4,0,0.030312932649238688,2.2,3.5,16,477,491
away_goal_diff_per_match_last_5,49257,195,-21,-4.8,-2.5,0,-0.03899419781772781,2.2,3.4,21,455,487
home_goal_diff_per_match_last_10,49257,141,-24,-3.9,-2,0.1,0.02471247206160397,1.8,2.8,16,490,450
away_goal_diff_per_match_last_10,49257,195,-21,-4.4,-2.2,0.1,-0.04774629995218193,1.7,2.8,21,470,442
home_goals_for_per_match_last_5,49257,141,0,0,0.4,1.4,1.4854198903276754,3.2,4.4,17,0,442
away_goals_for_per_match_last_5,49257,195,0,0,0.4,1.4,1.4576678488443298,3,4.4,21,0,425
home_goals_against_per_match_last_5,49257,141,0,0.2,0.4,1.2,1.4551069576784132,3.2,5,24,425,429
away_goals_against_per_match_last_5,49257,195,0,0.2,0.4,1.2,1.4966620466620615,3.4,5.4,21,385,448
home_goals_for_per_match_last_10,49257,141,0,0.2,0.5,1.4,1.4876768973870766,2.8,3.8,17,252,446
away_goals_for_per_match_last_10,49257,195,0,0.2,0.5,1.3,1.4580909205909245,2.8,3.8,21,294,454
home_goals_against_per_match_last_10,49257,141,0,0.3,0.5,1.3,1.4629644253254577,3,4.6,24,282,477
away_goals_against_per_match_last_10,49257,195,0,0.3,0.5,1.3,1.5058372205431236,3.2,5,21,241,485
home_unique_scorers_last_10,49257,141,0,0,0,2,2.997434644515605,9,12,20,0,272
away_unique_scorers_last_10,49257,195,0,0,0,2,3.00568668215694,9,11,20,0,469
home_goals_by_top_scorer_last_10,49257,141,0,0,0,1,1.6864565518366328,5,8,16,0,289
away_goals_by_top_scorer_last_10,49257,195,0,0,0,1,1.6942032530266935,5,7,17,0,484
home_unique_scorers_365d,49257,141,0,0,0,2,2.9029644107822294,10,13,23,0,471
away_unique_scorers_365d,49257,195,0,0,0,2,2.871142635848521,9,13,23,0,397
