split,model,feature_set,accuracy,macro_f1,log_loss,brier_score,delta_log_loss_vs_previous_tier,delta_brier_vs_previous_tier,delta_macro_f1_vs_previous_tier,improved_log_loss,improved_brier,improved_macro_f1
test,glmnet_multinomial_ridge,baseline_rating,0.5979144095341279,0.43773436002260807,0.8744396772950914,0.5148843594952623,NA,NA,NA,FALSE,FALSE,FALSE
test,glmnet_multinomial_ridge,rating_plus_context,0.5979144095341279,0.4371444663915916,0.8759983064115694,0.5160785090889285,0.001558629116477972,0.0011941495936661495,-5.898936310164693e-4,FALSE,FALSE,FALSE
test,glmnet_multinomial_ridge,rating_plus_form,0.5985915492957746,0.4607770521785737,0.8699867503669021,0.5120442689899435,-0.006011556044667299,-0.004034240098985009,0.023632585786982074,TRUE,TRUE,TRUE
test,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,0.5977789815817984,0.4607975267226382,0.8702586470717659,0.5122029761661964,2.7189670486382767e-4,1.5870717625288133e-4,2.0474544064508216e-5,FALSE,FALSE,TRUE
validation,glmnet_multinomial_ridge,baseline_rating,0.5879465503136079,0.4271890020546689,0.8945324487888928,0.5274123200838658,NA,NA,NA,FALSE,FALSE,FALSE
validation,glmnet_multinomial_ridge,rating_plus_context,0.5860376329424598,0.4252770394483464,0.8952285776468395,0.5279267369933742,6.961288579466762e-4,5.14416909508375e-4,-0.001911962606322537,FALSE,FALSE,FALSE
validation,glmnet_multinomial_ridge,rating_plus_form,0.5848104717752931,0.4427290542045691,0.8911622619896822,0.5257211364154495,-0.004066315657157316,-0.002205600577924738,0.01745201475622271,TRUE,TRUE,TRUE
validation,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,0.5853558767384783,0.44298614370821504,0.8910905801949845,0.5257349251452209,-7.168179469763114e-5,1.3788729771424535e-5,2.570895036459464e-4,TRUE,FALSE,TRUE
test,lightgbm,baseline_rating,0.597237269772481,0.4382066494171193,0.8758504437294773,0.5154156686180198,NA,NA,NA,FALSE,FALSE,FALSE
test,lightgbm,rating_plus_context,0.5975081256771397,0.4384008686032395,0.8746412536058594,0.515144261534223,-0.0012091901236178648,-2.714070837968041e-4,1.9421918612022582e-4,TRUE,TRUE,TRUE
test,lightgbm,rating_plus_form,0.6023835319609967,0.4629142765914528,0.8696477798767818,0.5121250958673574,-0.004993473729077658,-0.003019165666865553,0.024513407988213276,TRUE,TRUE,TRUE
test,lightgbm,rating_plus_form_plus_goalscorers,0.602112676056338,0.46248803423096735,0.8698176831874401,0.512205059139206,1.6990331065835917e-4,7.996327184855989e-5,-4.262423604854404e-4,FALSE,FALSE,FALSE
validation,lightgbm,baseline_rating,0.5837196618489229,0.42453616821106793,0.8929520700220525,0.5264399019603215,NA,NA,NA,FALSE,FALSE,FALSE
validation,lightgbm,rating_plus_context,0.5854922279792746,0.42674342429021506,0.8929880063264576,0.5264093140229232,3.593630440512641e-5,-3.058793739829646e-5,0.002207256079147124,FALSE,TRUE,TRUE
validation,lightgbm,rating_plus_form,0.5863103354240523,0.44896648717605026,0.8888414893516045,0.524115623583397,-0.004146516974853132,-0.002293690439526208,0.0222230628858352,TRUE,TRUE,TRUE
validation,lightgbm,rating_plus_form_plus_goalscorers,0.5856285792200709,0.4497396586350439,0.8889012872133647,0.5242709469233111,5.979786176024682e-5,1.5532333991408187e-4,7.731714589936378e-4,FALSE,FALSE,TRUE
test,multinom,baseline_rating,0.5983206933911159,0.43895568927934125,0.8728685060631897,0.5141886789117168,NA,NA,NA,FALSE,FALSE,FALSE
test,multinom,rating_plus_context,0.5989978331527628,0.4392505973876229,0.8753459592470437,0.5157098917798679,0.0024774531838540614,0.0015212128681511006,2.9490810828164404e-4,FALSE,FALSE,TRUE
test,multinom,rating_plus_form,0.5983206933911159,0.4679238334144553,0.8697689023081864,0.5119251646468881,-0.00557705693885735,-0.003784727132979837,0.028673236026832416,TRUE,TRUE,TRUE
test,multinom,rating_plus_form_plus_goalscorers,0.5979144095341279,0.46843540618689056,0.8700477953499882,0.5120582486307614,2.7889304180184205e-4,1.3308398387334996e-4,5.115727724352426e-4,FALSE,FALSE,TRUE
validation,multinom,baseline_rating,0.5876738478320153,0.4277335247790079,0.8936039509673094,0.5269634528951022,NA,NA,NA,FALSE,FALSE,FALSE
validation,multinom,rating_plus_context,0.5850831742568857,0.42534698414048905,0.8951750713264146,0.5279455151304946,0.001571120359105227,9.820622353924335e-4,-0.0023865406385188415,FALSE,FALSE,FALSE
validation,multinom,rating_plus_form,0.5869920916280338,0.4526274903859394,0.890798930444251,0.5253121195837144,-0.004376140882163648,-0.002633395546780215,0.027280506245450364,TRUE,TRUE,TRUE
validation,multinom,rating_plus_form_plus_goalscorers,0.5879465503136079,0.4559620803371203,0.890833157863848,0.5254139404986263,3.422741959702158e-5,1.0182091491195422e-4,0.0033345899511809107,FALSE,FALSE,TRUE
