class,probability_bin,model_name,feature_set,split,mean_predicted_probability,observed_frequency,n
H,1,lightgbm,rating_plus_form,validation,0.05196175991582002,0.04289544235924933,373
H,2,lightgbm,rating_plus_form,validation,0.15431076987706122,0.14613778705636743,479
H,3,lightgbm,rating_plus_form,validation,0.24957429935668202,0.22989593188268684,1057
H,4,lightgbm,rating_plus_form,validation,0.3482342858386784,0.3799212598425197,1016
H,5,lightgbm,rating_plus_form,validation,0.44979048109738884,0.44045368620037806,1058
H,6,lightgbm,rating_plus_form,validation,0.5486737248543687,0.5670731707317073,820
H,7,lightgbm,rating_plus_form,validation,0.6493616285758884,0.6357758620689655,928
H,8,lightgbm,rating_plus_form,validation,0.7477898326883133,0.7401685393258427,712
H,9,lightgbm,rating_plus_form,validation,0.8447441107120842,0.8041044776119403,536
H,10,lightgbm,rating_plus_form,validation,0.9420947039567545,0.952112676056338,355
D,1,lightgbm,rating_plus_form,validation,0.057923119908082736,0.05537459283387622,614
D,2,lightgbm,rating_plus_form,validation,0.1558657432125332,0.16666666666666666,1356
D,3,lightgbm,rating_plus_form,validation,0.2591266062747012,0.25221518987341773,3160
D,4,lightgbm,rating_plus_form,validation,0.3267653532634617,0.30954545454545457,2200
D,5,lightgbm,rating_plus_form,validation,0.408077250088146,0,4
A,1,lightgbm,rating_plus_form,validation,0.051849020641690204,0.05687203791469194,1688
A,2,lightgbm,rating_plus_form,validation,0.14541882476341922,0.15055079559363524,1634
A,3,lightgbm,rating_plus_form,validation,0.2483054130681119,0.2587025316455696,1264
A,4,lightgbm,rating_plus_form,validation,0.34909500698828905,0.3532440782698249,971
A,5,lightgbm,rating_plus_form,validation,0.44749699996119374,0.4562091503267974,765
A,6,lightgbm,rating_plus_form,validation,0.5416577946613913,0.5918367346938775,441
A,7,lightgbm,rating_plus_form,validation,0.6453214367361048,0.6018099547511312,221
A,8,lightgbm,rating_plus_form,validation,0.7525520476211609,0.825,160
A,9,lightgbm,rating_plus_form,validation,0.8467788358736698,0.912,125
A,10,lightgbm,rating_plus_form,validation,0.9342833730979074,0.9692307692307692,65
H,1,lightgbm,rating_plus_form,test,0.05145703161893049,0.03736263736263736,455
H,2,lightgbm,rating_plus_form,test,0.15425732918912327,0.13874788494077833,591
H,3,lightgbm,rating_plus_form,test,0.25043021206949895,0.22708333333333333,960
H,4,lightgbm,rating_plus_form,test,0.3496212494745954,0.33514689880304677,919
H,5,lightgbm,rating_plus_form,test,0.4503559630541968,0.44644644644644643,999
H,6,lightgbm,rating_plus_form,test,0.5497025175319791,0.535,800
H,7,lightgbm,rating_plus_form,test,0.6507981849371134,0.6052036199095022,884
H,8,lightgbm,rating_plus_form,test,0.744959798425853,0.7406380027739251,721
H,9,lightgbm,rating_plus_form,test,0.8489688275271805,0.8355957767722474,663
H,10,lightgbm,rating_plus_form,test,0.9378578721491229,0.9311224489795918,392
D,1,lightgbm,rating_plus_form,test,0.06293180078977555,0.07537012113055182,743
D,2,lightgbm,rating_plus_form,test,0.1541459591981409,0.15882753919563736,1467
D,3,lightgbm,rating_plus_form,test,0.2566671002742265,0.2621145374449339,3178
D,4,lightgbm,rating_plus_form,test,0.326018902943132,0.3053741838272225,1991
D,5,lightgbm,rating_plus_form,test,0.4100925211770702,0.4,5
A,1,lightgbm,rating_plus_form,test,0.050103387517467665,0.04980842911877394,1827
A,2,lightgbm,rating_plus_form,test,0.14374013990681672,0.1541964866623292,1537
A,3,lightgbm,rating_plus_form,test,0.24696779114483464,0.2576985413290113,1234
A,4,lightgbm,rating_plus_form,test,0.3508612384418845,0.3783783783783784,888
A,5,lightgbm,rating_plus_form,test,0.44626501907369964,0.480946123521682,761
A,6,lightgbm,rating_plus_form,test,0.5466335504816499,0.5976744186046512,430
A,7,lightgbm,rating_plus_form,test,0.6479712499357585,0.678030303030303,264
A,8,lightgbm,rating_plus_form,test,0.7475544406309323,0.7681159420289855,207
A,9,lightgbm,rating_plus_form,test,0.8499774520122629,0.9341317365269461,167
A,10,lightgbm,rating_plus_form,test,0.9300370478227049,0.9565217391304348,69
