feature_set,model_name,split,class,tp,fp,fn,tn,precision,recall,f1
baseline_rating,multinom,validation,H,3101,2042,431,1760,0.6029554734590706,0.8779728199320498,0.71492795389049
baseline_rating,multinom,validation,D,0,0,1738,5596,0,0,0
baseline_rating,multinom,validation,A,1209,982,855,4288,0.5518028297581014,0.5857558139534884,0.5682726204465336
baseline_rating,multinom,test,H,3104,2059,383,1838,0.6012008522177029,0.8901634642959564,0.7176878612716763
baseline_rating,multinom,test,D,0,0,1732,5652,0,0,0
baseline_rating,multinom,test,A,1314,907,851,4312,0.5916253939666817,0.6069284064665127,0.5991792065663475
baseline_rating,glmnet_multinomial_ridge,validation,H,3127,2088,405,1714,0.5996164908916587,0.8853340883352209,0.7149879958843032
baseline_rating,glmnet_multinomial_ridge,validation,D,0,0,1738,5596,0,0,0
baseline_rating,glmnet_multinomial_ridge,validation,A,1185,934,879,4336,0.559226050023596,0.5741279069767442,0.5665790102797036
baseline_rating,glmnet_multinomial_ridge,test,H,3133,2110,354,1787,0.5975586496280755,0.898480068827072,0.7177548682703322
baseline_rating,glmnet_multinomial_ridge,test,D,0,0,1732,5652,0,0,0
baseline_rating,glmnet_multinomial_ridge,test,A,1282,859,883,4360,0.5987856141989725,0.5921478060046189,0.595448211797492
baseline_rating,lightgbm,validation,H,3075,2024,457,1778,0.6030594234163561,0.8706115515288788,0.7125477928397635
baseline_rating,lightgbm,validation,D,0,0,1738,5596,0,0,0
baseline_rating,lightgbm,validation,A,1206,1029,858,4241,0.5395973154362416,0.5843023255813954,0.5610607117934403
baseline_rating,lightgbm,test,H,3089,2037,398,1860,0.6026141240733516,0.8858617722971035,0.7172878207360968
baseline_rating,lightgbm,test,D,0,0,1732,5652,0,0,0
baseline_rating,lightgbm,test,A,1321,937,844,4282,0.5850310008857396,0.6101616628175519,0.5973321275152611
rating_plus_context,multinom,validation,H,3100,2063,432,1739,0.600426108851443,0.8776896942242356,0.7130534790109258
rating_plus_context,multinom,validation,D,0,4,1738,5592,0,0,0
rating_plus_context,multinom,validation,A,1191,976,873,4294,0.549607752653438,0.5770348837209303,0.5629874734105413
rating_plus_context,multinom,test,H,3131,2084,356,1813,0.6003835091083414,0.8979065098938916,0.7196046885773385
rating_plus_context,multinom,test,D,2,2,1730,5650,0.5,0.0011547344110854503,0.002304147465437788
rating_plus_context,multinom,test,A,1290,875,875,4344,0.5958429561200924,0.5958429561200924,0.5958429561200924
rating_plus_context,glmnet_multinomial_ridge,validation,H,3129,2111,403,1691,0.5971374045801526,0.8859003397508494,0.7134062927496579
rating_plus_context,glmnet_multinomial_ridge,validation,D,0,1,1738,5595,0,0,0
rating_plus_context,glmnet_multinomial_ridge,validation,A,1169,924,895,4346,0.5585284280936454,0.5663759689922481,0.5624248255953813
rating_plus_context,glmnet_multinomial_ridge,test,H,3158,2154,329,1743,0.5945030120481928,0.9056495554918268,0.7178088419138539
rating_plus_context,glmnet_multinomial_ridge,test,D,0,2,1732,5650,0,0,0
rating_plus_context,glmnet_multinomial_ridge,test,A,1257,813,908,4406,0.6072463768115942,0.5806004618937645,0.5936245572609209
rating_plus_context,lightgbm,validation,H,3087,2019,445,1783,0.6045828437132785,0.8740090600226501,0.7147487844408429
rating_plus_context,lightgbm,validation,D,1,17,1737,5579,0.05555555555555555,5.753739930955121e-4,0.0011389521640091116
rating_plus_context,lightgbm,validation,A,1206,1004,858,4266,0.5457013574660633,0.5843023255813954,0.5643425362657931
rating_plus_context,lightgbm,test,H,3107,2063,380,1834,0.6009671179883946,0.891023802695727,0.7178006237726696
rating_plus_context,lightgbm,test,D,1,4,1731,5648,0.2,5.773672055427252e-4,0.0011514104778353482
rating_plus_context,lightgbm,test,A,1304,905,861,4314,0.590312358533273,0.6023094688221708,0.5962505715592136
rating_plus_form,multinom,validation,H,3016,1883,516,1919,0.6156358440498061,0.853907134767837,0.7154548689360694
rating_plus_form,multinom,validation,D,70,162,1668,5434,0.3017241379310345,0.04027617951668585,0.07106598984771574
rating_plus_form,multinom,validation,A,1219,984,845,4286,0.5533363595097595,0.5906007751937985,0.5713616123740334
rating_plus_form,multinom,test,H,3015,1853,472,2044,0.6193508627773213,0.8646400917694294,0.7217235188509875
rating_plus_form,multinom,test,D,85,180,1647,5472,0.32075471698113206,0.04907621247113164,0.08512769153730596
rating_plus_form,multinom,test,A,1318,933,847,4286,0.5855175477565526,0.6087759815242494,0.5969202898550725
rating_plus_form,glmnet_multinomial_ridge,validation,H,3052,1964,480,1838,0.6084529505582137,0.8640996602491506,0.71408516612073
rating_plus_form,glmnet_multinomial_ridge,validation,D,47,121,1691,5475,0.27976190476190477,0.02704257767548907,0.04931794333683106
rating_plus_form,glmnet_multinomial_ridge,validation,A,1190,960,874,4310,0.5534883720930233,0.5765503875968992,0.5647840531561462
rating_plus_form,glmnet_multinomial_ridge,test,H,3052,1912,435,1985,0.6148267526188558,0.8752509320332664,0.7222813868181281
rating_plus_form,glmnet_multinomial_ridge,test,D,62,136,1670,5516,0.31313131313131315,0.03579676674364896,0.06424870466321245
rating_plus_form,glmnet_multinomial_ridge,test,A,1306,916,859,4303,0.5877587758775877,0.6032332563510393,0.5953954866651471
rating_plus_form,lightgbm,validation,H,3007,1877,525,1925,0.6156838656838657,0.8513590033975085,0.7145912547528517
rating_plus_form,lightgbm,validation,D,58,141,1680,5455,0.2914572864321608,0.0333716915995397,0.05988642230252968
rating_plus_form,lightgbm,validation,A,1235,1016,829,4254,0.5486450466459352,0.5983527131782945,0.5724217844727695
rating_plus_form,lightgbm,test,H,3025,1868,462,2029,0.618230124667893,0.8675078864353313,0.7219570405727925
rating_plus_form,lightgbm,test,D,58,85,1674,5567,0.40559440559440557,0.03348729792147806,0.06186666666666667
rating_plus_form,lightgbm,test,A,1365,983,800,4236,0.5813458262350937,0.6304849884526559,0.6049191225348991
rating_plus_form_plus_goalscorers,multinom,validation,H,3017,1882,515,1920,0.6158399673402736,0.8541902604756512,0.7156920887201993
rating_plus_form_plus_goalscorers,multinom,validation,D,80,168,1658,5428,0.3225806451612903,0.04602991944764097,0.08056394763343405
rating_plus_form_plus_goalscorers,multinom,validation,A,1215,972,849,4298,0.5555555555555556,0.5886627906976745,0.5716302046577276
rating_plus_form_plus_goalscorers,multinom,test,H,3012,1846,475,2051,0.6200082338410868,0.8637797533696587,0.7218693828639904
rating_plus_form_plus_goalscorers,multinom,test,D,89,182,1643,5470,0.3284132841328413,0.05138568129330254,0.08886669995007487
rating_plus_form_plus_goalscorers,multinom,test,A,1314,941,851,4278,0.5827050997782706,0.6069284064665127,0.5945701357466064
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,H,3058,1960,474,1842,0.6094061379035473,0.8657984144960362,0.7153216374269005
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,D,47,123,1691,5473,0.27647058823529413,0.02704257767548907,0.04926624737945493
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,A,1188,958,876,4312,0.5535880708294502,0.5755813953488372,0.5643705463182898
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,H,3045,1923,442,1974,0.6129227053140096,0.8732434757671351,0.7202838557066825
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,D,64,137,1668,5515,0.31840796019900497,0.03695150115473441,0.066218313502328
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,A,1305,910,860,4309,0.5891647855530474,0.6027713625866051,0.595890410958904
rating_plus_form_plus_goalscorers,lightgbm,validation,H,2998,1872,534,1930,0.615605749486653,0.8488108720271801,0.7136396096167579
rating_plus_form_plus_goalscorers,lightgbm,validation,D,62,147,1676,5449,0.2966507177033493,0.03567318757192175,0.06368772470467386
rating_plus_form_plus_goalscorers,lightgbm,validation,A,1235,1020,829,4250,0.5476718403547672,0.5983527131782945,0.5718916415837
rating_plus_form_plus_goalscorers,lightgbm,test,H,3020,1861,467,2036,0.6187256709690637,0.8660739891023803,0.7217973231357553
rating_plus_form_plus_goalscorers,lightgbm,test,D,56,91,1676,5561,0.38095238095238093,0.03233256351039261,0.059606173496540724
rating_plus_form_plus_goalscorers,lightgbm,test,A,1370,986,795,4233,0.5814940577249575,0.6327944572748267,0.606060606060606
