class,feature,coefficient,feature_set,model_name,importance_gain,Cover,Frequency
D,(Intercept),-1.2444666566548852,baseline_rating,multinom,NA,NA,NA
D,rating_diff,-0.002190911181708707,baseline_rating,multinom,NA,NA,NA
D,home_rating_pre_match,-9.134247157117466e-4,baseline_rating,multinom,NA,NA,NA
D,away_rating_pre_match,0.001277601590216409,baseline_rating,multinom,NA,NA,NA
D,neutral,0.2800654189906808,baseline_rating,multinom,NA,NA,NA
A,(Intercept),-1.2783777564123135,baseline_rating,multinom,NA,NA,NA
A,rating_diff,-0.004162501356986406,baseline_rating,multinom,NA,NA,NA
A,home_rating_pre_match,-0.0019679953543293716,baseline_rating,multinom,NA,NA,NA
A,away_rating_pre_match,0.0021944919988275166,baseline_rating,multinom,NA,NA,NA
A,neutral,0.7670576312797924,baseline_rating,multinom,NA,NA,NA
H,(Intercept),0.7969601543497662,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
H,rating_diff,0.001959766456700544,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
H,home_rating_pre_match,8.364815007141565e-4,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
H,away_rating_pre_match,-0.001014514149574447,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
H,neutral,-0.30304576718304,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
D,(Intercept),-0.4423361513260632,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
D,rating_diff,-9.348958062178536e-5,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
D,home_rating_pre_match,4.689996764748187e-5,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
D,away_rating_pre_match,1.2823036350819586e-4,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
D,neutral,-0.05777903846880226,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
A,(Intercept),-0.35462400302370295,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
A,rating_diff,-0.0018662768760787586,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
A,home_rating_pre_match,-8.833814683616383e-4,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
A,away_rating_pre_match,8.862837860662511e-4,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
A,neutral,0.3608248056518422,baseline_rating,glmnet_multinomial_ridge,NA,NA,NA
NA,rating_diff,NA,baseline_rating,lightgbm,0.9084642049081472,0.5338024816597479,0.4130254195049011
NA,neutral,NA,baseline_rating,lightgbm,0.04352587770091951,0.08924472215627166,0.13390928725701945
NA,away_rating_pre_match,NA,baseline_rating,lightgbm,0.026126658947983508,0.22430326227459896,0.23326133909287258
NA,home_rating_pre_match,NA,baseline_rating,lightgbm,0.021883258442949863,0.15264953390938152,0.21980395414520684
D,(Intercept),-1.7238643848923993,rating_plus_context,multinom,NA,NA,NA
D,rating_diff,-0.0021872859301202406,rating_plus_context,multinom,NA,NA,NA
D,home_rating_pre_match,-8.723926998041655e-4,rating_plus_context,multinom,NA,NA,NA
D,away_rating_pre_match,0.0013148901547552876,rating_plus_context,multinom,NA,NA,NA
D,neutral,0.3673744738654366,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedFIFA World Cup qualification,0.12591795338064882,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedUEFA Euro qualification,-0.23828619148054903,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAfrican Cup of Nations qualification,-0.32084073028918797,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCopa América,0.041030233233802435,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedFIFA World Cup,0.02739184659625846,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAfrican Cup of Nations,-0.028471502801488784,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAFC Asian Cup qualification,-0.5433495962005573,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCECAFA Cup,0.0717954446650797,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCFU Caribbean Cup qualification,-0.07091370700576324,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedMerdeka Tournament,0.33304224059371096,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedBritish Home Championship,0.05974096202966506,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedGulf Cup,0.247275169036886,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAsian Games,-0.16928301921102193,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedGold Cup,-0.1830468771187261,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedNordic Championship,-0.11427688909181764,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAFC Asian Cup,0.12204198665028701,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCFU Caribbean Cup,-0.3027930097562767,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCOSAFA Cup,0.47335110582712103,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAmílcar Cabral Cup,0.24345098178688154,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedUEFA Euro,-0.13349391977601738,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedKing's Cup,0.03238666185134822,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedAFF Championship,0.20998869455827746,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedSoutheast Asian Games,-0.35658998403578324,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCONCACAF Championship,0.22740906059909036,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedUNCAF Cup,-0.12141840844959874,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedSouth Pacific Games,0.19700096767997619,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCONCACAF Championship qualification,0.16299824936721588,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedKorea Cup,-0.08233083457762781,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedConfederations Cup,-0.723736358387469,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedOceania Nations Cup,-1.151633670569371,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedSAFF Cup,-0.020651501541064526,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedCCCF Championship,-0.505161375323217,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedArab Cup,0.134739891022001,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedWindward Islands Tournament,0.27036254868853427,rating_plus_context,multinom,NA,NA,NA
D,tournament_lumpedOther,-0.080798495160018,rating_plus_context,multinom,NA,NA,NA
D,is_friendly,0.4432876879598932,rating_plus_context,multinom,NA,NA,NA
D,is_world_cup,0.027391846596317968,rating_plus_context,multinom,NA,NA,NA
D,is_world_cup_qualifier,0.12591795338051828,rating_plus_context,multinom,NA,NA,NA
D,is_continental_tournament,0.3714396127829802,rating_plus_context,multinom,NA,NA,NA
D,is_continental_qualifier,0.5712353260919357,rating_plus_context,multinom,NA,NA,NA
A,(Intercept),-1.477944917360184,rating_plus_context,multinom,NA,NA,NA
A,rating_diff,-0.004165308272125202,rating_plus_context,multinom,NA,NA,NA
A,home_rating_pre_match,-0.002006463474946951,rating_plus_context,multinom,NA,NA,NA
A,away_rating_pre_match,0.002158847312671298,rating_plus_context,multinom,NA,NA,NA
A,neutral,0.8253574837432972,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedFIFA World Cup qualification,0.10057091705384251,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedUEFA Euro qualification,-0.4554080699170013,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAfrican Cup of Nations qualification,-1.147779190429364,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCopa América,0.04967864870607349,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedFIFA World Cup,0.12234531753515232,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAfrican Cup of Nations,-0.05202394950997818,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAFC Asian Cup qualification,-0.9639345182320298,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCECAFA Cup,0.019147531540794963,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCFU Caribbean Cup qualification,-0.43158631433414274,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedMerdeka Tournament,0.2979975851055162,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedBritish Home Championship,0.4683790923650437,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedGulf Cup,0.21401243531307476,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAsian Games,0.3200955314454915,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedGold Cup,0.10875398772406249,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedNordic Championship,0.3923541426921439,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAFC Asian Cup,-0.24246517567031495,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCFU Caribbean Cup,-0.17243778090363404,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCOSAFA Cup,0.2518055064680251,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAmílcar Cabral Cup,-0.30487605736167644,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedUEFA Euro,-0.10135636062060564,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedKing's Cup,-0.10241260793961394,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedAFF Championship,0.2441919087333873,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedSoutheast Asian Games,-0.9391915908093218,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCONCACAF Championship,0.04014068671533601,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedUNCAF Cup,-0.20750574465700317,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedSouth Pacific Games,0.5877173589413575,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCONCACAF Championship qualification,-0.4196793249904612,rating_plus_context,multinom,NA,NA,NA
