source,raw_file,source_match_id,date,season,competition,home_team,away_team,home_score,away_score,competition_id,season_id,match_week,competition_country,stadium,data_version,shot_fidelity_version,xy_fidelity_version,match_result,result_class,home_win,draw,away_win,goal_difference,total_goals,neutral
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/116_68.json,3750234,1977-08-28,1977,North American League,NY Cosmos,Seattle Sounders,2,1,116,68,1,North and Central America,Providence Park,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9880,2018-04-14,2017/2018,La Liga,Barcelona,Valencia,2,1,11,1,32,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9912,2018-04-29,2017/2018,La Liga,RC Deportivo La Coruña,Barcelona,2,4,11,1,35,Spain,Estadio Abanca-Riazor,1.1.0,2,2,A,-1,0,0,1,-2,6,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9924,2018-05-06,2017/2018,La Liga,Barcelona,Real Madrid,2,2,11,1,36,Spain,Spotify Camp Nou,1.1.0,2,2,D,0,0,1,0,0,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9855,2018-03-18,2017/2018,La Liga,Barcelona,Athletic Club,2,0,11,1,29,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9827,2018-03-01,2017/2018,La Liga,Las Palmas,Barcelona,1,1,11,1,26,Spain,Estadio de Gran Canaria,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9799,2018-02-17,2017/2018,La Liga,Eibar,Barcelona,0,2,11,1,24,Spain,Estadio Municipal de Ipurúa,1.1.0,2,2,A,-1,0,0,1,-2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9636,2017-10-01,2017/2018,La Liga,Barcelona,Las Palmas,3,0,11,1,7,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9609,2017-09-19,2017/2018,La Liga,Barcelona,Eibar,6,1,11,1,5,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,5,7,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9575,2017-08-20,2017/2018,La Liga,Barcelona,Real Betis,2,0,11,1,1,Spain,Spotify Camp Nou,1.1.0,2,NA,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9928,2018-05-09,2017/2018,La Liga,Barcelona,Villarreal,5,1,11,1,34,Spain,Spotify Camp Nou,1.1.0,2,NA,H,1,1,0,0,4,6,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9736,2017-12-23,2017/2018,La Liga,Real Madrid,Barcelona,0,3,11,1,17,Spain,Bernabéu,1.1.0,2,NA,A,-1,0,0,1,-3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9742,2018-01-07,2017/2018,La Liga,Barcelona,Levante UD,3,0,11,1,18,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9765,2018-01-21,2017/2018,La Liga,Real Betis,Barcelona,0,5,11,1,20,Spain,Estadio Benito Villamarín,1.1.0,2,NA,A,-1,0,0,1,-5,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9661,2017-10-28,2017/2018,La Liga,Athletic Club,Barcelona,0,2,11,1,10,Spain,San Mamés Barria,1.1.0,2,2,A,-1,0,0,1,-2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9592,2017-09-09,2017/2018,La Liga,Barcelona,Espanyol,5,0,11,1,3,Spain,Spotify Camp Nou,1.1.0,2,NA,H,1,1,0,0,5,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9870,2018-04-07,2017/2018,La Liga,Barcelona,Leganés,3,1,11,1,31,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,2,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9783,2018-02-04,2017/2018,La Liga,Espanyol,Barcelona,1,1,11,1,22,Spain,Stage Front Stadium,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9700,2017-12-02,2017/2018,La Liga,Barcelona,Celta Vigo,2,2,11,1,14,Spain,Spotify Camp Nou,1.1.0,2,2,D,0,0,1,0,0,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9860,2018-03-31,2017/2018,La Liga,Sevilla,Barcelona,2,2,11,1,30,Spain,Estadio Ramón Sánchez Pizjuán,1.1.0,2,2,D,0,0,1,0,0,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9695,2017-11-26,2017/2018,La Liga,Valencia,Barcelona,1,1,11,1,13,Spain,Estadio de Mestalla,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9794,2018-02-11,2017/2018,La Liga,Barcelona,Getafe,0,0,11,1,23,Spain,Spotify Camp Nou,1.1.0,2,2,D,0,0,1,0,0,0,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9717,2017-12-10,2017/2018,La Liga,Villarreal,Barcelona,0,2,11,1,15,Spain,Estadio de la Cerámica,1.1.0,2,2,A,-1,0,0,1,-2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9673,2017-11-04,2017/2018,La Liga,Barcelona,Sevilla,2,1,11,1,11,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9650,2017-10-21,2017/2018,La Liga,Barcelona,Málaga,2,0,11,1,9,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9620,2017-09-23,2017/2018,La Liga,Girona,Barcelona,0,3,11,1,6,Spain,Estadi Municipal de Montilivi,1.1.0,2,2,A,-1,0,0,1,-3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9837,2018-03-04,2017/2018,La Liga,Barcelona,Atlético Madrid,1,0,11,1,27,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9811,2018-02-24,2017/2018,La Liga,Barcelona,Girona,6,1,11,1,25,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,5,7,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9642,2017-10-14,2017/2018,La Liga,Atlético Madrid,Barcelona,1,1,11,1,8,Spain,Estádio Cívitas Metropolitano,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9774,2018-01-28,2017/2018,La Liga,Barcelona,Deportivo Alavés,2,1,11,1,21,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9602,2017-09-16,2017/2018,La Liga,Getafe,Barcelona,1,2,11,1,4,Spain,Coliseum Alfonso Pérez,1.1.0,2,2,A,-1,0,0,1,-1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9948,2018-05-20,2017/2018,La Liga,Barcelona,Real Sociedad,1,0,11,1,38,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9682,2017-11-18,2017/2018,La Liga,Leganés,Barcelona,0,3,11,1,12,Spain,Estadio Municipal de Butarque,1.1.0,2,2,A,-1,0,0,1,-3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9581,2017-08-26,2017/2018,La Liga,Deportivo Alavés,Barcelona,0,2,11,1,2,Spain,Estadio de Mendizorroza,1.1.0,2,2,A,-1,0,0,1,-2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9726,2017-12-17,2017/2018,La Liga,Barcelona,RC Deportivo La Coruña,4,0,11,1,16,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,4,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9754,2018-01-14,2017/2018,La Liga,Real Sociedad,Barcelona,2,4,11,1,19,Spain,Reale Arena,1.1.0,2,NA,A,-1,0,0,1,-2,6,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json,9889,2018-04-17,2017/2018,La Liga,Celta Vigo,Barcelona,2,2,11,1,33,Spain,Abanca-Balaídos,1.1.0,2,NA,D,0,0,1,0,0,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,267569,2017-04-23,2016/2017,La Liga,Real Madrid,Barcelona,2,3,11,2,33,Spain,Bernabéu,1.1.0,2,2,A,-1,0,0,1,-1,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,266989,2016-11-06,2016/2017,La Liga,Sevilla,Barcelona,1,2,11,2,11,Spain,Estadio Ramón Sánchez Pizjuán,1.1.0,2,2,A,-1,0,0,1,-1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,266357,2016-12-10,2016/2017,La Liga,Osasuna,Barcelona,0,3,11,2,15,Spain,Estadio El Sadar,1.1.0,2,2,A,-1,0,0,1,-3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,267212,2016-09-17,2016/2017,La Liga,Leganés,Barcelona,1,5,11,2,4,Spain,Estadio Municipal de Butarque,1.1.0,2,2,A,-1,0,0,1,-4,6,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,266669,2016-09-10,2016/2017,La Liga,Barcelona,Deportivo Alavés,1,2,11,2,3,Spain,Spotify Camp Nou,1.1.0,2,2,A,-1,0,0,1,-1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,266892,2016-08-28,2016/2017,La Liga,Athletic Club,Barcelona,0,1,11,2,2,Spain,San Mamés Barria,1.1.0,2,2,A,-1,0,0,1,-1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,267220,2016-09-21,2016/2017,La Liga,Barcelona,Atlético Madrid,1,1,11,2,5,Spain,Spotify Camp Nou,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,267670,2016-08-20,2016/2017,La Liga,Barcelona,Real Betis,6,2,11,2,1,Spain,Spotify Camp Nou,1.1.0,2,2,H,1,1,0,0,4,8,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json,266516,2017-01-29,2016/2017,La Liga,Real Betis,Barcelona,1,1,11,2,20,Spain,Estadio Benito Villamarín,1.1.0,2,2,D,0,0,1,0,0,2,NA
