source_match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_goals,goal_difference,data_split
2001_04_11_australia_american_samoa_fifa_world_cup_qualification,2001-04-11,Australia,American Samoa,31,0,FIFA World Cup qualification,Coffs Harbour,Australia,FALSE,31,31,train
1971_09_13_tahiti_cook_islands_south_pacific_games,1971-09-13,Tahiti,Cook Islands,30,0,South Pacific Games,Papeete,Tahiti,FALSE,30,30,train
1979_08_30_fiji_kiribati_south_pacific_games,1979-08-30,Fiji,Kiribati,24,0,South Pacific Games,Nausori,Fiji,FALSE,24,24,train
2001_04_09_australia_tonga_fifa_world_cup_qualification,2001-04-09,Australia,Tonga,22,0,FIFA World Cup qualification,Coffs Harbour,Australia,FALSE,22,22,train
2013_06_24_provence_tibet_international_tournament_of_peoples_cultures_and_tribes,2013-06-24,Provence,Tibet,22,0,"International Tournament of Peoples, Cultures and Tribes",Marseille,France,FALSE,22,22,train
2006_11_24_s_pmi_monaco_viva_world_cup,2006-11-24,Sápmi,Monaco,21,1,Viva World Cup,Hyères,France,TRUE,22,20,train
1966_04_03_libya_oman_arab_cup,1966-04-03,Libya,Oman,21,0,Arab Cup,Baghdad,Iraq,TRUE,21,21,train
2005_03_11_guam_north_korea_eaff_championship,2005-03-11,Guam,North Korea,0,21,EAFF Championship,Taipei,Taiwan,TRUE,21,-21,train
2013_06_23_quebec_tibet_international_tournament_of_peoples_cultures_and_tribes,2013-06-23,Quebec,Tibet,21,0,"International Tournament of Peoples, Cultures and Tribes",Marseille,France,TRUE,21,21,train
1997_05_13_kazakhstan_guam_east_asian_games,1997-05-13,Kazakhstan,Guam,20,1,East Asian Games,Busan,South Korea,TRUE,21,19,train
1987_12_15_american_samoa_papua_new_guinea_south_pacific_games,1987-12-15,American Samoa,Papua New Guinea,0,20,South Pacific Games,Nouméa,New Caledonia,TRUE,20,-20,train
2000_02_14_kuwait_bhutan_afc_asian_cup_qualification,2000-02-14,Kuwait,Bhutan,20,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE,20,20,train
2003_06_30_sark_isle_of_wight_island_games,2003-06-30,Sark,Isle of Wight,0,20,Island Games,Saint Martin,Guernsey,TRUE,20,-20,train
2014_06_01_darfur_padania_conifa_world_football_cup,2014-06-01,Darfur,Padania,0,20,CONIFA World Football Cup,Östersund,Sweden,TRUE,20,-20,train
1983_08_22_niue_papua_new_guinea_south_pacific_games,1983-08-22,Niue,Papua New Guinea,0,19,South Pacific Games,Apia,Western Samoa,TRUE,19,-19,train
2000_01_26_china_pr_guam_afc_asian_cup_qualification,2000-01-26,China PR,Guam,19,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,19,19,train
2000_11_24_iran_guam_fifa_world_cup_qualification,2000-11-24,Iran,Guam,19,0,FIFA World Cup qualification,Tabriz,Iran,FALSE,19,19,train
2003_06_29_gibraltar_sark_island_games,2003-06-29,Gibraltar,Sark,19,0,Island Games,Saint Martin,Guernsey,TRUE,19,19,train
2014_06_02_darfur_south_ossetia_conifa_world_football_cup,2014-06-02,Darfur,South Ossetia,0,19,CONIFA World Football Cup,Östersund,Sweden,TRUE,19,-19,train
1963_09_06_solomon_islands_tahiti_south_pacific_games,1963-09-06,Solomon Islands,Tahiti,0,18,South Pacific Games,Suva,Fiji,TRUE,18,-18,train
1979_08_30_tahiti_tuvalu_south_pacific_games,1979-08-30,Tahiti,Tuvalu,18,0,South Pacific Games,Suva,Fiji,TRUE,18,18,train
1991_09_15_guam_new_caledonia_south_pacific_games,1991-09-15,Guam,New Caledonia,0,18,South Pacific Games,Lae,Papua New Guinea,TRUE,18,-18,train
1994_03_19_jersey_alderney_muratti_vase,1994-03-19,Jersey,Alderney,18,0,Muratti Vase,Jersey,Jersey,FALSE,18,18,train
2003_07_01_micronesia_new_caledonia_south_pacific_games,2003-07-01,Micronesia,New Caledonia,0,18,South Pacific Games,Suva,Fiji,TRUE,18,-18,train
2003_07_07_kiribati_vanuatu_south_pacific_games,2003-07-07,Kiribati,Vanuatu,0,18,South Pacific Games,Lautoka,Fiji,TRUE,18,-18,train
2012_06_05_darfur_provence_viva_world_cup,2012-06-05,Darfur,Provence,0,18,Viva World Cup,Erbil,Iraq,TRUE,18,-18,train
1908_10_22_france_denmark_olympic_games,1908-10-22,France,Denmark,1,17,Olympic Games,London,England,TRUE,18,-16,train
2011_09_03_kiribati_papua_new_guinea_pacific_games,2011-09-03,Kiribati,Papua New Guinea,1,17,Pacific Games,Boulari,New Caledonia,TRUE,18,-16,train
2011_09_05_kiribati_tahiti_pacific_games,2011-09-05,Kiribati,Tahiti,1,17,Pacific Games,Boulari,New Caledonia,TRUE,18,-16,train
2012_01_14_gozo_raetia_friendly,2012-01-14,Gozo,Raetia,17,1,Friendly,Xewkija,Malta,FALSE,18,16,train
1997_06_02_maldives_iran_fifa_world_cup_qualification,1997-06-02,Maldives,Iran,0,17,FIFA World Cup qualification,Damascus,Syria,TRUE,17,-17,train
2000_06_19_australia_cook_islands_oceania_nations_cup,2000-06-19,Australia,Cook Islands,17,0,Oceania Nations Cup,Papeete,Tahiti,TRUE,17,17,train
2003_06_30_tahiti_micronesia_south_pacific_games,2003-06-30,Tahiti,Micronesia,17,0,South Pacific Games,Suva,Fiji,TRUE,17,17,train
2010_10_14_dominican_republic_british_virgin_islands_cfu_caribbean_cup_qualification,2010-10-14,Dominican Republic,British Virgin Islands,17,0,CFU Caribbean Cup qualification,San Cristóbal,Dominican Republic,FALSE,17,17,train
1971_09_11_cook_islands_papua_new_guinea_south_pacific_games,1971-09-11,Cook Islands,Papua New Guinea,1,16,South Pacific Games,Papeete,Tahiti,TRUE,17,-15,train
2012_09_28_saint_pierre_and_miquelon_new_caledonia_coupe_de_l_outre_mer,2012-09-28,Saint Pierre and Miquelon,New Caledonia,1,16,Coupe de l'Outre-Mer,Clairefontaine-en-Yvelines,France,TRUE,17,-15,train
1917_05_07_japan_philippines_friendly,1917-05-07,Japan,Philippines,2,15,Friendly,Tokyo,Japan,FALSE,17,-13,train
1917_05_10_japan_philippines_far_eastern_championship_games,1917-05-10,Japan,Philippines,2,15,Far Eastern Championship Games,Tokyo,Japan,FALSE,17,-13,train
1950_04_14_mauritius_r_union_friendly,1950-04-14,Mauritius,Réunion,15,2,Friendly,Antananarivo,Madagascar,TRUE,17,13,train
1998_08_01_palau_guam_friendly,1998-08-01,Palau,Guam,2,15,Friendly,Koror,Palau,FALSE,17,-13,train
1912_07_01_germany_russia_olympic_games,1912-07-01,Germany,Russia,16,0,Olympic Games,Stockholm,Sweden,TRUE,16,16,train
1995_08_21_cook_islands_solomon_islands_south_pacific_games,1995-08-21,Cook Islands,Solomon Islands,0,16,South Pacific Games,Papeete,Tahiti,TRUE,16,-16,train
1998_09_28_australia_cook_islands_oceania_nations_cup,1998-09-28,Australia,Cook Islands,16,0,Oceania Nations Cup,Brisbane,Australia,FALSE,16,16,train
2000_11_26_tajikistan_guam_fifa_world_cup_qualification,2000-11-26,Tajikistan,Guam,16,0,FIFA World Cup qualification,Tabriz,Iran,TRUE,16,16,train
2003_07_01_greenland_sark_island_games,2003-07-01,Greenland,Sark,16,0,Island Games,Saint Martin,Guernsey,TRUE,16,16,train
2003_09_29_south_korea_nepal_afc_asian_cup_qualification,2003-09-29,South Korea,Nepal,16,0,AFC Asian Cup qualification,Incheon,South Korea,FALSE,16,16,train
2007_08_25_fiji_tuvalu_south_pacific_games,2007-08-25,Fiji,Tuvalu,16,0,South Pacific Games,Apia,Samoa,TRUE,16,16,train
2012_09_05_martinique_british_virgin_islands_cfu_caribbean_cup_qualification,2012-09-05,Martinique,British Virgin Islands,16,0,CFU Caribbean Cup qualification,Le Lamentin,Martinique,FALSE,16,16,train
1962_08_26_malaysia_philippines_asian_games,1962-08-26,Malaysia,Philippines,15,1,Asian Games,Jakarta,Indonesia,TRUE,16,14,train
1971_09_15_cook_islands_fiji_south_pacific_games,1971-09-15,Cook Islands,Fiji,1,15,South Pacific Games,Papeete,Tahiti,TRUE,16,-14,train
1973_08_17_algeria_yemen_palestine_cup,1973-08-17,Algeria,Yemen,15,1,Palestine Cup,Benghazi,Libya,TRUE,16,14,train
2007_06_21_hong_kong_guam_eaff_championship,2007-06-21,Hong Kong,Guam,15,1,EAFF Championship,Macau,Macau,TRUE,16,14,train
1967_08_23_denmark_iceland_friendly,1967-08-23,Denmark,Iceland,14,2,Friendly,Copenhagen,Denmark,FALSE,16,12,train
1963_11_15_egypt_laos_friendly,1963-11-15,Egypt,Laos,15,0,Friendly,Jakarta,Indonesia,TRUE,15,15,train
1991_09_09_guam_tahiti_south_pacific_games,1991-09-09,Guam,Tahiti,0,15,South Pacific Games,Lae,Papua New Guinea,TRUE,15,-15,train
1998_12_05_mongolia_uzbekistan_asian_games,1998-12-05,Mongolia,Uzbekistan,0,15,Asian Games,Chiang Mai,Thailand,TRUE,15,-15,train
2003_07_03_fr_ya_sark_island_games,2003-07-03,Frøya,Sark,15,0,Island Games,Alderney,Guernsey,TRUE,15,15,train
2005_03_07_guam_hong_kong_eaff_championship,2005-03-07,Guam,Hong Kong,0,15,EAFF Championship,Taipei,Taiwan,TRUE,15,-15,train
2007_08_29_american_samoa_vanuatu_south_pacific_games,2007-08-29,American Samoa,Vanuatu,0,15,South Pacific Games,Apia,Samoa,TRUE,15,-15,train
2012_06_04_northern_cyprus_darfur_viva_world_cup,2012-06-04,Northern Cyprus,Darfur,15,0,Viva World Cup,Erbil,Iraq,TRUE,15,15,train
2015_09_03_qatar_bhutan_fifa_world_cup_qualification,2015-09-03,Qatar,Bhutan,15,0,FIFA World Cup qualification,Doha,Qatar,FALSE,15,15,train
2019_11_10_trinidad_and_tobago_anguilla_friendly,2019-11-10,Trinidad and Tobago,Anguilla,15,0,Friendly,Couva,Trinidad and Tobago,FALSE,15,15,test
1991_09_12_fiji_guam_south_pacific_games,1991-09-12,Fiji,Guam,14,1,South Pacific Games,Lae,Papua New Guinea,TRUE,15,13,train
1998_04_15_grenada_anguilla_cfu_caribbean_cup_qualification,1998-04-15,Grenada,Anguilla,14,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,TRUE,15,13,train
2001_04_14_saint_lucia_united_states_virgin_islands_cfu_caribbean_cup_qualification,2001-04-14,Saint Lucia,United States Virgin Islands,14,1,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,TRUE,15,13,train
1899_02_18_england_northern_ireland_british_home_championship,1899-02-18,England,Northern Ireland,13,2,British Home Championship,Sunderland,England,FALSE,15,11,train
1965_12_11_kenya_ghana_friendly,1965-12-11,Kenya,Ghana,2,13,Friendly,Nairobi,Kenya,FALSE,15,-11,train
1946_12_15_cura_ao_puerto_rico_central_american_and_caribbean_games,1946-12-15,Curaçao,Puerto Rico,14,0,Central American and Caribbean Games,Barranquilla,Colombia,TRUE,14,14,train
1963_11_11_north_korea_somalia_friendly,1963-11-11,North Korea,Somalia,14,0,Friendly,Jakarta,Indonesia,TRUE,14,14,train
1966_11_30_north_korea_yemen_ganefo,1966-11-30,North Korea,Yemen,14,0,GaNEFo,Phnom Penh,Cambodia,TRUE,14,14,train
1983_08_20_niue_tahiti_south_pacific_games,1983-08-20,Niue,Tahiti,0,14,South Pacific Games,Apia,Western Samoa,TRUE,14,-14,train
1998_04_19_guyana_anguilla_cfu_caribbean_cup_qualification,1998-04-19,Guyana,Anguilla,14,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,TRUE,14,14,train
2005_05_03_occitania_chechnya_friendly,2005-05-03,Occitania,Chechnya,14,0,Friendly,Occitania,France,FALSE,14,14,train
2006_11_23_s_pmi_monaco_viva_world_cup,2006-11-23,Sápmi,Monaco,14,0,Viva World Cup,Hyères,France,TRUE,14,14,train
2017_03_28_oman_bhutan_afc_asian_cup_qualification,2017-03-28,Oman,Bhutan,14,0,AFC Asian Cup qualification,Muscat,Oman,FALSE,14,14,train
2019_07_15_tonga_vanuatu_pacific_games,2019-07-15,Tonga,Vanuatu,0,14,Pacific Games,Apia,Samoa,TRUE,14,-14,test
2019_10_10_iran_cambodia_fifa_world_cup_qualification,2019-10-10,Iran,Cambodia,14,0,FIFA World Cup qualification,Tehran,Iran,FALSE,14,14,test
2021_03_30_japan_mongolia_fifa_world_cup_qualification,2021-03-30,Japan,Mongolia,14,0,FIFA World Cup qualification,Chiba,Japan,FALSE,14,14,test
2023_11_18_france_gibraltar_uefa_euro_qualification,2023-11-18,France,Gibraltar,14,0,UEFA Euro qualification,Nice,France,FALSE,14,14,test
1927_06_12_hungary_france_friendly,1927-06-12,Hungary,France,13,1,Friendly,Budapest,Hungary,FALSE,14,12,train
1932_08_25_uganda_kenya_friendly,1932-08-25,Uganda,Kenya,13,1,Friendly,Kampala,Uganda,FALSE,14,12,train
1981_07_07_vanuatu_samoa_south_pacific_mini_games,1981-07-07,Vanuatu,Samoa,13,1,South Pacific Mini Games,Honiara,Solomon Islands,TRUE,14,12,train
2002_12_23_indonesia_philippines_aff_championship,2002-12-23,Indonesia,Philippines,13,1,AFF Championship,Jakarta,Indonesia,FALSE,14,12,train
2006_02_18_monaco_chechnya_friendly,2006-02-18,Monaco,Chechnya,13,1,Friendly,Cap-d'Ail,France,TRUE,14,12,train
1882_02_18_northern_ireland_england_friendly,1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,FALSE,13,-13,train
1933_05_21_spain_bulgaria_friendly,1933-05-21,Spain,Bulgaria,13,0,Friendly,Madrid,Spain,FALSE,13,13,train
1940_09_01_germany_finland_friendly,1940-09-01,Germany,Finland,13,0,Friendly,Leipzig,Germany,FALSE,13,13,train
1966_04_06_libya_yemen_arab_cup,1966-04-06,Libya,Yemen,13,0,Arab Cup,Kut,Iraq,TRUE,13,13,train
1979_08_31_kiribati_papua_new_guinea_south_pacific_games,1979-08-31,Kiribati,Papua New Guinea,0,13,South Pacific Games,Suva,Fiji,TRUE,13,-13,train
1981_07_08_tahiti_samoa_south_pacific_mini_games,1981-07-08,Tahiti,Samoa,13,0,South Pacific Mini Games,Honiara,Solomon Islands,TRUE,13,13,train
1981_08_16_new_zealand_fiji_fifa_world_cup_qualification,1981-08-16,New Zealand,Fiji,13,0,FIFA World Cup qualification,Auckland,New Zealand,FALSE,13,13,train
1992_08_18_ethiopia_iraq_jordan_international_tournament,1992-08-18,Ethiopia,Iraq,0,13,Jordan International Tournament,Irbid,Jordan,TRUE,13,-13,train
1995_08_17_tahiti_wallis_islands_and_futuna_south_pacific_games,1995-08-17,Tahiti,Wallis Islands and Futuna,13,0,South Pacific Games,Papeete,Tahiti,FALSE,13,13,train
1997_06_11_australia_solomon_islands_fifa_world_cup_qualification,1997-06-11,Australia,Solomon Islands,13,0,FIFA World Cup qualification,Sydney,Australia,FALSE,13,13,train
1999_06_28_hitra_isle_of_man_island_games,1999-06-28,Hitra,Isle of Man,0,13,Island Games,Fardhem,Sweden,TRUE,13,-13,train
2001_04_07_fiji_american_samoa_fifa_world_cup_qualification,2001-04-07,Fiji,American Samoa,13,0,FIFA World Cup qualification,Coffs Harbour,Australia,TRUE,13,13,train
