dataset,column_position,column,class,typeof,n_missing,n_unique,example_values
statsbomb_competitions,1,competition_id,integer,integer,0,24,"9, 1267, 16, 223, 87"
statsbomb_competitions,2,season_id,integer,integer,0,48,"281, 27, 107, 4, 1"
statsbomb_competitions,3,country_name,character,character,0,13,"Germany, Africa, Europe, South America, Spain"
statsbomb_competitions,4,competition_name,character,character,0,24,"1. Bundesliga, African Cup of Nations, Champions League, Copa America, Copa del Rey"
statsbomb_competitions,5,competition_gender,character,character,0,2,"male, female"
statsbomb_competitions,6,competition_youth,logical,logical,0,2,"FALSE, TRUE"
statsbomb_competitions,7,competition_international,logical,logical,0,2,"FALSE, TRUE"
statsbomb_competitions,8,season_name,character,character,0,48,"2023/2024, 2015/2016, 2023, 2018/2019, 2017/2018"
statsbomb_competitions,9,match_updated,character,character,0,80,"2024-09-28T20:46:38.893391, 2024-05-19T11:11:14.192381, 2026-05-12T21:18:08.827431, 2026-05-15T15:54:04.598614, 2024-02-13T02:35:28.134882"
statsbomb_competitions,10,match_updated_360,character,character,22,16,"2025-11-15T23:17:41.827093, 2026-05-02T02:07:18.902396, 2021-06-13T16:17:31.694, 2026-05-04T01:53:40.309717, 2021-06-12T16:17:31.694"
statsbomb_competitions,11,match_available_360,character,character,68,13,"2025-11-15T23:17:41.827093, 2026-05-02T02:07:18.902396, 2026-05-04T01:53:40.309717, 2025-11-02T03:55:53.923193, 2026-04-06T18:59:05.942748"
statsbomb_competitions,12,match_available,character,character,0,80,"2024-09-28T20:46:38.893391, 2024-05-19T11:11:14.192381, 2026-05-12T21:18:08.827431, 2026-05-15T15:54:04.598614, 2024-02-13T02:35:28.134882"
statsbomb_matches,1,source,character,character,0,1,StatsBomb Open Data
statsbomb_matches,2,raw_file,character,character,0,80,"/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/116_68.json, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_1.json, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_2.json, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_21.json, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/11_22.json"
statsbomb_matches,3,source_match_id,character,character,0,3961,"3750234, 9880, 9912, 9924, 9855"
statsbomb_matches,4,date,Date,double,0,1362,"1977-08-28, 2018-04-14, 2018-04-29, 2018-05-06, 2018-03-18"
statsbomb_matches,5,season,character,character,0,48,"1977, 2017/2018, 2016/2017, 2009/2010, 2010/2011"
statsbomb_matches,6,competition,character,character,0,24,"North American League, La Liga, Indian Super league, African Cup of Nations, Serie A"
statsbomb_matches,7,home_team,character,character,0,344,"NY Cosmos, Barcelona, RC Deportivo La Coruña, Las Palmas, Eibar"
statsbomb_matches,8,away_team,character,character,0,343,"Seattle Sounders, Valencia, Barcelona, Real Madrid, Athletic Club"
statsbomb_matches,9,home_score,integer,integer,0,13,"2, 1, 0, 3, 6"
statsbomb_matches,10,away_score,integer,integer,0,10,"1, 4, 2, 0, 3"
statsbomb_matches,11,competition_id,integer,integer,0,24,"116, 11, 1238, 1267, 12"
statsbomb_matches,12,season_id,integer,integer,0,48,"68, 1, 2, 21, 22"
statsbomb_matches,13,match_week,integer,integer,0,38,"1, 32, 35, 36, 29"
statsbomb_matches,14,competition_country,character,character,0,13,"North and Central America, Spain, India, Africa, Italy"
statsbomb_matches,15,stadium,character,character,10,328,"Providence Park, Spotify Camp Nou, Estadio Abanca-Riazor, Estadio de Gran Canaria, Estadio Municipal de Ipurúa"
statsbomb_matches,16,data_version,character,character,2,4,"1.1.0, 1.0.3, 1.0.2"
statsbomb_matches,17,shot_fidelity_version,character,character,197,2,2
statsbomb_matches,18,xy_fidelity_version,character,character,243,2,2
statsbomb_matches,19,match_result,character,character,0,3,"H, A, D"
statsbomb_matches,20,result_class,integer,integer,0,3,"1, -1, 0"
statsbomb_matches,21,home_win,integer,integer,0,2,"1, 0"
statsbomb_matches,22,draw,integer,integer,0,2,"0, 1"
statsbomb_matches,23,away_win,integer,integer,0,2,"0, 1"
statsbomb_matches,24,goal_difference,integer,integer,0,21,"1, -2, 0, 2, 3"
statsbomb_matches,25,total_goals,integer,integer,0,14,"3, 6, 4, 2, 7"
statsbomb_matches,26,neutral,logical,logical,3961,1,
football_data_uk_matches,1,source,character,character,0,1,football-data.co.uk
football_data_uk_matches,2,raw_file,character,character,0,457,"/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/football_data_uk/0001/D1.csv, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/football_data_uk/0001/D2.csv, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/football_data_uk/0001/E0.csv, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/football_data_uk/0001/E1.csv, /Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/football_data_uk/0001/E2.csv"
football_data_uk_matches,3,source_match_id,character,character,0,177295,"D1_0001_1, D1_0001_2, D1_0001_3, D1_0001_4, D1_0001_5"
football_data_uk_matches,4,source_league_code,character,character,0,15,"D1, D2, E0, E1, E2"
football_data_uk_matches,5,source_season_code,character,character,0,31,"0001, 0102, 0203, 0304, 0405"
football_data_uk_matches,6,date,Date,double,0,7771,"2000-08-11, 2000-08-12, 2000-08-13, 2000-08-18, 2000-08-19"
football_data_uk_matches,7,season,character,character,0,31,"0001, 0102, 0203, 0304, 0405"
football_data_uk_matches,8,competition,character,character,0,15,"D1, D2, E0, E1, E2"
football_data_uk_matches,9,home_team,character,character,0,564,"Dortmund, Bayern Munich, Freiburg, Hamburg, Kaiserslautern"
football_data_uk_matches,10,away_team,character,character,0,564,"Hansa Rostock, Hertha, Stuttgart, Munich 1860, Bochum"
football_data_uk_matches,11,home_score,integer,integer,0,11,"1, 4, 2, 0, 3"
football_data_uk_matches,12,away_score,integer,integer,0,11,"0, 1, 2, 4, 3"
football_data_uk_matches,13,full_time_result,character,character,0,3,"H, D, A"
football_data_uk_matches,14,half_time_home_score,numeric,double,20041,9,"0, 1, 2, 3, 4"
football_data_uk_matches,15,half_time_away_score,numeric,double,20042,9,"0, 2, 1, 3, 4"
football_data_uk_matches,16,half_time_result,character,character,20041,4,"D, H, A"
football_data_uk_matches,17,home_shots,numeric,double,79199,47,"17, 14, 15, 18, 11"
football_data_uk_matches,18,away_shots,numeric,double,79196,41,"5, 11, 18, 9, 3"
football_data_uk_matches,19,home_shots_on_target,numeric,double,80117,27,"7, 6, 5, 2, 3"
football_data_uk_matches,20,away_shots_on_target,numeric,double,80114,23,"2, 5, 7, 3, 9"
football_data_uk_matches,21,home_corners,numeric,double,79571,27,"7, 4, 5, 6, 3"
football_data_uk_matches,22,away_corners,numeric,double,79571,24,"3, 9, 7, 5, 4"
football_data_uk_matches,23,home_fouls,numeric,double,80336,42,"25, 13, 22, 0, 9"
football_data_uk_matches,24,away_fouls,numeric,double,80336,42,"19, 12, 17, 0, 8"
football_data_uk_matches,25,home_yellow_cards,numeric,double,79015,13,"1, 2, 0, 3, 4"
football_data_uk_matches,26,away_yellow_cards,numeric,double,79014,12,"5, 0, 1, 2, 3"
football_data_uk_matches,27,home_red_cards,numeric,double,79014,5,"0, 1, 2, 3"
football_data_uk_matches,28,away_red_cards,numeric,double,79014,7,"0, 1, 2, 3, 4"
football_data_uk_matches,29,match_result,character,character,0,3,"H, D, A"
football_data_uk_matches,30,result_class,integer,integer,0,3,"1, 0, -1"
football_data_uk_matches,31,home_win,integer,integer,0,2,"1, 0"
