dataset,column,expected_class
statsbomb_matches,source,character
statsbomb_matches,raw_file,character
statsbomb_matches,source_match_id,character
statsbomb_matches,date,Date
statsbomb_matches,season,character
statsbomb_matches,competition,character
statsbomb_matches,home_team,character
statsbomb_matches,away_team,character
statsbomb_matches,home_score,integer
statsbomb_matches,away_score,integer
statsbomb_matches,match_result,character
statsbomb_matches,result_class,integer
statsbomb_matches,home_win,integer
statsbomb_matches,draw,integer
statsbomb_matches,away_win,integer
statsbomb_matches,goal_difference,integer
statsbomb_matches,total_goals,integer
statsbomb_matches,neutral,logical
football_data_uk_matches,source,character
football_data_uk_matches,raw_file,character
football_data_uk_matches,source_match_id,character
football_data_uk_matches,date,Date
football_data_uk_matches,season,character
football_data_uk_matches,competition,character
football_data_uk_matches,home_team,character
football_data_uk_matches,away_team,character
football_data_uk_matches,home_score,integer
football_data_uk_matches,away_score,integer
football_data_uk_matches,match_result,character
football_data_uk_matches,result_class,integer
football_data_uk_matches,home_win,integer
football_data_uk_matches,draw,integer
football_data_uk_matches,away_win,integer
football_data_uk_matches,goal_difference,integer
football_data_uk_matches,total_goals,integer
football_data_uk_matches,neutral,logical
international_results,source,character
international_results,raw_file,character
international_results,source_match_id,character
international_results,date,Date
international_results,season,character
international_results,competition,character
international_results,home_team,character
international_results,away_team,character
international_results,home_score,integer
international_results,away_score,integer
international_results,match_result,character
international_results,result_class,integer
international_results,home_win,integer
international_results,draw,integer
international_results,away_win,integer
international_results,goal_difference,integer
international_results,total_goals,integer
international_results,neutral,logical
statsbomb_competitions,competition_id,integer
statsbomb_competitions,season_id,integer
statsbomb_competitions,country_name,character
statsbomb_competitions,competition_name,character
statsbomb_competitions,competition_gender,character
statsbomb_competitions,competition_youth,logical
statsbomb_competitions,competition_international,logical
statsbomb_competitions,season_name,character
statsbomb_competitions,match_updated,character
statsbomb_competitions,match_updated_360,character
statsbomb_competitions,match_available_360,character
statsbomb_competitions,match_available,character
