competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
9,281,Germany,1. Bundesliga,male,FALSE,FALSE,2023/2024,2024-09-28T20:46:38.893391,2025-11-15T23:17:41.827093,2025-11-15T23:17:41.827093,2024-09-28T20:46:38.893391
9,27,Germany,1. Bundesliga,male,FALSE,FALSE,2015/2016,2024-05-19T11:11:14.192381,NA,NA,2024-05-19T11:11:14.192381
1267,107,Africa,African Cup of Nations,male,FALSE,TRUE,2023,2026-05-12T21:18:08.827431,2026-05-02T02:07:18.902396,2026-05-02T02:07:18.902396,2026-05-12T21:18:08.827431
16,4,Europe,Champions League,male,FALSE,FALSE,2018/2019,2026-05-15T15:54:04.598614,2021-06-13T16:17:31.694,NA,2026-05-15T15:54:04.598614
16,1,Europe,Champions League,male,FALSE,FALSE,2017/2018,2024-02-13T02:35:28.134882,2021-06-13T16:17:31.694,NA,2024-02-13T02:35:28.134882
16,2,Europe,Champions League,male,FALSE,FALSE,2016/2017,2024-02-13T02:37:32.205154,2021-06-13T16:17:31.694,NA,2024-02-13T02:37:32.205154
16,27,Europe,Champions League,male,FALSE,FALSE,2015/2016,2024-06-12T07:45:38.786894,2021-06-13T16:17:31.694,NA,2024-06-12T07:45:38.786894
16,26,Europe,Champions League,male,FALSE,FALSE,2014/2015,2024-02-12T12:49:54.914228,2021-06-13T16:17:31.694,NA,2024-02-12T12:49:54.914228
16,25,Europe,Champions League,male,FALSE,FALSE,2013/2014,2024-02-12T12:48:48.479157,2021-06-13T16:17:31.694,NA,2024-02-12T12:48:48.479157
16,24,Europe,Champions League,male,FALSE,FALSE,2012/2013,2024-02-12T12:47:34.340413,2021-06-13T16:17:31.694,NA,2024-02-12T12:47:34.340413
