source_match_id,date,season,tournament,home_team,away_team,home_score,away_score,match_result,result_class,neutral,city,country
1872_11_30_scotland_england_friendly,1872-11-30,1872,Friendly,Scotland,England,0,0,D,0,FALSE,Glasgow,Scotland
1873_03_08_england_scotland_friendly,1873-03-08,1873,Friendly,England,Scotland,4,2,H,1,FALSE,London,England
1874_03_07_scotland_england_friendly,1874-03-07,1874,Friendly,Scotland,England,2,1,H,1,FALSE,Glasgow,Scotland
1875_03_06_england_scotland_friendly,1875-03-06,1875,Friendly,England,Scotland,2,2,D,0,FALSE,London,England
1876_03_04_scotland_england_friendly,1876-03-04,1876,Friendly,Scotland,England,3,0,H,1,FALSE,Glasgow,Scotland
1876_03_25_scotland_wales_friendly,1876-03-25,1876,Friendly,Scotland,Wales,4,0,H,1,FALSE,Glasgow,Scotland
1877_03_03_england_scotland_friendly,1877-03-03,1877,Friendly,England,Scotland,1,3,A,-1,FALSE,London,England
1877_03_05_wales_scotland_friendly,1877-03-05,1877,Friendly,Wales,Scotland,0,2,A,-1,FALSE,Wrexham,Wales
1878_03_02_scotland_england_friendly,1878-03-02,1878,Friendly,Scotland,England,7,2,H,1,FALSE,Glasgow,Scotland
1878_03_23_scotland_wales_friendly,1878-03-23,1878,Friendly,Scotland,Wales,9,0,H,1,FALSE,Glasgow,Scotland
