decade,rows,rows_with_both_ratings,missing_either_rating,rating_coverage
1870,13,11,2,0.8461538461538461
1880,55,30,25,0.5454545454545454
1890,59,30,29,0.5084745762711864
1900,137,81,56,0.5912408759124088
1910,330,263,67,0.796969696969697
1920,831,668,163,0.8038507821901324
1930,1079,856,223,0.7933271547729379
1940,833,732,101,0.8787515006002401
1950,1651,1352,299,0.8188976377952756
1960,2971,2535,436,0.8532480646247055
1970,4133,3594,539,0.8695862569562062
1980,5025,4457,568,0.8869651741293533
1990,6944,6390,554,0.9202188940092166
2000,9526,8783,743,0.9220029393239555
2010,9787,8815,972,0.9006845815878206
2020,5883,5531,352,0.9401665816760156
