tournament,matches
Friendly,18257
FIFA World Cup qualification,8771
UEFA Euro qualification,2824
African Cup of Nations qualification,2327
FIFA World Cup,964
Copa América,869
African Cup of Nations,845
AFC Asian Cup qualification,829
UEFA Nations League,658
CECAFA Cup,620
CFU Caribbean Cup qualification,606
Merdeka Tournament,599
British Home Championship,523
CONCACAF Nations League,422
AFC Asian Cup,421
Gold Cup,420
Gulf Cup,410
Island Games,394
UEFA Euro,388
Asian Games,368
COSAFA Cup,354
AFF Championship,291
Nordic Championship,283
King's Cup,253
CFU Caribbean Cup,251
