date,tournament,home_team,away_team,home_score,away_score,total_goals,city,country
2001-04-11,FIFA World Cup qualification,Australia,American Samoa,31,0,31,Coffs Harbour,Australia
1971-09-13,South Pacific Games,Tahiti,Cook Islands,30,0,30,Papeete,Tahiti
1979-08-30,South Pacific Games,Fiji,Kiribati,24,0,24,Nausori,Fiji
2001-04-09,FIFA World Cup qualification,Australia,Tonga,22,0,22,Coffs Harbour,Australia
2006-11-24,Viva World Cup,Sápmi,Monaco,21,1,22,Hyères,France
2013-06-24,"International Tournament of Peoples, Cultures and Tribes",Provence,Tibet,22,0,22,Marseille,France
1966-04-03,Arab Cup,Libya,Oman,21,0,21,Baghdad,Iraq
1997-05-13,East Asian Games,Kazakhstan,Guam,20,1,21,Busan,South Korea
2005-03-11,EAFF Championship,Guam,North Korea,0,21,21,Taipei,Taiwan
2013-06-23,"International Tournament of Peoples, Cultures and Tribes",Quebec,Tibet,21,0,21,Marseille,France
1987-12-15,South Pacific Games,American Samoa,Papua New Guinea,0,20,20,Nouméa,New Caledonia
2000-02-14,AFC Asian Cup qualification,Kuwait,Bhutan,20,0,20,Kuwait City,Kuwait
2003-06-30,Island Games,Sark,Isle of Wight,0,20,20,Saint Martin,Guernsey
2014-06-01,CONIFA World Football Cup,Darfur,Padania,0,20,20,Östersund,Sweden
1983-08-22,South Pacific Games,Niue,Papua New Guinea,0,19,19,Apia,Western Samoa
2000-01-26,AFC Asian Cup qualification,China PR,Guam,19,0,19,Hanoi,Vietnam
2000-11-24,FIFA World Cup qualification,Iran,Guam,19,0,19,Tabriz,Iran
2003-06-29,Island Games,Gibraltar,Sark,19,0,19,Saint Martin,Guernsey
2014-06-02,CONIFA World Football Cup,Darfur,South Ossetia,0,19,19,Östersund,Sweden
1908-10-22,Olympic Games,France,Denmark,1,17,18,London,England
1963-09-06,South Pacific Games,Solomon Islands,Tahiti,0,18,18,Suva,Fiji
1979-08-30,South Pacific Games,Tahiti,Tuvalu,18,0,18,Suva,Fiji
1991-09-15,South Pacific Games,Guam,New Caledonia,0,18,18,Lae,Papua New Guinea
1994-03-19,Muratti Vase,Jersey,Alderney,18,0,18,Jersey,Jersey
2003-07-01,South Pacific Games,Micronesia,New Caledonia,0,18,18,Suva,Fiji
2003-07-07,South Pacific Games,Kiribati,Vanuatu,0,18,18,Lautoka,Fiji
2011-09-03,Pacific Games,Kiribati,Papua New Guinea,1,17,18,Boulari,New Caledonia
2011-09-05,Pacific Games,Kiribati,Tahiti,1,17,18,Boulari,New Caledonia
2012-01-14,Friendly,Gozo,Raetia,17,1,18,Xewkija,Malta
2012-06-05,Viva World Cup,Darfur,Provence,0,18,18,Erbil,Iraq
1917-05-07,Friendly,Japan,Philippines,2,15,17,Tokyo,Japan
1917-05-10,Far Eastern Championship Games,Japan,Philippines,2,15,17,Tokyo,Japan
1950-04-14,Friendly,Mauritius,Réunion,15,2,17,Antananarivo,Madagascar
1971-09-11,South Pacific Games,Cook Islands,Papua New Guinea,1,16,17,Papeete,Tahiti
1997-06-02,FIFA World Cup qualification,Maldives,Iran,0,17,17,Damascus,Syria
1998-08-01,Friendly,Palau,Guam,2,15,17,Koror,Palau
2000-06-19,Oceania Nations Cup,Australia,Cook Islands,17,0,17,Papeete,Tahiti
2003-06-30,South Pacific Games,Tahiti,Micronesia,17,0,17,Suva,Fiji
2010-10-14,CFU Caribbean Cup qualification,Dominican Republic,British Virgin Islands,17,0,17,San Cristóbal,Dominican Republic
2012-09-28,Coupe de l'Outre-Mer,Saint Pierre and Miquelon,New Caledonia,1,16,17,Clairefontaine-en-Yvelines,France
1912-07-01,Olympic Games,Germany,Russia,16,0,16,Stockholm,Sweden
1962-08-26,Asian Games,Malaysia,Philippines,15,1,16,Jakarta,Indonesia
1967-08-23,Friendly,Denmark,Iceland,14,2,16,Copenhagen,Denmark
1971-09-15,South Pacific Games,Cook Islands,Fiji,1,15,16,Papeete,Tahiti
1973-08-17,Palestine Cup,Algeria,Yemen,15,1,16,Benghazi,Libya
1995-08-21,South Pacific Games,Cook Islands,Solomon Islands,0,16,16,Papeete,Tahiti
1998-09-28,Oceania Nations Cup,Australia,Cook Islands,16,0,16,Brisbane,Australia
2000-11-26,FIFA World Cup qualification,Tajikistan,Guam,16,0,16,Tabriz,Iran
2003-07-01,Island Games,Greenland,Sark,16,0,16,Saint Martin,Guernsey
2003-09-29,AFC Asian Cup qualification,South Korea,Nepal,16,0,16,Incheon,South Korea
