team,matches
Sweden,1099
England,1088
Argentina,1066
Brazil,1057
Germany,1029
South Korea,1005
Hungary,1004
Mexico,1000
Uruguay,970
France,933
Italy,891
Poland,890
Switzerland,882
Netherlands,877
Denmark,872
Norway,870
Thailand,863
Austria,859
Belgium,851
Scotland,849
Malaysia,835
Chile,833
Finland,816
Zambia,793
Japan,789
United States,788
Paraguay,782
Spain,781
Romania,764
Egypt,754
Trinidad and Tobago,751
Russia,746
Saudi Arabia,738
Bulgaria,734
Indonesia,726
Wales,724
Costa Rica,722
Peru,712
Kenya,705
Northern Ireland,705
China PR,700
Singapore,694
Portugal,693
Uganda,685
Kuwait,683
Tunisia,676
Ghana,669
Jamaica,660
Nigeria,657
Iraq,652
Malawi,642
Turkey,640
Colombia,636
Senegal,636
Ivory Coast,635
Qatar,633
Greece,631
Republic of Ireland,630
Honduras,619
Cameroon,616
Algeria,615
Morocco,614
El Salvador,612
United Arab Emirates,612
Iran,610
Tanzania,599
Ecuador,589
Bahrain,583
Australia,579
Mali,568
Guatemala,552
Estonia,548
Oman,542
Guinea,538
Panama,536
Bolivia,532
India,530
DR Congo,522
Czechoslovakia,520
Iceland,520
Myanmar,510
Haiti,508
Israel,497
Zimbabwe,494
Jordan,483
Syria,483
Yugoslavia,483
South Africa,477
Sudan,469
Canada,467
Luxembourg,465
Burkina Faso,462
Latvia,459
Venezuela,458
Malta,456
Hong Kong,445
Togo,445
Lithuania,431
Cyprus,424
New Zealand,414
Angola,413
Ethiopia,407
Congo,406
Gabon,405
Suriname,399
Cuba,397
Albania,396
Croatia,394
North Korea,390
Libya,384
Curaçao,383
Mozambique,374
Slovakia,365
Czech Republic,358
Uzbekistan,352
Serbia,346
Philippines,340
Ukraine,336
Lebanon,333
Botswana,332
Martinique,331
Mauritius,325
Benin,323
Madagascar,319
Slovenia,315
Belarus,313
Guyana,313
Azerbaijan,308
Georgia,305
Bangladesh,304
North Macedonia,304
Barbados,302
Liberia,300
Sierra Leone,299
German DR,298
Moldova,297
Vietnam,297
Lesotho,295
Cambodia,293
Faroe Islands,285
Bosnia and Herzegovina,281
Rwanda,280
Namibia,279
Eswatini,274
Guadeloupe,271
Mauritania,271
Armenia,270
Nepal,268
Fiji,267
Kazakhstan,267
Yemen,266
Gambia,265
New Caledonia,265
Grenada,259
Niger,258
Liechtenstein,257
Sri Lanka,251
Pakistan,248
Palestine,247
Taiwan,245
Tahiti,242
Guernsey,240
Saint Vincent and the Grenadines,236
Jersey,235
Cape Verde,233
Antigua and Barbuda,231
Maldives,231
Saint Lucia,230
Andorra,226
Saint Kitts and Nevis,226
Laos,224
San Marino,223
Nicaragua,220
Burundi,217
Dominica,215
Solomon Islands,214
Vanuatu,213
Zanzibar,209
Tajikistan,199
Bermuda,197
Vietnam Republic,195
Guinea-Bissau,190
Kyrgyzstan,189
French Guiana,179
Equatorial Guinea,178
Seychelles,176
Turkmenistan,175
Montenegro,168
Puerto Rico,162
Dominican Republic,158
Gibraltar,157
Papua New Guinea,155
Aruba,151
Comoros,150
Macau,148
Afghanistan,144
Chad,138
Brunei,137
Central African Republic,136
Alderney,135
Réunion,124
Somalia,124
Belize,121
British Virgin Islands,121
Guam,121
Cayman Islands,118
Djibouti,111
Bhutan,109
Kosovo,102
Mongolia,101
Anguilla,91
Timor-Leste,86
South Sudan,78
United States Virgin Islands,78
Greenland,77
Eritrea,71
Samoa,71
São Tomé and Príncipe,71
Saint Martin,68
Tonga,68
Bahamas,67
Ynys Môn,67
Montserrat,66
Basque Country,64
Sint Maarten,60
Isle of Man,58
Shetland,58
American Samoa,55
Cook Islands,53
Turks and Caicos Islands,52
Åland Islands,51
Catalonia,48
Isle of Wight,48
Padania,45
Bonaire,43
Tuvalu,39
Mayotte,38
Frøya,37
Saare County,35
Northern Cyprus,34
Western Isles,34
Abkhazia,33
Falkland Islands,33
Occitania,33
Western Australia,32
Gotland,30
Northern Mariana Islands,30
Sápmi,29
Orkney,28
Tamil Eelam,28
Iraqi Kurdistan,27
Székely Land,27
Raetia,26
Menorca,25
Yemen DPR,25
Monaco,24
North Vietnam,24
Wallis Islands and Futuna,24
Hitra,23
Provence,23
Ellan Vannin,22
Tibet,21
Panjab,19
Rhodes,18
South Ossetia,17
Chagos Islands,16
Western Armenia,16
Gozo,14
Andalusia,13
Barawa,12
Brittany,12
Felvidék,12
Galicia,12
Kernow,12
Sealand,12
United Koreans in Japan,12
Artsakh,11
Kiribati,11
Kárpátalja,11
Arameans Suryoye,10
Saint Barthélemy,10
Corsica,9
County of Nice,9
Saarland,9
Western Sahara,9
Matabeleland,8
Saint Helena,8
Silesia,8
Cascadia,7
Chameria,7
Darfur,7
Micronesia,7
Romani people,7
Saint Pierre and Miquelon,7
Vatican City,7
Yorkshire,7
Ambazonia,6
Donetsk PR,6
Kabylia,6
Luhansk PR,6
Somaliland,6
Two Sicilies,6
Crimea,5
East Turkestan,5
Kurdistan,5
Canary Islands,4
Republic of St. Pauli,4
Sark,4
Biafra,3
Chechnya,3
Franconia,3
Găgăuzia,3
Hmong,3
Manchukuo,3
Parishes of Jersey,3
Quebec,3
South Yemen,3
Aymara,2
Central Spain,2
Délvidék,2
Mapuche,2
Marshall Islands,2
Maule Sur,2
Niue,2
Palau,2
Ticino,2
West Papua,2
Yoruba Nation,2
Asturias,1
Cilento,1
Elba Island,1
Madrid,1
Ryūkyū,1
Saugeais,1
Seborga,1
Surrey,1
