date,team,matches_on_date
1890-03-15,England,2
1891-03-07,England,2
1892-03-05,England,2
1909-04-04,Germany,2
1916-08-15,Argentina,2
1916-08-15,Uruguay,2
1916-10-01,Argentina,2
1916-10-01,Uruguay,2
1921-05-30,Japan,2
1921-05-30,Philippines,2
1922-10-22,Argentina,2
1923-12-02,Argentina,2
1924-05-25,Argentina,2
1924-05-25,Uruguay,2
1925-05-20,China PR,2
1925-05-20,Japan,2
1926-10-03,Sweden,2
1927-04-10,Hungary,2
1928-05-06,Austria,2
1928-05-06,Yugoslavia,2
1929-06-16,Argentina,2
1929-06-16,Uruguay,2
1930-09-28,Sweden,3
1932-09-25,Sweden,2
1932-10-02,Poland,2
1934-04-29,Hungary,2
1934-09-23,Sweden,2
1934-10-14,Poland,2
1935-05-12,Austria,2
1935-08-18,Germany,2
1935-09-15,Germany,2
1935-09-15,Poland,2
1935-10-06,Austria,2
1936-09-06,Poland,2
1936-09-27,Germany,2
1937-03-21,Germany,2
1937-09-12,Poland,2
1937-10-10,Poland,2
1938-03-20,Germany,2
1938-09-25,Poland,2
1939-03-26,Germany,2
1939-11-12,Czechoslovakia,2
1940-02-18,Argentina,2
1940-02-25,Argentina,2
1941-10-05,Germany,2
1944-10-04,Trinidad and Tobago,2
1945-09-30,Sweden,2
1946-09-15,Sweden,2
1948-05-23,Hungary,2
1948-09-19,Sweden,2
1948-09-27,Estonia,2
1949-09-11,Denmark,2
1949-10-02,Sweden,2
1950-07-11,Madagascar,2
1950-09-24,Sweden,2
1951-09-02,Sweden,2
1953-09-13,Poland,2
1953-10-04,Hungary,2
1963-08-14,Sweden,2
1965-04-18,Ethiopia,2
1965-07-20,Togo,2
1965-07-20,Uganda,2
1965-09-21,Liberia,2
1965-11-21,Brazil,2
1966-06-08,Brazil,2
1966-08-20,Singapore,2
1966-08-20,Taiwan,2
1966-08-23,Myanmar,2
1966-11-30,North Vietnam,2
1966-12-12,New Caledonia,2
1967-07-28,Peru,2
1967-07-30,Peru,2
1967-11-08,New Zealand,2
1969-02-02,Cameroon,2
1969-02-02,Uganda,2
1969-06-29,Cameroon,2
1969-06-29,Zambia,2
1969-11-01,Indonesia,2
1969-11-07,Thailand,2
1971-08-07,Malaysia,2
1971-10-06,Bermuda,2
1971-10-06,Mexico,2
1971-12-14,Cambodia,2
1971-12-14,Malaysia,2
1973-04-08,Ethiopia,2
1973-04-08,Tanzania,2
1973-06-05,Madagascar,2
1973-06-05,Zambia,2
1973-07-15,Nigeria,2
1973-07-15,Zambia,2
1973-07-29,Ivory Coast,2
1973-08-03,Cambodia,2
1973-08-03,Malaysia,3
1973-08-05,India,2
1973-08-11,South Korea,2
1974-02-17,New Caledonia,2
1974-02-17,Tahiti,2
1975-03-22,Morocco,2
1975-03-22,Senegal,2
1975-03-23,Kenya,2
1975-03-23,Sudan,2
1976-08-10,India,2
1976-08-14,India,2
1976-08-14,Indonesia,2
1978-04-26,Bulgaria,2
1978-07-16,Malaysia,2
1979-06-29,Japan,2
1979-06-29,Malaysia,2
1979-10-22,Guadeloupe,2
1979-10-22,Saint Vincent and the Grenadines,2
1980-10-20,Morocco,2
1980-10-22,Myanmar,2
1983-06-04,Thailand,2
1983-06-06,Thailand,2
1983-09-11,New Caledonia,2
1983-09-14,Fiji,2
1983-09-14,New Caledonia,2
1983-09-14,Papua New Guinea,2
1983-09-14,Tahiti,2
1984-09-12,German DR,2
1988-06-19,South Korea,2
1993-05-16,Macau,2
1993-05-18,Macau,2
1995-03-25,Bangladesh,2
1997-05-11,China PR,2
1997-07-03,Frøya,2
1997-07-03,Gibraltar,2
1997-07-03,Hitra,2
1997-07-03,Isle of Wight,2
1997-07-03,Shetland,2
1999-07-01,Gotland,2
1999-07-01,Greenland,2
2000-09-03,Iraq,2
2001-01-17,Uzbekistan,2
2010-05-30,Chile,2
2010-09-07,Guatemala,2
2010-10-12,Saudi Arabia,2
2024-09-02,Fiji,2
2025-05-25,Saint Kitts and Nevis,2
