model,split,class,support,predicted_n,true_positive,false_positive,false_negative,precision,recall,f1
frequency_baseline,validation,H,3808,7931,3808,4123,0,0.4801412180052957,1,0.6487775790101371
frequency_baseline,validation,D,1882,0,0,0,1882,0,0,0
frequency_baseline,validation,A,2241,0,0,0,2241,0,0,0
frequency_baseline,test,H,3632,7661,3632,4029,0,0.4740895444458948,1,0.6432303196670504
frequency_baseline,test,D,1792,0,0,0,1792,0,0,0
frequency_baseline,test,A,2237,0,0,0,2237,0,0,0
majority_baseline,validation,H,3808,7931,3808,4123,0,0.4801412180052957,1,0.6487775790101371
majority_baseline,validation,D,1882,0,0,0,1882,0,0,0
majority_baseline,validation,A,2241,0,0,0,2241,0,0,0
majority_baseline,test,H,3632,7661,3632,4029,0,0.4740895444458948,1,0.6432303196670504
majority_baseline,test,D,1792,0,0,0,1792,0,0,0
majority_baseline,test,A,2237,0,0,0,2237,0,0,0
rating_diff_multinom,validation,H,3808,5679,3382,2297,426,0.5955273815812643,0.8881302521008403,0.7129756508906925
rating_diff_multinom,validation,D,1882,0,0,0,1882,0,0,0
rating_diff_multinom,validation,A,2241,2252,1267,985,974,0.5626110124333925,0.5653726015171798,0.5639884264411307
rating_diff_multinom,test,H,3632,5512,3265,2247,367,0.592343976777939,0.898953744493392,0.7141294838145233
rating_diff_multinom,test,D,1792,0,0,0,1792,0,0,0
rating_diff_multinom,test,A,2237,2149,1289,860,948,0.5998138669148441,0.5762181493071077,0.5877792977656178
rating_diff_neutral_multinom,validation,H,3808,5578,3347,2231,461,0.6000358551452133,0.8789390756302521,0.7131898572341786
rating_diff_neutral_multinom,validation,D,1882,0,0,0,1882,0,0,0
rating_diff_neutral_multinom,validation,A,2241,2353,1304,1049,937,0.5541861453463663,0.5818830879071842,0.5676969960818459
rating_diff_neutral_multinom,test,H,3632,5354,3232,2122,400,0.6036608143444154,0.8898678414096917,0.7193411974182062
rating_diff_neutral_multinom,test,D,1792,0,0,0,1792,0,0,0
rating_diff_neutral_multinom,test,A,2237,2307,1361,946,876,0.5899436497615952,0.6084041126508717,0.599031690140845
