model,split,match_result,predicted_result,n,row_prop
frequency_baseline,validation,A,H,2072,1
frequency_baseline,validation,D,H,1741,1
frequency_baseline,validation,H,H,3536,1
frequency_baseline,test,A,H,2165,1
frequency_baseline,test,D,H,1732,1
frequency_baseline,test,H,H,3487,1
majority_baseline,validation,A,H,2072,1
majority_baseline,validation,D,H,1741,1
majority_baseline,validation,H,H,3536,1
majority_baseline,test,A,H,2165,1
majority_baseline,test,D,H,1732,1
majority_baseline,test,H,H,3487,1
rating_diff_multinom,validation,A,A,1179,0.569015444015444
rating_diff_multinom,validation,A,H,893,0.430984555984556
rating_diff_multinom,validation,D,A,528,0.3032739804709937
rating_diff_multinom,validation,D,H,1213,0.6967260195290064
rating_diff_multinom,validation,H,A,403,0.11397058823529412
rating_diff_multinom,validation,H,H,3133,0.8860294117647058
rating_diff_multinom,test,A,A,1243,0.5741339491916859
rating_diff_multinom,test,A,H,922,0.4258660508083141
rating_diff_multinom,test,D,A,474,0.27367205542725176
rating_diff_multinom,test,D,H,1258,0.7263279445727483
rating_diff_multinom,test,H,A,357,0.10238026957269859
rating_diff_multinom,test,H,H,3130,0.8976197304273014
rating_diff_neutral_multinom,validation,A,A,1210,0.583976833976834
rating_diff_neutral_multinom,validation,A,H,862,0.416023166023166
rating_diff_neutral_multinom,validation,D,A,559,0.3210798391728891
rating_diff_neutral_multinom,validation,D,H,1182,0.6789201608271108
rating_diff_neutral_multinom,validation,H,A,439,0.12415158371040724
rating_diff_neutral_multinom,validation,H,H,3097,0.8758484162895928
rating_diff_neutral_multinom,test,A,A,1321,0.6101616628175519
rating_diff_neutral_multinom,test,A,H,844,0.38983833718244804
rating_diff_neutral_multinom,test,D,A,526,0.30369515011547343
rating_diff_neutral_multinom,test,D,H,1206,0.6963048498845266
rating_diff_neutral_multinom,test,H,A,390,0.11184399197017493
rating_diff_neutral_multinom,test,H,H,3097,0.8881560080298251
