model,split,class,support,predicted_n,true_positive,false_positive,false_negative,precision,recall,f1
frequency_baseline,validation,H,3536,7349,3536,3813,0,0.48115389848959045,1,0.6497014239779514
frequency_baseline,validation,D,1741,0,0,0,1741,0,0,0
frequency_baseline,validation,A,2072,0,0,0,2072,0,0,0
frequency_baseline,test,H,3487,7384,3487,3897,0,0.47223726977248104,1,0.6415233189219023
frequency_baseline,test,D,1732,0,0,0,1732,0,0,0
frequency_baseline,test,A,2165,0,0,0,2165,0,0,0
rating_diff_neutral_multinom,validation,H,3536,5141,3097,2044,439,0.6024119821046489,0.8758484162895928,0.7138411893511581
rating_diff_neutral_multinom,validation,D,1741,0,0,0,1741,0,0,0
rating_diff_neutral_multinom,validation,A,2072,2208,1210,998,862,0.5480072463768116,0.583976833976834,0.5654205607476636
rating_diff_neutral_multinom,test,H,3487,5147,3097,2050,390,0.6017097338255294,0.8881560080298251,0.7173963400509613
rating_diff_neutral_multinom,test,D,1732,0,0,0,1732,0,0,0
rating_diff_neutral_multinom,test,A,2165,2237,1321,916,844,0.5905230219043361,0.6101616628175519,0.6001817355747388
draw_aware_abs_multinom,validation,H,3536,5172,3112,2060,424,0.6017014694508894,0.8800904977375565,0.714745062011943
draw_aware_abs_multinom,validation,D,1741,0,0,0,1741,0,0,0
draw_aware_abs_multinom,validation,A,2072,2177,1205,972,867,0.5535140101056499,0.5815637065637066,0.5671922805365968
draw_aware_abs_multinom,test,H,3487,5171,3103,2068,384,0.6000773544768904,0.8898766848293662,0.7167937167937168
draw_aware_abs_multinom,test,D,1732,0,0,0,1732,0,0,0
draw_aware_abs_multinom,test,A,2165,2213,1308,905,857,0.5910528694080434,0.6041570438799077,0.5975331201461854
draw_aware_quadratic_multinom,validation,H,3536,5174,3112,2062,424,0.601468882875918,0.8800904977375565,0.714580941446613
draw_aware_quadratic_multinom,validation,D,1741,0,0,0,1741,0,0,0
draw_aware_quadratic_multinom,validation,A,2072,2175,1204,971,868,0.5535632183908046,0.581081081081081,0.5669884624440781
draw_aware_quadratic_multinom,test,H,3487,5171,3103,2068,384,0.6000773544768904,0.8898766848293662,0.7167937167937168
draw_aware_quadratic_multinom,test,D,1732,0,0,0,1732,0,0,0
draw_aware_quadratic_multinom,test,A,2165,2213,1308,905,857,0.5910528694080434,0.6041570438799077,0.5975331201461854
