model,split,match_result,predicted_result,n,row_prop
frequency_baseline,validation,A,H,2072,1
frequency_baseline,validation,D,H,1741,1
frequency_baseline,validation,H,H,3536,1
frequency_baseline,test,A,H,2165,1
frequency_baseline,test,D,H,1732,1
frequency_baseline,test,H,H,3487,1
rating_diff_neutral_multinom,validation,A,A,1210,0.583976833976834
rating_diff_neutral_multinom,validation,A,H,862,0.416023166023166
rating_diff_neutral_multinom,validation,D,A,559,0.3210798391728891
rating_diff_neutral_multinom,validation,D,H,1182,0.6789201608271108
rating_diff_neutral_multinom,validation,H,A,439,0.12415158371040724
rating_diff_neutral_multinom,validation,H,H,3097,0.8758484162895928
rating_diff_neutral_multinom,test,A,A,1321,0.6101616628175519
rating_diff_neutral_multinom,test,A,H,844,0.38983833718244804
rating_diff_neutral_multinom,test,D,A,526,0.30369515011547343
rating_diff_neutral_multinom,test,D,H,1206,0.6963048498845266
rating_diff_neutral_multinom,test,H,A,390,0.11184399197017493
rating_diff_neutral_multinom,test,H,H,3097,0.8881560080298251
draw_aware_abs_multinom,validation,A,A,1205,0.5815637065637066
draw_aware_abs_multinom,validation,A,H,867,0.41843629343629346
draw_aware_abs_multinom,validation,D,A,548,0.3147616312464101
draw_aware_abs_multinom,validation,D,H,1193,0.6852383687535899
draw_aware_abs_multinom,validation,H,A,424,0.11990950226244344
draw_aware_abs_multinom,validation,H,H,3112,0.8800904977375565
draw_aware_abs_multinom,test,A,A,1308,0.6041570438799077
draw_aware_abs_multinom,test,A,H,857,0.3958429561200924
draw_aware_abs_multinom,test,D,A,521,0.3008083140877598
draw_aware_abs_multinom,test,D,H,1211,0.6991916859122402
draw_aware_abs_multinom,test,H,A,384,0.11012331517063378
draw_aware_abs_multinom,test,H,H,3103,0.8898766848293662
draw_aware_quadratic_multinom,validation,A,A,1204,0.581081081081081
draw_aware_quadratic_multinom,validation,A,H,868,0.4189189189189189
draw_aware_quadratic_multinom,validation,D,A,547,0.3141872487076393
draw_aware_quadratic_multinom,validation,D,H,1194,0.6858127512923607
draw_aware_quadratic_multinom,validation,H,A,424,0.11990950226244344
draw_aware_quadratic_multinom,validation,H,H,3112,0.8800904977375565
draw_aware_quadratic_multinom,test,A,A,1308,0.6041570438799077
draw_aware_quadratic_multinom,test,A,H,857,0.3958429561200924
draw_aware_quadratic_multinom,test,D,A,521,0.3008083140877598
draw_aware_quadratic_multinom,test,D,H,1211,0.6991916859122402
draw_aware_quadratic_multinom,test,H,A,384,0.11012331517063378
draw_aware_quadratic_multinom,test,H,H,3103,0.8898766848293662
