away_team_clean,outcome,n,team_n,outcome_rate
albania,H,120,188,0.6382978723404256
albania,D,36,188,0.19148936170212766
albania,A,32,188,0.1702127659574468
algeria,H,104,261,0.39846743295019155
algeria,D,77,261,0.2950191570881226
algeria,A,80,261,0.3065134099616858
andorra,H,96,113,0.8495575221238938
andorra,D,15,113,0.13274336283185842
andorra,A,2,113,0.017699115044247787
angola,H,86,210,0.4095238095238095
angola,D,81,210,0.38571428571428573
angola,A,43,210,0.20476190476190476
antigua_and_barbuda,H,64,101,0.6336633663366337
antigua_and_barbuda,D,18,101,0.1782178217821782
antigua_and_barbuda,A,19,101,0.18811881188118812
argentina,H,149,463,0.32181425485961124
argentina,D,130,463,0.28077753779697623
argentina,A,184,463,0.39740820734341253
armenia,H,91,139,0.6546762589928058
armenia,D,25,139,0.17985611510791366
armenia,A,23,139,0.16546762589928057
australia,H,84,254,0.33070866141732286
australia,D,62,254,0.2440944881889764
australia,A,108,254,0.4251968503937008
austria,H,173,399,0.43358395989974935
austria,D,96,399,0.24060150375939848
austria,A,130,399,0.3258145363408521
azerbaijan,H,105,158,0.6645569620253164
azerbaijan,D,32,158,0.20253164556962025
azerbaijan,A,21,158,0.13291139240506328
bahrain,H,106,232,0.45689655172413796
bahrain,D,61,232,0.2629310344827586
bahrain,A,65,232,0.2801724137931034
bangladesh,H,91,142,0.6408450704225352
bangladesh,D,24,142,0.16901408450704225
bangladesh,A,27,142,0.19014084507042253
barbados,H,77,125,0.616
barbados,D,18,125,0.144
barbados,A,30,125,0.24
belarus,H,88,170,0.5176470588235295
belarus,D,38,170,0.2235294117647059
belarus,A,44,170,0.25882352941176473
belgium,H,168,397,0.42317380352644834
belgium,D,96,397,0.24181360201511334
belgium,A,133,397,0.3350125944584383
benin,H,107,162,0.6604938271604939
benin,D,34,162,0.20987654320987653
benin,A,21,162,0.12962962962962962
bolivia,H,191,264,0.7234848484848485
bolivia,D,51,264,0.19318181818181818
bolivia,A,22,264,0.08333333333333333
bosnia_and_herzegovina,H,69,146,0.4726027397260274
bosnia_and_herzegovina,D,31,146,0.21232876712328766
