column,n_missing,missing_percent,n_distinct,top_values
city,0,0,2138,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
home_team_clean,0,0,327,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
away_team_clean,0,0,321,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
country,0,0,269,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
competition,0,0,198,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
tournament,0,0,198,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
is_continental_qualifier,0,0,2,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
is_continental_tournament,0,0,2,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
is_friendly,0,0,2,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
is_world_cup,0,0,2,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
is_world_cup_qualifier,0,0,2,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
neutral,0,0,2,2024=1231 | 2019=1149 | 2011=1119 | 2021=1115 | 2008=1101 | 2004=1079 | 2023=1054 | 2000=1040
