level,outcome,n,level_n,outcome_rate
AFC Asian Cup,H,195,421,0.46318289786223277
AFC Asian Cup,D,100,421,0.2375296912114014
AFC Asian Cup,A,126,421,0.2992874109263658
AFC Asian Cup qualification,H,484,829,0.5838359469240049
AFC Asian Cup qualification,D,137,829,0.1652593486127865
AFC Asian Cup qualification,A,208,829,0.25090470446320867
AFF Championship,H,160,291,0.5498281786941581
AFF Championship,D,59,291,0.2027491408934708
AFF Championship,A,72,291,0.24742268041237114
African Cup of Nations,H,379,845,0.4485207100591716
African Cup of Nations,D,242,845,0.2863905325443787
African Cup of Nations,A,224,845,0.2650887573964497
African Cup of Nations qualification,H,1277,2327,0.5487752470992694
African Cup of Nations qualification,D,571,2327,0.24538031800601634
African Cup of Nations qualification,A,479,2327,0.2058444348947142
Amílcar Cabral Cup,H,102,235,0.4340425531914894
Amílcar Cabral Cup,D,72,235,0.30638297872340425
Amílcar Cabral Cup,A,61,235,0.25957446808510637
Arab Cup,H,82,175,0.4685714285714286
Arab Cup,D,42,175,0.24
Arab Cup,A,51,175,0.2914285714285714
Asian Games,H,171,368,0.46467391304347827
Asian Games,D,58,368,0.15760869565217392
Asian Games,A,139,368,0.37771739130434784
Baltic Cup,H,49,102,0.4803921568627451
Baltic Cup,D,29,102,0.28431372549019607
Baltic Cup,A,24,102,0.23529411764705882
British Home Championship,H,236,523,0.45124282982791586
British Home Championship,D,109,523,0.2084130019120459
British Home Championship,A,178,523,0.3403441682600382
CCCF Championship,H,72,123,0.5853658536585366
CCCF Championship,D,17,123,0.13821138211382114
CCCF Championship,A,34,123,0.2764227642276423
CECAFA Cup,H,288,620,0.4645161290322581
CECAFA Cup,D,147,620,0.23709677419354838
CECAFA Cup,A,185,620,0.29838709677419356
CFU Caribbean Cup,H,118,251,0.4701195219123506
CFU Caribbean Cup,D,51,251,0.20318725099601595
CFU Caribbean Cup,A,82,251,0.32669322709163345
CFU Caribbean Cup qualification,H,312,606,0.5148514851485149
CFU Caribbean Cup qualification,D,124,606,0.20462046204620463
CFU Caribbean Cup qualification,A,170,606,0.28052805280528054
CONCACAF Championship,H,77,169,0.4556213017751479
CONCACAF Championship,D,47,169,0.2781065088757396
CONCACAF Championship,A,45,169,0.26627218934911245
CONCACAF Championship qualification,H,70,151,0.46357615894039733
CONCACAF Championship qualification,D,42,151,0.2781456953642384
CONCACAF Championship qualification,A,39,151,0.2582781456953642
CONCACAF Nations League,H,204,422,0.4834123222748815
CONCACAF Nations League,D,71,422,0.16824644549763032
CONCACAF Nations League,A,147,422,0.34834123222748814
CONIFA World Football Cup,H,41,101,0.40594059405940597
CONIFA World Football Cup,D,24,101,0.2376237623762376
CONIFA World Football Cup,A,36,101,0.3564356435643564
COSAFA Cup,H,139,354,0.3926553672316384
COSAFA Cup,D,106,354,0.2994350282485876
COSAFA Cup,A,109,354,0.307909604519774
Central European International Cup,H,68,126,0.5396825396825397
Central European International Cup,D,29,126,0.23015873015873015
Central European International Cup,A,29,126,0.23015873015873015
Confederations Cup,H,67,140,0.4785714285714286
Confederations Cup,D,25,140,0.17857142857142858
Confederations Cup,A,48,140,0.34285714285714286
Copa América,H,442,869,0.5086306098964327
Copa América,D,188,869,0.21634062140391255
Copa América,A,239,869,0.27502876869965476
EAFF Championship,H,62,130,0.47692307692307695
EAFF Championship,D,29,130,0.2230769230769231
EAFF Championship,A,39,130,0.3
FIFA World Cup,H,439,964,0.4553941908713693
FIFA World Cup,D,214,964,0.22199170124481327
FIFA World Cup,A,311,964,0.32261410788381745
FIFA World Cup qualification,H,4459,8771,0.5083798882681564
FIFA World Cup qualification,D,1855,8771,0.2114924181963288
FIFA World Cup qualification,A,2457,8771,0.28012769353551475
Friendly,H,8626,18257,0.47247631045626337
Friendly,D,4591,18257,0.2514651914334228
Friendly,A,5040,18257,0.27605849811031385
Gold Cup,H,223,420,0.530952380952381
Gold Cup,D,86,420,0.20476190476190476
Gold Cup,A,111,420,0.2642857142857143
Gulf Cup,H,164,410,0.4
Gulf Cup,D,106,410,0.25853658536585367
Gulf Cup,A,140,410,0.34146341463414637
Indian Ocean Island Games,H,64,110,0.5818181818181818
Indian Ocean Island Games,D,26,110,0.23636363636363636
Indian Ocean Island Games,A,20,110,0.18181818181818182
Island Games,H,216,394,0.5482233502538071
Island Games,D,47,394,0.11928934010152284
Island Games,A,131,394,0.33248730964467005
King's Cup,H,116,253,0.45849802371541504
King's Cup,D,63,253,0.2490118577075099
King's Cup,A,74,253,0.2924901185770751
Korea Cup,H,84,155,0.5419354838709678
Korea Cup,D,31,155,0.2
Korea Cup,A,40,155,0.25806451612903225
Merdeka Tournament,H,288,599,0.48080133555926546
Merdeka Tournament,D,128,599,0.21368948247078465
Merdeka Tournament,A,183,599,0.3055091819699499
Muratti Vase,H,117,220,0.5318181818181819
Muratti Vase,D,14,220,0.06363636363636363
Muratti Vase,A,89,220,0.40454545454545454
Nordic Championship,H,135,283,0.47703180212014135
Nordic Championship,D,53,283,0.1872791519434629
Nordic Championship,A,95,283,0.33568904593639576
Oceania Nations Cup,H,80,139,0.5755395683453237
Oceania Nations Cup,D,14,139,0.10071942446043165
Oceania Nations Cup,A,45,139,0.3237410071942446
SAFF Cup,H,86,162,0.5308641975308642
SAFF Cup,D,30,162,0.18518518518518517
SAFF Cup,A,46,162,0.2839506172839506
South Pacific Games,H,109,205,0.5317073170731708
South Pacific Games,D,23,205,0.11219512195121951
South Pacific Games,A,73,205,0.35609756097560974
Southeast Asian Games,H,115,182,0.6318681318681318
Southeast Asian Games,D,36,182,0.1978021978021978
Southeast Asian Games,A,31,182,0.17032967032967034
UEFA Euro,H,153,388,0.3943298969072165
UEFA Euro,D,102,388,0.26288659793814434
UEFA Euro,A,133,388,0.3427835051546392
UEFA Euro qualification,H,1372,2824,0.48583569405099153
UEFA Euro qualification,D,553,2824,0.1958215297450425
UEFA Euro qualification,A,899,2824,0.318342776203966
UEFA Nations League,H,283,658,0.43009118541033436
UEFA Nations League,D,165,658,0.2507598784194529
UEFA Nations League,A,210,658,0.3191489361702128
UNCAF Cup,H,94,164,0.573170731707317
UNCAF Cup,D,36,164,0.21951219512195122
UNCAF Cup,A,34,164,0.2073170731707317
WAFF Championship,H,49,114,0.4298245614035088
WAFF Championship,D,29,114,0.2543859649122807
WAFF Championship,A,36,114,0.3157894736842105
Windward Islands Tournament,H,43,101,0.42574257425742573
Windward Islands Tournament,D,25,101,0.24752475247524752
Windward Islands Tournament,A,33,101,0.32673267326732675
