country,outcome,n,country_n,outcome_rate
Albania,H,70,191,0.36649214659685864
Albania,D,46,191,0.24083769633507854
Albania,A,75,191,0.39267015706806285
Algeria,H,171,266,0.6428571428571429
Algeria,D,59,266,0.22180451127819548
Algeria,A,36,266,0.13533834586466165
Angola,H,93,177,0.5254237288135594
Angola,D,52,177,0.2937853107344633
Angola,A,32,177,0.1807909604519774
Antigua and Barbuda,H,56,127,0.4409448818897638
Antigua and Barbuda,D,23,127,0.18110236220472442
Antigua and Barbuda,A,48,127,0.3779527559055118
Argentina,H,289,473,0.6109936575052854
Argentina,D,113,473,0.23890063424947147
Argentina,A,71,473,0.15010570824524314
Armenia,H,35,112,0.3125
Armenia,D,25,112,0.22321428571428573
Armenia,A,52,112,0.4642857142857143
Australia,H,180,319,0.5642633228840125
Australia,D,53,319,0.16614420062695925
Australia,A,86,319,0.26959247648902823
Austria,H,265,542,0.488929889298893
Austria,D,118,542,0.2177121771217712
Austria,A,159,542,0.2933579335793358
Azerbaijan,H,43,140,0.30714285714285716
Azerbaijan,D,39,140,0.2785714285714286
Azerbaijan,A,58,140,0.4142857142857143
Bahrain,H,119,282,0.4219858156028369
Bahrain,D,71,282,0.25177304964539005
Bahrain,A,92,282,0.3262411347517731
Bangladesh,H,70,146,0.4794520547945205
Bangladesh,D,32,146,0.2191780821917808
Bangladesh,A,44,146,0.3013698630136986
Barbados,H,66,169,0.3905325443786982
Barbados,D,49,169,0.28994082840236685
Barbados,A,54,169,0.31952662721893493
Belarus,H,37,100,0.37
Belarus,D,27,100,0.27
Belarus,A,36,100,0.36
Belgium,H,244,446,0.547085201793722
Belgium,D,83,446,0.1860986547085202
Belgium,A,119,446,0.26681614349775784
Benin,H,44,120,0.36666666666666664
Benin,D,40,120,0.3333333333333333
Benin,A,36,120,0.3
Bermuda,H,46,105,0.4380952380952381
Bermuda,D,20,105,0.19047619047619047
Bermuda,A,39,105,0.37142857142857144
Bolivia,H,106,220,0.4818181818181818
Bolivia,D,56,220,0.2545454545454545
Bolivia,A,58,220,0.2636363636363636
Bosnia and Herzegovina,H,51,116,0.4396551724137931
Bosnia and Herzegovina,D,29,116,0.25
Bosnia and Herzegovina,A,36,116,0.3103448275862069
Botswana,H,62,158,0.3924050632911392
Botswana,D,39,158,0.2468354430379747
Botswana,A,57,158,0.36075949367088606
Brazil,H,345,579,0.5958549222797928
Brazil,D,120,579,0.20725388601036268
Brazil,A,114,579,0.19689119170984457
Bulgaria,H,142,291,0.4879725085910653
Bulgaria,D,69,291,0.23711340206185566
Bulgaria,A,80,291,0.27491408934707906
Burkina Faso,H,89,168,0.5297619047619048
