feature,value,outcome,n,group_n,outcome_rate
neutral,FALSE,H,18393,36262,0.5072251944183994
neutral,FALSE,D,8288,36262,0.2285588219072307
neutral,FALSE,A,9581,36262,0.2642159836743699
neutral,TRUE,H,5737,12995,0.44147749134282416
neutral,TRUE,D,2914,12995,0.22424009234320894
neutral,TRUE,A,4344,12995,0.33428241631396693
is_friendly,FALSE,H,15504,31000,0.5001290322580645
is_friendly,FALSE,D,6611,31000,0.21325806451612903
is_friendly,FALSE,A,8885,31000,0.28661290322580646
is_friendly,TRUE,H,8626,18257,0.47247631045626337
is_friendly,TRUE,D,4591,18257,0.2514651914334228
is_friendly,TRUE,A,5040,18257,0.27605849811031385
is_world_cup,FALSE,H,23691,48293,0.4905679912202597
is_world_cup,FALSE,D,10988,48293,0.22752779905990517
is_world_cup,FALSE,A,13614,48293,0.28190420971983515
is_world_cup,TRUE,H,439,964,0.4553941908713693
is_world_cup,TRUE,D,214,964,0.22199170124481327
is_world_cup,TRUE,A,311,964,0.32261410788381745
is_world_cup_qualifier,FALSE,H,19670,40485,0.48585896010868224
is_world_cup_qualifier,FALSE,D,9347,40485,0.23087563295047547
is_world_cup_qualifier,FALSE,A,11468,40485,0.2832654069408423
is_world_cup_qualifier,TRUE,H,4460,8772,0.5084359325125399
is_world_cup_qualifier,TRUE,D,1855,8772,0.21146830825353397
is_world_cup_qualifier,TRUE,A,2457,8772,0.28009575923392616
is_continental_qualifier,FALSE,H,20392,42101,0.484359041352937
is_continental_qualifier,FALSE,D,9712,42101,0.23068335668986484
is_continental_qualifier,FALSE,A,11997,42101,0.28495760195719816
is_continental_qualifier,TRUE,H,3738,7156,0.5223588596981554
is_continental_qualifier,TRUE,D,1490,7156,0.20821688093907212
is_continental_qualifier,TRUE,A,1928,7156,0.2694242593627725
is_continental_tournament,FALSE,H,19315,39027,0.49491377764112027
is_continental_tournament,FALSE,D,8870,39027,0.2272785507469188
is_continental_tournament,FALSE,A,10842,39027,0.27780767161196096
is_continental_tournament,TRUE,H,4815,10230,0.4706744868035191
is_continental_tournament,TRUE,D,2332,10230,0.22795698924731184
is_continental_tournament,TRUE,A,3083,10230,0.30136852394916913
