home_team_clean,outcome,n,team_n,outcome_rate
albania,H,78,208,0.375
albania,D,48,208,0.23076923076923078
albania,A,82,208,0.3942307692307692
algeria,H,206,354,0.5819209039548022
algeria,D,85,354,0.2401129943502825
algeria,A,63,354,0.17796610169491525
andorra,H,11,113,0.09734513274336283
andorra,D,16,113,0.1415929203539823
andorra,A,86,113,0.7610619469026548
angola,H,97,203,0.47783251231527096
angola,D,66,203,0.3251231527093596
angola,A,40,203,0.19704433497536947
antigua_and_barbuda,H,52,130,0.4
antigua_and_barbuda,D,25,130,0.19230769230769232
antigua_and_barbuda,A,53,130,0.4076923076923077
argentina,H,406,603,0.6733001658374793
argentina,D,127,603,0.21061359867330018
argentina,A,70,603,0.11608623548922056
armenia,H,42,131,0.32061068702290074
armenia,D,30,131,0.22900763358778625
armenia,A,59,131,0.45038167938931295
australia,H,188,325,0.5784615384615385
australia,D,60,325,0.18461538461538463
australia,A,77,325,0.23692307692307693
austria,H,236,460,0.5130434782608696
austria,D,88,460,0.19130434782608696
austria,A,136,460,0.2956521739130435
azerbaijan,H,39,150,0.26
azerbaijan,D,47,150,0.31333333333333335
azerbaijan,A,64,150,0.4266666666666667
bahrain,H,142,351,0.4045584045584046
bahrain,D,93,351,0.26495726495726496
bahrain,A,116,351,0.33048433048433046
bangladesh,H,52,162,0.32098765432098764
bangladesh,D,42,162,0.25925925925925924
bangladesh,A,68,162,0.41975308641975306
barbados,H,64,177,0.3615819209039548
barbados,D,49,177,0.2768361581920904
barbados,A,64,177,0.3615819209039548
belarus,H,49,143,0.34265734265734266
belarus,D,41,143,0.2867132867132867
belarus,A,53,143,0.3706293706293706
belgium,H,247,454,0.5440528634361234
belgium,D,85,454,0.18722466960352424
belgium,A,122,454,0.2687224669603524
benin,H,63,161,0.391304347826087
benin,D,44,161,0.2732919254658385
benin,A,54,161,0.33540372670807456
bermuda,H,45,111,0.40540540540540543
bermuda,D,21,111,0.1891891891891892
bermuda,A,45,111,0.40540540540540543
bolivia,H,97,268,0.3619402985074627
bolivia,D,68,268,0.2537313432835821
bolivia,A,103,268,0.3843283582089552
bosnia_and_herzegovina,H,58,135,0.42962962962962964
bosnia_and_herzegovina,D,34,135,0.2518518518518518
bosnia_and_herzegovina,A,43,135,0.31851851851851853
botswana,H,64,177,0.3615819209039548
botswana,D,46,177,0.2598870056497175
botswana,A,67,177,0.3785310734463277
brazil,H,436,612,0.7124183006535948
brazil,D,115,612,0.18790849673202614
brazil,A,61,612,0.09967320261437909
bulgaria,H,156,325,0.48
bulgaria,D,75,325,0.23076923076923078
bulgaria,A,94,325,0.28923076923076924
burkina_faso,H,110,215,0.5116279069767442
burkina_faso,D,60,215,0.27906976744186046
burkina_faso,A,45,215,0.20930232558139536
cambodia,H,50,152,0.32894736842105265
cambodia,D,28,152,0.18421052631578946
cambodia,A,74,152,0.4868421052631579
cameroon,H,174,296,0.5878378378378378
cameroon,D,77,296,0.26013513513513514
cameroon,A,45,296,0.15202702702702703
canada,H,101,212,0.47641509433962265
canada,D,45,212,0.21226415094339623
canada,A,66,212,0.3113207547169811
cape_verde,H,59,121,0.48760330578512395
cape_verde,D,29,121,0.2396694214876033
cape_verde,A,33,121,0.2727272727272727
chile,H,226,426,0.5305164319248826
chile,D,81,426,0.19014084507042253
chile,A,119,426,0.2793427230046948
china_pr,H,231,399,0.5789473684210527
china_pr,D,84,399,0.21052631578947367
china_pr,A,84,399,0.21052631578947367
colombia,H,156,305,0.5114754098360655
colombia,D,69,305,0.2262295081967213
colombia,A,80,305,0.26229508196721313
congo,H,95,203,0.46798029556650245
congo,D,48,203,0.23645320197044334
congo,A,60,203,0.2955665024630542
costa_rica,H,221,363,0.6088154269972452
costa_rica,D,82,363,0.22589531680440772
costa_rica,A,60,363,0.1652892561983471
croatia,H,115,190,0.6052631578947368
croatia,D,50,190,0.2631578947368421
croatia,A,25,190,0.13157894736842105
cuba,H,75,163,0.4601226993865031
cuba,D,41,163,0.25153374233128833
cuba,A,47,163,0.2883435582822086
cura_ao,H,87,185,0.4702702702702703
cura_ao,D,54,185,0.2918918918918919
cura_ao,A,44,185,0.23783783783783785
cyprus,H,62,234,0.26495726495726496
cyprus,D,49,234,0.2094017094017094
cyprus,A,123,234,0.5256410256410257
czech_republic,H,115,176,0.6534090909090909
czech_republic,D,24,176,0.13636363636363635
czech_republic,A,37,176,0.21022727272727273
czechoslovakia,H,148,241,0.6141078838174274
czechoslovakia,D,53,241,0.21991701244813278
czechoslovakia,A,40,241,0.16597510373443983
denmark,H,247,446,0.5538116591928252
denmark,D,91,446,0.2040358744394619
denmark,A,108,446,0.242152466367713
dominica,H,36,114,0.3157894736842105
dominica,D,26,114,0.22807017543859648
dominica,A,52,114,0.45614035087719296
dr_congo,H,124,220,0.5636363636363636
dr_congo,D,44,220,0.2
dr_congo,A,52,220,0.23636363636363636
ecuador,H,122,268,0.4552238805970149
ecuador,D,69,268,0.2574626865671642
ecuador,A,77,268,0.2873134328358209
egypt,H,291,443,0.6568848758465011
egypt,D,75,443,0.16930022573363432
egypt,A,77,443,0.17381489841986456
el_salvador,H,145,336,0.43154761904761907
el_salvador,D,76,336,0.2261904761904762
el_salvador,A,115,336,0.34226190476190477
england,H,340,548,0.6204379562043796
england,D,119,548,0.21715328467153286
england,A,89,548,0.1624087591240876
estonia,H,81,266,0.30451127819548873
estonia,D,64,266,0.24060150375939848
