.eda_split,feature,n,mean,median,sd,missing_percent
test,away_rating_pre_match,7742,1458.4701627486436,1473,319.0668149866613,2.75
train,away_rating_pre_match,40132,1542.1203777534288,1560,284.64749085642825,2.82
test,home_rating_pre_match,7730,1490.8240620957308,1514,319.8956892521817,2.9
train,home_rating_pre_match,40154,1551.5560342680458,1564,274.07572650330627,2.77
test,rating_age_days_away,7742,44.58395763368609,5,122.63571789405654,2.75
train,rating_age_days_away,40132,66.47814711453005,14,308.64037141563654,2.82
test,rating_age_days_home,7730,40.001164294955245,6,101.51622238139477,2.9
train,rating_age_days_home,40154,64.19821188424861,15,274.770173973236,2.77
test,rating_diff,7661,31.747291476308426,37,291.81614861003595,3.77
train,rating_diff,39653,10.20076665069209,10,265.6118485839023,3.98
test,season,7961,2021.775153875141,2022,2.376114534480261,0
train,season,41296,1988.3093277799387,1995,24.239491326123265,0
