season,feature,matches,non_missing_n,median_age_days,p90_age_days,p95_age_days,max_age_days,stale_gt_365_pct,stale_gt_730_pct,stale_gt_3650_pct
1872,rating_age_days_away,1,0,NA,NA,NA,NA,NA,NA,NA
1872,rating_age_days_home,1,0,NA,NA,NA,NA,NA,NA,NA
1873,rating_age_days_away,1,1,98,98,98,98,0,0,0
1873,rating_age_days_home,1,1,98,98,98,98,0,0,0
1874,rating_age_days_away,1,1,364,364,364,364,0,0,0
1874,rating_age_days_home,1,1,364,364,364,364,0,0,0
1875,rating_age_days_away,1,1,364,364,364,364,0,0,0
1875,rating_age_days_home,1,1,364,364,364,364,0,0,0
1876,rating_age_days_away,2,1,364,364,364,364,0,0,0
1876,rating_age_days_home,2,2,192.5,329.7,346.85,364,0,0,0
1877,rating_age_days_away,2,2,172.5,308.9,325.95,343,0,0,0
1877,rating_age_days_home,2,2,354.5,362.1,363.05,364,0,0,0
1878,rating_age_days_away,2,2,373.5,381.1,382.04999999999995,383,0.5,0,0
1878,rating_age_days_home,2,2,191.5,327.9,344.95,362,0,0,0
1879,rating_age_days_away,3,3,301,362.59999999999997,370.3,378,0.3333333333333333,0,0
1879,rating_age_days_home,3,3,79,273.4,297.7,322,0,0,0
1880,rating_age_days_away,3,3,12,276.7999999999999,309.9,343,0,0,0
1880,rating_age_days_home,3,3,341,342.59999999999997,342.8,343,0,0,0
1881,rating_age_days_away,3,3,336,347.2,348.59999999999997,350,0,0,0
1881,rating_age_days_home,3,3,16,281.5999999999999,314.8,348,0,0,0
1882,rating_age_days_away,5,4,16.5,246.40000000000003,294.69999999999993,343,0,0,0
1882,rating_age_days_home,5,4,182,357.8,359.9,362,0,0,0
1883,rating_age_days_away,5,4,160,339.5,344.75,350,0,0,0
1883,rating_age_days_home,5,4,29,240.00000000000006,283.4999999999999,327,0,0,0
1884,rating_age_days_away,6,5,21,338,344,350,0,0,0
1884,rating_age_days_home,6,4,43,245.00000000000006,286.9999999999999,329,0,0,0
1885,rating_age_days_away,7,4,13,250.70000000000005,300.3499999999999,350,0,0,0
1885,rating_age_days_home,7,5,14,349.20000000000005,349.6,350,0,0,0
1886,rating_age_days_away,7,5,14,360,361,362,0,0,0
1886,rating_age_days_home,7,4,22,234.40000000000006,278.1999999999999,322,0,0,0
1887,rating_age_days_away,6,4,21,233.80000000000007,277.89999999999986,322,0,0,0
1887,rating_age_days_home,6,5,21,314.2,314.6,315,0,0,0
1888,rating_age_days_away,7,5,21,208.7999999999999,264.4,320,0,0,0
1888,rating_age_days_home,7,5,179,341.8,348.4,355,0,0,0
1889,rating_age_days_away,6,4,23.5,255.50000000000006,302.7499999999999,350,0,0,0
1889,rating_age_days_home,6,5,51,338.8,344.4,350,0,0,0
1890,rating_age_days_away,6,5,21,336,336,336,0,0,0
1890,rating_age_days_home,6,4,161,324.8,332.9,341,0,0,0
1891,rating_age_days_away,6,4,175,341.6,345.8,350,0,0,0
1891,rating_age_days_home,6,5,28,336,336,336,0,0,0
1892,rating_age_days_away,6,5,336,344.4,347.2,350,0,0,0
1892,rating_age_days_home,6,4,7,242.20000000000005,292.5999999999999,343,0,0,0
1893,rating_age_days_away,5,3,350,351.59999999999997,351.79999999999995,352,0,0,0
1893,rating_age_days_home,5,5,16,204.9999999999999,266.99999999999994,329,0,0,0
1894,rating_age_days_away,6,5,12,211.9999999999999,273.99999999999994,336,0,0,0
1894,rating_age_days_home,6,4,169,346.5,351.75,357,0,0,0
1895,rating_age_days_away,6,4,178.5,354.9,355.95,357,0,0,0
1895,rating_age_days_home,6,5,9,209.19999999999987,272.59999999999997,336,0,0,0
1896,rating_age_days_away,6,5,9,209.19999999999987,272.59999999999997,336,0,0,0
1896,rating_age_days_home,6,4,179.5,347.9,348.95,350,0,0,0
1897,rating_age_days_away,6,4,179.5,350,350,350,0,0,0
1897,rating_age_days_home,6,5,14,207.9999999999999,265,322,0,0,0
1898,rating_age_days_away,6,5,23,212.7999999999999,274.4,336,0,0,0
1898,rating_age_days_home,6,4,168,343.1,346.55,350,0,0,0
1899,rating_age_days_away,6,4,177.5,347.3,348.65,350,0,0,0
1899,rating_age_days_home,6,5,19,205.19999999999987,263.59999999999997,322,0,0,0
1900,rating_age_days_away,6,5,28,333.79999999999995,338.4,343,0,0,0
1900,rating_age_days_home,6,4,32.5,221.20000000000005,261.0999999999999,301,0,0,0
1901,rating_age_days_away,6,4,11.5,24.400000000000002,26.199999999999996,28,0,0,0
1901,rating_age_days_home,6,5,322,339,340,341,0,0,0
1902,rating_age_days_away,8,5,28,337.2,337.59999999999997,338,0,0,0
1902,rating_age_days_home,8,4,21,243.60000000000005,289.7999999999999,336,0,0,0
1903,rating_age_days_away,10,7,212,379.20000000000005,399.59999999999997,420,0.14285714285714285,0,0
1903,rating_age_days_home,10,9,67,313.5999999999999,366.79999999999995,420,0.1111111111111111,0,0
1904,rating_age_days_away,9,7,28,273.40000000000003,302.19999999999993,331,0,0,0
1904,rating_age_days_home,9,6,182,340.5,341.75,343,0,0,0
1905,rating_age_days_away,15,8,52.5,442.29999999999995,572.1499999999997,702,0.125,0,0
1905,rating_age_days_home,15,11,182,364,533,702,0.09090909090909091,0,0
1906,rating_age_days_away,16,12,128,349.3,450.79999999999984,574,0.08333333333333333,0,0
1906,rating_age_days_home,16,11,28,350,353.5,357,0,0,0
1907,rating_age_days_away,15,10,91,327.4,329.2,331,0,0,0
1907,rating_age_days_home,15,11,28,154,168,182,0,0,0
1908,rating_age_days_away,30,23,28,280.4000000000001,321.2,355,0,0,0
1908,rating_age_days_home,30,24,28.5,321.7,334.34999999999997,1120,0.041666666666666664,0.041666666666666664,0
1909,rating_age_days_away,22,18,25,319.8,335.94999999999993,364,0,0,0
1909,rating_age_days_home,22,19,22,208.5999999999999,315.9,324,0,0,0
1910,rating_age_days_away,30,24,33,285.59999999999997,343.8499999999999,364,0,0,0
1910,rating_age_days_home,30,23,63,317.6,334.2,791,0.043478260869565216,0.043478260869565216,0
1911,rating_age_days_away,35,31,33,182,315,371,0.03225806451612903,0,0
1911,rating_age_days_home,35,30,28.5,225.60000000000002,254.64999999999986,280,0,0,0
1912,rating_age_days_away,53,47,28,238.2,268.79999999999995,355,0,0,0
1912,rating_age_days_home,53,46,13.5,177,268,336,0,0,0
1913,rating_age_days_away,38,35,28,203.00000000000006,299.49999999999983,539,0.02857142857142857,0,0
1913,rating_age_days_home,38,32,49,287.70000000000016,304.15,1106,0.03125,0.03125,0
1914,rating_age_days_away,33,28,41,184.8,257.24999999999983,689,0.03571428571428571,0,0
1914,rating_age_days_home,33,30,38.5,281.40000000000003,301.69999999999993,329,0,0,0
1915,rating_age_days_away,18,15,35,204.39999999999998,234.49999999999994,259,0,0,0
1915,rating_age_days_home,18,13,112,256.20000000000005,301.79999999999984,366,0.07692307692307693,0,0
1916,rating_age_days_away,29,25,28,156.8000000000001,209.99999999999991,294,0,0,0
1916,rating_age_days_home,29,26,28.5,271.5,562,1015,0.07692307692307693,0.038461538461538464,0
1917,rating_age_days_away,27,26,28,442.5,649.25,721,0.15384615384615385,0,0
1917,rating_age_days_home,27,24,28,240.8,259.45,1057,0.041666666666666664,0.041666666666666664,0
1918,rating_age_days_away,17,17,21,172.8,238.79999999999995,270,0,0,0
1918,rating_age_days_home,17,17,28,226.8,239.79999999999995,275,0,0,0
1919,rating_age_days_away,50,40,28,583.4000000000003,1026.1,1831,0.125,0.1,0
1919,rating_age_days_home,50,40,49.5,276.1,594.6499999999987,1849,0.075,0.05,0
1920,rating_age_days_away,54,44,27,282.8000000000002,445.0500000000002,2393,0.06818181818181818,0.045454545454545456,0
1920,rating_age_days_home,54,48,18.5,226.10000000000002,403.79999999999967,658,0.0625,0,0
1921,rating_age_days_away,60,50,28,336.70000000000005,580.399999999999,1991,0.08,0.06,0
1921,rating_age_days_home,60,46,42,293,730.5,1991,0.08695652173913043,0.06521739130434782,0
1922,rating_age_days_away,73,60,25,232.3,327.09999999999997,561,0.016666666666666666,0,0
1922,rating_age_days_home,73,63,35,196,258.9,364,0,0,0
1923,rating_age_days_away,94,81,22,295,336,3355,0.037037037037037035,0.012345679012345678,0
1923,rating_age_days_home,94,81,35,315,378,897,0.06172839506172839,0.012345679012345678,0
1924,rating_age_days_away,110,98,21,192.7,308,1530,0.030612244897959183,0.030612244897959183,0
1924,rating_age_days_home,110,98,21,194.79999999999995,247.39999999999986,2821,0.030612244897959183,0.02040816326530612,0
1925,rating_age_days_away,87,76,29,195,256.25,378,0.013157894736842105,0,0
1925,rating_age_days_home,87,77,28,220.20000000000022,308,728,0.012987012987012988,0,0
1926,rating_age_days_away,88,76,21,254.5,310.25,658,0.02631578947368421,0,0
1926,rating_age_days_home,88,78,35.5,289.09999999999997,330.49999999999994,710,0.02564102564102564,0,0
1927,rating_age_days_away,82,72,42,278.9000000000001,352.1500000000001,2245,0.05555555555555555,0.041666666666666664,0
1927,rating_age_days_home,82,72,41.5,229.80000000000007,373.40000000000015,2245,0.05555555555555555,0.041666666666666664,0
1928,rating_age_days_away,99,89,21,227.20000000000005,361.9999999999999,1627,0.056179775280898875,0.011235955056179775,0
1928,rating_age_days_home,99,89,28,266,334.5999999999997,1429,0.0449438202247191,0.011235955056179775,0
1929,rating_age_days_away,84,73,34,286.79999999999995,379.5999999999999,3228,0.0684931506849315,0.0136986301369863,0
1929,rating_age_days_home,84,75,28,257.6000000000002,275.5,439,0.02666666666666667,0,0
1930,rating_age_days_away,115,96,25,256,764.25,2283,0.07291666666666667,0.0625,0
1930,rating_age_days_home,115,105,28,252.60000000000014,707.5999999999991,3102,0.06666666666666667,0.05714285714285714,0
1931,rating_age_days_away,100,87,35,257.8,417.70000000000005,481,0.06896551724137931,0,0
1931,rating_age_days_home,100,89,33,213.20000000000002,255.5999999999999,424,0.02247191011235955,0,0
1932,rating_age_days_away,93,84,28,169.40000000000003,251.39999999999998,726,0.023809523809523808,0,0
1932,rating_age_days_home,93,82,26.5,247.00000000000006,302.20000000000005,1940,0.024390243902439025,0.024390243902439025,0
1933,rating_age_days_away,95,83,28,256.79999999999995,309.09999999999974,2144,0.03614457831325301,0.024096385542168676,0
1933,rating_age_days_home,95,87,28,245,328.80000000000007,1751,0.034482758620689655,0.022988505747126436,0
1934,rating_age_days_away,111,96,24,179,283.5,2093,0.03125,0.03125,0
1934,rating_age_days_home,111,92,35,293.00000000000006,713.6500000000002,2082,0.07608695652173914,0.05434782608695652,0
1935,rating_age_days_away,119,107,28,212.80000000000004,297.4999999999996,1832,0.037383177570093455,0.028037383177570093,0
1935,rating_age_days_home,119,112,21,225.80000000000013,436.3999999999994,1818,0.0625,0.044642857142857144,0
1936,rating_age_days_away,85,75,21,143,257.9999999999997,1029,0.02666666666666667,0.013333333333333334,0
1936,rating_age_days_home,85,77,32,265.4,296.0000000000002,1106,0.03896103896103896,0.03896103896103896,0
1937,rating_age_days_away,121,99,18,179.20000000000016,341.39999999999986,922,0.04040404040404041,0.010101010101010102,0
1937,rating_age_days_home,121,107,28,233.20000000000002,287.49999999999983,2004,0.04672897196261682,0.028037383177570093,0
1938,rating_age_days_away,152,129,14,222.00000000000003,386.99999999999926,1478,0.05426356589147287,0.023255813953488372,0
1938,rating_age_days_home,152,137,20,242.4,700.9999999999989,2941,0.08029197080291971,0.051094890510948905,0
1939,rating_age_days_away,88,80,28,249.60000000000014,435.04999999999916,1122,0.075,0.0375,0
1939,rating_age_days_home,88,75,28,241.00000000000003,361.79999999999995,724,0.05333333333333334,0,0
1940,rating_age_days_away,57,50,25,334.70000000000005,360.99999999999994,2220,0.06,0.02,0
1940,rating_age_days_home,57,53,42,383.6000000000002,1090.3999999999992,1409,0.11320754716981132,0.07547169811320754,0
1941,rating_age_days_away,52,51,20,721,984.5,4392,0.13725490196078433,0.09803921568627451,0.0196078431372549
1941,rating_age_days_home,52,50,21,352.8,580.5499999999992,1057,0.1,0.04,0
1942,rating_age_days_away,57,54,21,382.90000000000026,725.1499999999994,1464,0.1111111111111111,0.05555555555555555,0
1942,rating_age_days_home,57,55,49,657,946.6999999999985,2035,0.16363636363636364,0.09090909090909091,0
1943,rating_age_days_away,35,35,7,435.20000000000016,837.8999999999996,3168,0.11428571428571428,0.08571428571428572,0
1943,rating_age_days_home,35,35,18,634.0000000000002,814.1999999999998,852,0.17142857142857143,0.08571428571428572,0
1944,rating_age_days_away,30,30,4,456.10000000000196,1778.3999999999996,2052,0.1,0.1,0
1944,rating_age_days_home,30,30,4,280.1,594.5499999999986,1015,0.06666666666666667,0.06666666666666667,0
1945,rating_age_days_away,65,64,24.5,1595.300000000001,2133.95,2350,0.25,0.203125,0
1945,rating_age_days_home,65,65,28,1062,1663.3999999999983,2376,0.2,0.12307692307692308,0
1946,rating_age_days_away,115,105,7,271,586.3999999999999,3057,0.08571428571428572,0.047619047619047616,0
1946,rating_age_days_home,115,109,12,328.2,608.3999999999993,5832,0.09174311926605505,0.045871559633027525,0.009174311926605505
1947,rating_age_days_away,141,131,15,361,1877.5,4937,0.09923664122137404,0.06870229007633588,0.015267175572519083
1947,rating_age_days_home,141,128,17,364.29999999999995,2552.55,5026,0.1015625,0.0859375,0.015625
1948,rating_age_days_away,128,113,28,307.7999999999998,400.5999999999996,3917,0.08849557522123894,0.035398230088495575,0.008849557522123894
1948,rating_age_days_home,128,121,25,371,574,3682,0.11570247933884298,0.049586776859504134,0.008264462809917356
1949,rating_age_days_away,153,140,21,334,463.34999999999985,4298,0.09285714285714286,0.02142857142857143,0.007142857142857143
1949,rating_age_days_home,153,132,28,327.30000000000007,416.8999999999995,871,0.07575757575757576,0.007575757575757576,0
1950,rating_age_days_away,135,116,21,268,315.75,754,0.017241379310344827,0.008620689655172414,0
1950,rating_age_days_home,135,130,26,287.9000000000001,390.5999999999999,4530,0.06153846153846154,0.023076923076923078,0.007692307692307693
1951,rating_age_days_away,106,97,21,365.6,499.59999999999985,4635,0.10309278350515463,0.041237113402061855,0.010309278350515464
1951,rating_age_days_home,106,97,35,333.2000000000001,522.3999999999993,6584,0.07216494845360824,0.030927835051546393,0.010309278350515464
1952,rating_age_days_away,118,104,14.5,327.6000000000001,488.49999999999926,1054,0.0673076923076923,0.009615384615384616,0
1952,rating_age_days_home,118,107,21,254,363.09999999999997,783,0.04672897196261682,0.009345794392523364,0
1953,rating_age_days_away,179,163,21,541.8000000000025,1054.5000000000005,1397,0.11042944785276074,0.08588957055214724,0
1953,rating_age_days_home,179,156,18.5,354,470.75,1761,0.08333333333333333,0.02564102564102564,0
1954,rating_age_days_away,168,152,23,245.90000000000012,389.59999999999945,2264,0.06578947368421052,0.02631578947368421,0
1954,rating_age_days_home,168,155,21,326.2,391.1999999999996,1826,0.07096774193548387,0.03225806451612903,0
1955,rating_age_days_away,153,141,16,249,366,855,0.05673758865248227,0.02127659574468085,0
1955,rating_age_days_home,153,137,21,256.4000000000001,365.2,854,0.051094890510948905,0.0072992700729927005,0
1956,rating_age_days_away,196,164,17,260.5000000000001,347.2499999999998,1251,0.04878048780487805,0.018292682926829267,0
1956,rating_age_days_home,196,177,21,228.60000000000022,403.3999999999999,4539,0.05649717514124294,0.03389830508474576,0.005649717514124294
1957,rating_age_days_away,221,199,18,192.80000000000007,291.79999999999984,2868,0.03015075376884422,0.020100502512562814,0
1957,rating_age_days_home,221,204,18,216.50000000000026,293.19999999999993,10927,0.04411764705882353,0.0196078431372549,0.004901960784313725
