rating_diff_bucket,outcome,n,bucket_n,outcome_rate
"[-Inf,-500]",H,52,1452,0.03581267217630854
"[-Inf,-500]",D,129,1452,0.08884297520661157
"[-Inf,-500]",A,1271,1452,0.8753443526170799
"(-500,-300]",H,550,3852,0.14278296988577363
"(-500,-300]",D,854,3852,0.2217030114226376
"(-500,-300]",A,2448,3852,0.6355140186915887
"(-300,-150]",H,1813,7021,0.25822532402791626
"(-300,-150]",D,1961,7021,0.2793049423159094
"(-300,-150]",A,3247,7021,0.46246973365617433
"(-150,-50]",H,2406,6529,0.3685097258385664
"(-150,-50]",D,1942,6529,0.2974421810384439
"(-150,-50]",A,2181,6529,0.3340480931229897
"(-50,50]",H,3531,7530,0.4689243027888446
"(-50,50]",D,2132,7530,0.28313413014608235
"(-50,50]",A,1867,7530,0.24794156706507303
"(50,150]",H,4017,7050,0.5697872340425532
"(50,150]",D,1786,7050,0.25333333333333335
"(50,150]",A,1247,7050,0.1768794326241135
"(150,300]",H,5401,7698,0.7016108080020784
"(150,300]",D,1518,7698,0.19719407638347622
"(150,300]",A,779,7698,0.10119511561444532
"(300,500]",H,3658,4420,0.8276018099547511
"(300,500]",D,553,4420,0.1251131221719457
"(300,500]",A,209,4420,0.047285067873303166
"(500, Inf]",H,1674,1762,0.9500567536889898
"(500, Inf]",D,69,1762,0.03916004540295119
"(500, Inf]",A,19,1762,0.010783200908059024
