season,outcome,n,season_n,prop
1872,D,1,1,1
1873,H,1,1,1
1874,H,1,1,1
1875,D,1,1,1
1876,H,2,2,1
1877,A,2,2,1
1878,H,2,2,1
1879,H,2,3,0.6666666666666666
1879,A,1,3,0.3333333333333333
1880,H,2,3,0.6666666666666666
1880,A,1,3,0.3333333333333333
1881,A,3,3,1
1882,H,4,5,0.8
1882,A,1,5,0.2
1883,H,2,5,0.4
1883,D,1,5,0.2
1883,A,2,5,0.4
1884,H,3,6,0.5
1884,A,3,6,0.5
1885,H,2,7,0.2857142857142857
1885,D,2,7,0.2857142857142857
1885,A,3,7,0.42857142857142855
1886,H,3,7,0.42857142857142855
1886,D,1,7,0.14285714285714285
1886,A,3,7,0.42857142857142855
1887,H,4,6,0.6666666666666666
1887,A,2,6,0.3333333333333333
1888,H,4,7,0.5714285714285714
1888,A,3,7,0.42857142857142855
1889,H,3,6,0.5
1889,D,1,6,0.16666666666666666
1889,A,2,6,0.3333333333333333
1890,H,2,6,0.3333333333333333
1890,D,1,6,0.16666666666666666
1890,A,3,6,0.5
1891,H,5,6,0.8333333333333334
1891,A,1,6,0.16666666666666666
1892,H,1,6,0.16666666666666666
1892,D,1,6,0.16666666666666666
1892,A,4,6,0.6666666666666666
1893,H,4,5,0.8
1893,A,1,5,0.2
1894,H,2,6,0.3333333333333333
1894,D,2,6,0.3333333333333333
1894,A,2,6,0.3333333333333333
1895,H,3,6,0.5
1895,D,3,6,0.5
1896,H,3,6,0.5
1896,D,1,6,0.16666666666666666
1896,A,2,6,0.3333333333333333
1897,H,4,6,0.6666666666666666
1897,D,1,6,0.16666666666666666
1897,A,1,6,0.16666666666666666
1898,H,1,6,0.16666666666666666
1898,A,5,6,0.8333333333333334
1899,H,5,6,0.8333333333333334
1899,A,1,6,0.16666666666666666
1900,H,3,6,0.5
1900,D,1,6,0.16666666666666666
1900,A,2,6,0.3333333333333333
1901,H,3,6,0.5
1901,D,2,6,0.3333333333333333
1901,A,1,6,0.16666666666666666
1902,H,2,8,0.25
1902,D,2,8,0.25
1902,A,4,8,0.5
1903,H,6,10,0.6
1903,A,4,10,0.4
1904,H,2,9,0.2222222222222222
1904,D,4,9,0.4444444444444444
1904,A,3,9,0.3333333333333333
1905,H,8,15,0.5333333333333333
1905,D,4,15,0.26666666666666666
1905,A,3,15,0.2
1906,H,5,16,0.3125
1906,D,3,16,0.1875
1906,A,8,16,0.5
1907,H,7,15,0.4666666666666667
1907,D,2,15,0.13333333333333333
1907,A,6,15,0.4
1908,H,14,30,0.4666666666666667
1908,D,2,30,0.06666666666666667
1908,A,14,30,0.4666666666666667
1909,H,12,22,0.5454545454545454
1909,D,4,22,0.18181818181818182
1909,A,6,22,0.2727272727272727
1910,H,18,30,0.6
1910,D,2,30,0.06666666666666667
1910,A,10,30,0.3333333333333333
1911,H,18,35,0.5142857142857142
1911,D,5,35,0.14285714285714285
1911,A,12,35,0.34285714285714286
1912,H,26,53,0.49056603773584906
1912,D,9,53,0.16981132075471697
1912,A,18,53,0.33962264150943394
1913,H,21,38,0.5526315789473685
1913,D,5,38,0.13157894736842105
1913,A,12,38,0.3157894736842105
1914,H,15,33,0.45454545454545453
1914,D,10,33,0.30303030303030304
1914,A,8,33,0.24242424242424243
1915,H,11,18,0.6111111111111112
1915,D,3,18,0.16666666666666666
1915,A,4,18,0.2222222222222222
1916,H,13,29,0.4482758620689655
1916,D,7,29,0.2413793103448276
1916,A,9,29,0.3103448275862069
1917,H,14,27,0.5185185185185185
1917,D,3,27,0.1111111111111111
1917,A,10,27,0.37037037037037035
1918,H,11,17,0.6470588235294118
1918,D,3,17,0.17647058823529413
1918,A,3,17,0.17647058823529413
1919,H,34,50,0.68
1919,D,6,50,0.12
1919,A,10,50,0.2
1920,H,35,54,0.6481481481481481
1920,D,8,54,0.14814814814814814
1920,A,11,54,0.2037037037037037
1921,H,30,60,0.5
1921,D,14,60,0.23333333333333334
1921,A,16,60,0.26666666666666666
1922,H,33,73,0.4520547945205479
1922,D,19,73,0.2602739726027397
1922,A,21,73,0.2876712328767123
1923,H,44,94,0.46808510638297873
1923,D,18,94,0.19148936170212766
1923,A,32,94,0.3404255319148936
1924,H,65,110,0.5909090909090909
1924,D,15,110,0.13636363636363635
1924,A,30,110,0.2727272727272727
1925,H,40,87,0.45977011494252873
1925,D,15,87,0.1724137931034483
1925,A,32,87,0.367816091954023
1926,H,48,88,0.5454545454545454
1926,D,13,88,0.14772727272727273
1926,A,27,88,0.3068181818181818
1927,H,42,82,0.5121951219512195
1927,D,14,82,0.17073170731707318
1927,A,26,82,0.3170731707317073
1928,H,55,99,0.5555555555555556
1928,D,19,99,0.1919191919191919
1928,A,25,99,0.25252525252525254
1929,H,49,84,0.5833333333333334
1929,D,14,84,0.16666666666666666
1929,A,21,84,0.25
1930,H,66,115,0.5739130434782609
1930,D,21,115,0.1826086956521739
1930,A,28,115,0.24347826086956523
1931,H,60,100,0.6
1931,D,15,100,0.15
1931,A,25,100,0.25
1932,H,52,93,0.5591397849462365
1932,D,8,93,0.08602150537634409
1932,A,33,93,0.3548387096774194
1933,H,45,95,0.47368421052631576
1933,D,19,95,0.2
1933,A,31,95,0.3263157894736842
1934,H,54,111,0.4864864864864865
1934,D,18,111,0.16216216216216217
1934,A,39,111,0.35135135135135137
1935,H,63,119,0.5294117647058824
1935,D,22,119,0.18487394957983194
1935,A,34,119,0.2857142857142857
1936,H,40,85,0.47058823529411764
1936,D,13,85,0.15294117647058825
1936,A,32,85,0.3764705882352941
1937,H,60,121,0.49586776859504134
1937,D,22,121,0.18181818181818182
1937,A,39,121,0.32231404958677684
1938,H,81,152,0.5328947368421053
1938,D,22,152,0.14473684210526316
1938,A,49,152,0.3223684210526316
1939,H,45,88,0.5113636363636364
1939,D,12,88,0.13636363636363635
1939,A,31,88,0.3522727272727273
1940,H,32,57,0.5614035087719298
1940,D,14,57,0.24561403508771928
1940,A,11,57,0.19298245614035087
1941,H,26,52,0.5
1941,D,10,52,0.19230769230769232
1941,A,16,52,0.3076923076923077
1942,H,31,57,0.543859649122807
1942,D,10,57,0.17543859649122806
1942,A,16,57,0.2807017543859649
1943,H,14,35,0.4
1943,D,7,35,0.2
1943,A,14,35,0.4
1944,H,13,30,0.43333333333333335
1944,D,5,30,0.16666666666666666
1944,A,12,30,0.4
1945,H,43,65,0.6615384615384615
1945,D,7,65,0.1076923076923077
1945,A,15,65,0.23076923076923078
1946,H,78,115,0.6782608695652174
1946,D,11,115,0.09565217391304348
1946,A,26,115,0.22608695652173913
1947,H,64,141,0.45390070921985815
1947,D,22,141,0.15602836879432624
1947,A,55,141,0.3900709219858156
1948,H,69,128,0.5390625
1948,D,23,128,0.1796875
1948,A,36,128,0.28125
1949,H,74,153,0.48366013071895425
1949,D,19,153,0.12418300653594772
1949,A,60,153,0.39215686274509803
1950,H,70,135,0.5185185185185185
1950,D,19,135,0.14074074074074075
1950,A,46,135,0.34074074074074073
1951,H,60,106,0.5660377358490566
1951,D,19,106,0.1792452830188679
1951,A,27,106,0.25471698113207547
1952,H,56,118,0.4745762711864407
1952,D,18,118,0.15254237288135594
1952,A,44,118,0.3728813559322034
1953,H,77,179,0.4301675977653631
1953,D,35,179,0.19553072625698323
1953,A,67,179,0.3743016759776536
1954,H,73,168,0.43452380952380953
1954,D,29,168,0.17261904761904762
1954,A,66,168,0.39285714285714285
1955,H,75,153,0.49019607843137253
1955,D,28,153,0.1830065359477124
1955,A,50,153,0.32679738562091504
1956,H,91,196,0.4642857142857143
1956,D,41,196,0.20918367346938777
1956,A,64,196,0.32653061224489793
1957,H,116,221,0.5248868778280543
1957,D,38,221,0.17194570135746606
1957,A,67,221,0.3031674208144796
1958,H,91,188,0.48404255319148937
1958,D,45,188,0.2393617021276596
1958,A,52,188,0.2765957446808511
1959,H,100,187,0.5347593582887701
1959,D,31,187,0.1657754010695187
1959,A,56,187,0.2994652406417112
1960,H,133,218,0.6100917431192661
1960,D,34,218,0.1559633027522936
1960,A,51,218,0.23394495412844038
1961,H,124,233,0.5321888412017167
1961,D,39,233,0.16738197424892703
1961,A,70,233,0.30042918454935624
1962,H,142,246,0.5772357723577236
1962,D,36,246,0.14634146341463414
1962,A,68,246,0.2764227642276423
1963,H,161,315,0.5111111111111111
1963,D,63,315,0.2
1963,A,91,315,0.28888888888888886
1964,H,94,189,0.4973544973544973
1964,D,36,189,0.19047619047619047
1964,A,59,189,0.31216931216931215
1965,H,173,359,0.4818941504178273
1965,D,80,359,0.22284122562674094
1965,A,106,359,0.29526462395543174
1966,H,168,353,0.47592067988668557
1966,D,67,353,0.18980169971671387
1966,A,118,353,0.3342776203966006
1967,H,188,370,0.5081081081081081
1967,D,70,370,0.1891891891891892
1967,A,112,370,0.3027027027027027
1968,H,163,308,0.5292207792207793
1968,D,71,308,0.2305194805194805
1968,A,74,308,0.24025974025974026
1969,H,209,380,0.55
1969,D,87,380,0.22894736842105262
1969,A,84,380,0.22105263157894736
1970,H,167,349,0.4785100286532951
1970,D,78,349,0.22349570200573066
1970,A,104,349,0.2979942693409742
1971,H,211,408,0.5171568627450981
1971,D,86,408,0.2107843137254902
1971,A,111,408,0.27205882352941174
1972,H,199,419,0.47494033412887826
1972,D,100,419,0.2386634844868735
1972,A,120,419,0.2863961813842482
1973,H,255,488,0.5225409836065574
1973,D,114,488,0.2336065573770492
1973,A,119,488,0.24385245901639344
1974,H,178,382,0.46596858638743455
1974,D,88,382,0.23036649214659685
1974,A,116,382,0.3036649214659686
1975,H,218,397,0.5491183879093199
1975,D,74,397,0.18639798488664988
1975,A,105,397,0.26448362720403024
1976,H,183,400,0.4575
1976,D,101,400,0.2525
1976,A,116,400,0.29
1977,H,231,455,0.5076923076923077
1977,D,99,455,0.2175824175824176
1977,A,125,455,0.27472527472527475
1978,H,185,391,0.4731457800511509
1978,D,75,391,0.1918158567774936
1978,A,131,391,0.3350383631713555
1979,H,242,444,0.545045045045045
1979,D,87,444,0.19594594594594594
1979,A,115,444,0.25900900900900903
1980,H,232,509,0.45579567779960706
