stage,feature_variant,model,split,n,log_loss,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,mean_pred_D,median_pred_D
model_24_safe_features,NA,multinom,test,7562,0.8731751803848219,0.5982544300449617,0.4386980261087482,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,lightgbm,test,7562,0.8741575819111138,0.5949484263422375,0.4356705148207604,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,glmnet_multinomial_ridge,test,7562,0.8747550527428021,0.5970642687119809,0.4371737357591305,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,lightgbm,validation,7615,0.8934398018313399,0.5871306631648063,0.4285777491998591,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,multinom,validation,7615,0.894920422923475,0.5826657912015758,0.4241423187094829,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,glmnet_multinomial_ridge,validation,7615,0.8958549513263964,0.5847669074195666,0.4248950172168716,NA,NA,NA,NA,NA,NA
model_26_draw_aware_elo,baseline_safe,multinom,validation,7615,0.894920422923475,0.5826657912015758,0.4241423187094829,0,0,0,0.23742613263296125,0.2250572657204475,0.243560909474569
model_26_draw_aware_elo,baseline_safe,multinom,test,7562,0.8731751803848219,0.5982544300449617,0.4386980261087482,0,0,0,0.2359164242263951,0.21646544619931987,0.23333294640906277
model_26_draw_aware_elo,baseline_safe,glmnet_multinomial_ridge,validation,7615,0.8958549513263964,0.5847669074195666,0.4248950172168716,0,0,0,0.23742613263296125,0.2244519236058055,0.24157525536490232
model_26_draw_aware_elo,baseline_safe,glmnet_multinomial_ridge,test,7562,0.8747550527428021,0.5970642687119809,0.4371737357591305,0,0,0,0.2359164242263951,0.2166955610279994,0.23239162952799863
model_26_draw_aware_elo,baseline_safe,lightgbm,validation,7615,0.8934398018313399,0.5871306631648063,0.4285777491998591,5.530973451327434e-4,0.5,2.62639527248851e-4,0.23742613263296125,0.2234616069229142,0.25048847524213697
model_26_draw_aware_elo,baseline_safe,lightgbm,test,7562,0.8741575819111138,0.5949484263422375,0.4356705148207604,0,0,1.322401481089659e-4,0.2359164242263951,0.21235839770563197,0.2397028587646433
model_26_draw_aware_elo,draw_abs_only,multinom,validation,7615,0.8943960212574148,0.5846355876559423,0.4252268212013743,0,0,0,0.23742613263296125,0.22517904072771544,0.24674867270180173
model_26_draw_aware_elo,draw_abs_only,multinom,test,7562,0.8725842267307157,0.5981221898968527,0.4381631407726036,0,0,0,0.2359164242263951,0.21575894464633769,0.23564020920875456
model_26_draw_aware_elo,draw_abs_only,glmnet_multinomial_ridge,validation,7615,0.8952074845454021,0.584241628365069,0.42373178783494847,0,0,0,0.23742613263296125,0.22456592366391576,0.2455748028755307
model_26_draw_aware_elo,draw_abs_only,glmnet_multinomial_ridge,test,7562,0.874058885851389,0.596799788415763,0.43652646944095846,0,0,0,0.2359164242263951,0.21574784545762973,0.23504206835760277
model_26_draw_aware_elo,draw_abs_only,lightgbm,validation,7615,0.8934086472177162,0.5858174655285621,0.42779021849787446,0.00110619469026548,0.6666666666666666,3.939592908732764e-4,0.23742613263296125,0.22330205590988145,0.24954693100188732
model_26_draw_aware_elo,draw_abs_only,lightgbm,test,7562,0.8743237826904741,0.5942872256016927,0.43523975142680255,0,0,0,0.2359164242263951,0.21262946541247751,0.23911917394086107
model_26_draw_aware_elo,draw_smooth,multinom,validation,7615,0.8937074949279274,0.5838476690741957,0.4247154599790514,0,0,1.313197636244255e-4,0.23742613263296125,0.22514905922457903,0.2482903572475814
model_26_draw_aware_elo,draw_smooth,multinom,test,7562,0.8721059731704836,0.5977254694525258,0.43776572037179656,0,0,0,0.2359164242263951,0.21554709405084352,0.23730982599898803
model_26_draw_aware_elo,draw_smooth,glmnet_multinomial_ridge,validation,7615,0.8947475000213387,0.5837163493105713,0.4232499244961318,0,0,0,0.23742613263296125,0.22454199790703863,0.24653922241716317
model_26_draw_aware_elo,draw_smooth,glmnet_multinomial_ridge,test,7562,0.8737452375024392,0.596799788415763,0.43637431478025057,0,0,0,0.2359164242263951,0.21552942286760116,0.23620546354544936
model_26_draw_aware_elo,draw_smooth,lightgbm,validation,7615,0.8935118951215532,0.5860801050558109,0.4276944994896757,5.530973451327434e-4,1,1.313197636244255e-4,0.23742613263296125,0.2231821233458449,0.24952594652632984
model_26_draw_aware_elo,draw_smooth,lightgbm,test,7562,0.8739344404762989,0.5949484263422375,0.43554062116101494,0,0,0,0.2359164242263951,0.21244434149813685,0.2389514814366784
model_26_draw_aware_elo,draw_smooth_neutral,multinom,validation,7615,0.8936946011141992,0.584241628365069,0.4247277842008535,0,0,0,0.23742613263296125,0.225164356327402,0.2485718068656828
model_26_draw_aware_elo,draw_smooth_neutral,multinom,test,7562,0.8721487559456612,0.5971965088600899,0.43717083737669166,0,0,0,0.2359164242263951,0.21543110583182973,0.2373353127343352
model_26_draw_aware_elo,draw_smooth_neutral,glmnet_multinomial_ridge,validation,7615,0.8947677562606847,0.5839789888378201,0.4232031714645184,0,0,0,0.23742613263296125,0.2245644481522376,0.24652829954759745
model_26_draw_aware_elo,draw_smooth_neutral,glmnet_multinomial_ridge,test,7562,0.8737956153037354,0.5961385876752182,0.4356864828994697,0,0,0,0.2359164242263951,0.2154292832385069,0.23630287372868508
model_26_draw_aware_elo,draw_smooth_neutral,lightgbm,validation,7615,0.8936085511476911,0.5838476690741957,0.426176320375852,0.00110619469026548,0.5,5.25279054497702e-4,0.23742613263296125,0.2232618997292275,0.2506677987354277
model_26_draw_aware_elo,draw_smooth_neutral,lightgbm,test,7562,0.874678384901403,0.5937582650092568,0.4346363387048251,0,0,1.322401481089659e-4,0.2359164242263951,0.2123666493747284,0.24065622654900887
model_28_lagged_form,baseline_safe,multinom,validation,7366,0.8972567685503788,0.5824056475699159,0.423680219488416,0,0,0,0.2373065435786044,0.22834274332083615,0.2470698520772065
model_28_lagged_form,baseline_safe,multinom,test,7561,0.8729507984315922,0.5991270995900013,0.4392864835544485,0,0,0,0.2359476259754001,0.21928021795158095,0.23715932806554008
model_28_lagged_form,baseline_safe,glmnet_multinomial_ridge,validation,7366,0.8979818032019282,0.5826771653543307,0.42285815562192675,0,0,0,0.2373065435786044,0.2279446822902328,0.2455908917770261
model_28_lagged_form,baseline_safe,glmnet_multinomial_ridge,test,7561,0.8744839060443809,0.5964819468324296,0.4366188020655812,0,0,0,0.2359476259754001,0.2197525720829897,0.2364190371818328
model_28_lagged_form,baseline_safe,lightgbm,validation,7366,0.8953657595891827,0.5857996198751019,0.4292823047422921,0.0040045766590389,0.6363636363636364,0.00149334781428183,0.2373065435786044,0.22757845215528708,0.25476855650643243
model_28_lagged_form,baseline_safe,lightgbm,test,7561,0.8736783122712658,0.5930432482475863,0.43427321747229913,0,0,9.258034651501124e-4,0.2359476259754001,0.21592002202271984,0.24225303595996803
model_28_lagged_form,safe_plus_form_compact,multinom,validation,7366,0.894851509521105,0.5837632364919902,0.4246052826601517,0,0,0.00122183002986695,0.2373065435786044,0.2300030105869764,0.24823061982764968
model_28_lagged_form,safe_plus_form_compact,multinom,test,7561,0.8707373305885608,0.5991270995900013,0.44039117840798186,0.00168161434977578,0.42857142857142855,9.258034651501124e-4,0.2359476259754001,0.22106664343595417,0.23791132952698213
model_28_lagged_form,safe_plus_form_compact,glmnet_multinomial_ridge,validation,7366,0.8960190443742287,0.581862612001086,0.4219504713703574,0,0,4.072766766223187e-4,0.2373065435786044,0.22988780121015623,0.24624632828337736
model_28_lagged_form,safe_plus_form_compact,glmnet_multinomial_ridge,test,7561,0.8729804319183921,0.5962174315566724,0.43636955279834816,5.605381165919282e-4,0.5,2.6451527575717496e-4,0.2359476259754001,0.22175166916002925,0.23694986588728764
model_28_lagged_form,safe_plus_form_compact,lightgbm,validation,7366,0.8930908332850942,0.5859353787673093,0.4332196745042845,0.0102974828375286,0.4390243902439024,0.00556611458050502,0.2373065435786044,0.23048655514312336,0.2559912994705656
model_28_lagged_form,safe_plus_form_compact,lightgbm,test,7561,0.8728460776947174,0.5950271128157651,0.43741126579979545,0.00112107623318385,0.09523809523809525,0.00277741039545033,0.2359476259754001,0.2191454925939283,0.24397018152761152
model_28_lagged_form,safe_plus_form_draw,multinom,validation,7366,0.8966653608030732,0.5821341297855009,0.4235475606544144,0,0,9.503122454520772e-4,0.2373065435786044,0.22892579316269415,0.24696106540764112
model_28_lagged_form,safe_plus_form_draw,multinom,test,7561,0.8730567412053246,0.5983335537627298,0.43952250639347856,0.00168161434977578,0.75,5.290305515143499e-4,0.2359476259754001,0.21996889894431476,0.23637963405761445
model_28_lagged_form,safe_plus_form_draw,glmnet_multinomial_ridge,validation,7366,0.8973594242555344,0.5826771653543307,0.4229221718831029,0,0,5.430355688297583e-4,0.2373065435786044,0.2286291114886552,0.245307396975644
model_28_lagged_form,safe_plus_form_draw,glmnet_multinomial_ridge,test,7561,0.8745850581465537,0.5960851739187938,0.4368588271748659,0.00112107623318385,0.6666666666666666,3.9677291363576247e-4,0.2359476259754001,0.2205218782336924,0.235813030188174
model_28_lagged_form,safe_plus_form_draw,lightgbm,validation,7366,0.8946528577628257,0.5863426554439316,0.4315376570639371,0.0068649885583524,0.5454545454545454,0.00298669562856367,0.2373065435786044,0.22833037536902304,0.25409597274970475
model_28_lagged_form,safe_plus_form_draw,lightgbm,test,7561,0.8740577519248255,0.5944980822642507,0.4361651250340531,0.00168161434977578,0.3,0.00132257637878587,0.2359476259754001,0.21728644555069887,0.24285944251002564
