model,split,class,tp,fp,fn,tn,precision,recall,f1
multinom,validation,H,2954,1984,429,1681,0.5982179019846091,0.8731894767957434,0.7100108160076913
multinom,validation,D,0,0,1668,5380,0,0,0
multinom,validation,A,1158,952,839,4099,0.5488151658767773,0.5798698047070606,0.5639152666179692
multinom,test,H,3058,2027,375,1830,0.6013765978367748,0.8907660937955141,0.7180089222822258
multinom,test,D,0,0,1724,5566,0,0,0
multinom,test,A,1296,909,837,4248,0.5877551020408164,0.6075949367088608,0.5975103734439834
glmnet_multinomial_ridge,validation,H,2986,2028,397,1637,0.5955325089748703,0.8826485368016553,0.7112063832321067
glmnet_multinomial_ridge,validation,D,0,0,1668,5380,0,0,0
glmnet_multinomial_ridge,validation,A,1135,899,862,4152,0.5580137659783677,0.5683525287931898,0.5631356983378815
glmnet_multinomial_ridge,test,H,3076,2086,357,1771,0.5958930647036033,0.8960093212933294,0.7157649796393252
glmnet_multinomial_ridge,test,D,0,0,1724,5566,0,0,0
glmnet_multinomial_ridge,test,A,1265,863,868,4294,0.5944548872180451,0.593061415846226,0.5937573339591645
lightgbm,validation,H,2955,1958,428,1707,0.6014654996946875,0.8734850724209282,0.7123915139826422
lightgbm,validation,D,3,2,1665,5378,0.6,0.0017985611510791368,0.0035863717872086074
lightgbm,validation,A,1167,963,830,4088,0.547887323943662,0.5843765648472709,0.5655439786770051
lightgbm,test,H,3047,2025,386,1832,0.6007492113564669,0.8875618992135159,0.7165196942974721
lightgbm,test,D,1,4,1723,5562,0.2,5.80046403712297e-4,0.001156737998843262
lightgbm,test,A,1283,930,850,4227,0.5797559873474921,0.6015002344116268,0.5904279797514956
