model,split,truth,prediction,n
multinom,validation,H,H,3192
multinom,validation,H,D,0
multinom,validation,H,A,453
multinom,validation,D,H,1246
multinom,validation,D,D,0
multinom,validation,D,A,562
multinom,validation,A,H,917
multinom,validation,A,D,0
multinom,validation,A,A,1245
multinom,test,H,H,3190
multinom,test,H,D,0
multinom,test,H,A,384
multinom,test,D,H,1235
multinom,test,D,D,0
multinom,test,D,A,549
multinom,test,A,H,870
multinom,test,A,D,0
multinom,test,A,A,1334
glmnet_multinomial_ridge,validation,H,H,3233
glmnet_multinomial_ridge,validation,H,D,0
glmnet_multinomial_ridge,validation,H,A,412
glmnet_multinomial_ridge,validation,D,H,1272
glmnet_multinomial_ridge,validation,D,D,0
glmnet_multinomial_ridge,validation,D,A,536
glmnet_multinomial_ridge,validation,A,H,942
glmnet_multinomial_ridge,validation,A,D,0
glmnet_multinomial_ridge,validation,A,A,1220
glmnet_multinomial_ridge,test,H,H,3210
glmnet_multinomial_ridge,test,H,D,0
glmnet_multinomial_ridge,test,H,A,364
glmnet_multinomial_ridge,test,D,H,1261
glmnet_multinomial_ridge,test,D,D,0
glmnet_multinomial_ridge,test,D,A,523
glmnet_multinomial_ridge,test,A,H,899
glmnet_multinomial_ridge,test,A,D,0
glmnet_multinomial_ridge,test,A,A,1305
lightgbm,validation,H,H,3195
lightgbm,validation,H,D,1
lightgbm,validation,H,A,449
lightgbm,validation,D,H,1227
lightgbm,validation,D,D,1
lightgbm,validation,D,A,580
lightgbm,validation,A,H,887
lightgbm,validation,A,D,0
lightgbm,validation,A,A,1275
lightgbm,test,H,H,3177
lightgbm,test,H,D,1
lightgbm,test,H,A,396
lightgbm,test,D,H,1218
lightgbm,test,D,D,0
lightgbm,test,D,A,566
lightgbm,test,A,H,882
lightgbm,test,A,D,0
lightgbm,test,A,A,1322
