model,split,abs_rating_diff_bucket,n,actual_draw_rate,predicted_draw_rate,mean_pred_D,draw_recall,draw_precision,accuracy
glmnet_multinomial_ridge,test,0-25,592,0.3327702702702703,0,0.2576720495526559,0,0,0.3885135135135135
glmnet_multinomial_ridge,test,25-50,530,0.3018867924528302,0,0.2574926227840432,0,0,0.4490566037735849
glmnet_multinomial_ridge,test,50-100,1076,0.2778810408921933,0,0.25378635300787095,0,0,0.45724907063197023
glmnet_multinomial_ridge,test,100-150,965,0.277720207253886,0,0.24546752743476719,0,0,0.48186528497409326
glmnet_multinomial_ridge,test,150-250,1616,0.25866336633663367,0,0.23179624946810487,0,0,0.5748762376237624
glmnet_multinomial_ridge,test,250-400,1580,0.20759493670886076,0,0.19476722443635897,0,0,0.6987341772151898
glmnet_multinomial_ridge,test,400+,1203,0.09476309226932668,0,0.13081766876316875,0,0,0.8786367414796342
lightgbm,test,0-25,592,0.3327702702702703,0,0.26608350524716173,0,0,0.3902027027027027
lightgbm,test,25-50,530,0.3018867924528302,0,0.2702140401385431,0,0,0.4509433962264151
lightgbm,test,50-100,1076,0.2778810408921933,0,0.2687212082528913,0,0,0.4591078066914498
lightgbm,test,100-150,965,0.277720207253886,0,0.265112511808078,0,0,0.47564766839378236
lightgbm,test,150-250,1616,0.25866336633663367,6.188118811881188e-4,0.23049451916455277,0,0,0.5662128712871287
lightgbm,test,250-400,1580,0.20759493670886076,0,0.17361484741628325,0,0,0.6987341772151898
lightgbm,test,400+,1203,0.09476309226932668,0,0.09422371671462179,0,0,0.8786367414796342
multinom,test,0-25,592,0.3327702702702703,0,0.2631918280706802,0,0,0.3935810810810811
multinom,test,25-50,530,0.3018867924528302,0,0.26261550466123157,0,0,0.4547169811320755
multinom,test,50-100,1076,0.2778810408921933,0,0.25873759545342345,0,0,0.4591078066914498
multinom,test,100-150,965,0.277720207253886,0,0.24895097597746893,0,0,0.48082901554404145
multinom,test,150-250,1616,0.25866336633663367,0,0.23286469910276242,0,0,0.5761138613861386
multinom,test,250-400,1580,0.20759493670886076,0,0.19064434507248212,0,0,0.6987341772151898
multinom,test,400+,1203,0.09476309226932668,0,0.12115474728199045,0,0,0.8786367414796342
glmnet_multinomial_ridge,validation,0-25,616,0.3133116883116883,0,0.2619464888481567,0,0,0.4074675324675325
glmnet_multinomial_ridge,validation,25-50,605,0.2793388429752066,0,0.261462262666107,0,0,0.47107438016528924
glmnet_multinomial_ridge,validation,50-100,1138,0.2609841827768014,0,0.2571451860428945,0,0,0.4806678383128295
glmnet_multinomial_ridge,validation,100-150,1023,0.2961876832844575,0,0.24944338619221157,0,0,0.49364613880742914
glmnet_multinomial_ridge,validation,150-250,1716,0.24533799533799533,0,0.23446790440820858,0,0,0.574009324009324
glmnet_multinomial_ridge,validation,250-400,1535,0.21954397394136807,0,0.20002585558667352,0,0,0.6677524429967426
glmnet_multinomial_ridge,validation,400+,982,0.08961303462321792,0,0.13488724453490156,0,0,0.8706720977596741
lightgbm,validation,0-25,616,0.3133116883116883,0,0.2722767439134082,0,0,0.4042207792207792
lightgbm,validation,25-50,605,0.2793388429752066,0,0.2760269353215916,0,0,0.4644628099173554
lightgbm,validation,50-100,1138,0.2609841827768014,0,0.27315286818937,0,0,0.48154657293497366
lightgbm,validation,100-150,1023,0.2961876832844575,9.775171065493646e-4,0.27067302463334736,0.0033003300330033004,1,0.5063538611925709
lightgbm,validation,150-250,1716,0.24533799533799533,0.00058275058275058275,0.23447659063731544,0,0,0.5798368298368298
lightgbm,validation,250-400,1535,0.21954397394136807,0,0.18188828617941932,0,0,0.6677524429967426
lightgbm,validation,400+,982,0.08961303462321792,0,0.09942418490764755,0,0,0.8706720977596741
multinom,validation,0-25,616,0.3133116883116883,0,0.2679651707526459,0,0,0.4074675324675325
multinom,validation,25-50,605,0.2793388429752066,0,0.2672581159587506,0,0,0.4644628099173554
multinom,validation,50-100,1138,0.2609841827768014,0,0.26234412456607886,0,0,0.48154657293497366
multinom,validation,100-150,1023,0.2961876832844575,0,0.2533236493210542,0,0,0.4868035190615836
multinom,validation,150-250,1716,0.24533799533799533,0,0.23589158596252288,0,0,0.5705128205128205
multinom,validation,250-400,1535,0.21954397394136807,0,0.19656646330821706,0,0,0.6677524429967426
multinom,validation,400+,982,0.08961303462321792,0,0.1250877631579382,0,0,0.8706720977596741
