model,split,source_match_id,date,home_team_clean,away_team_clean,tournament,country,city,match_result,pred_class,pred_H,pred_D,pred_A,max_pred_prob,pred_D_rank,draw_margin_to_top,rating_diff,abs_rating_diff,neutral,is_world_cup,is_world_cup_qualifier,is_continental_tournament,is_continental_qualifier,is_friendly
multinom,test,2018_06_09_sweden_peru_friendly,2018-06-09,sweden,peru,Friendly,Sweden,Gothenburg,D,H,0.33746015009841457,0.3259060380990671,0.33663381180251833,0.33746015009841457,3,0.011554111999347472,-124,124,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2019_10_10_niger_zambia_friendly,2019-10-10,niger,zambia,Friendly,Niger,Niamey,D,H,0.3389214986664694,0.32538728239339004,0.3356912189401405,0.3389214986664694,3,0.01353421627307938,-137,137,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_09_06_kyrgyzstan_palestine_friendly,2018-09-06,kyrgyzstan,palestine,Friendly,Kyrgyzstan,Bishkek,D,H,0.33894263682825304,0.3228774756956558,0.3381798874760911,0.33894263682825304,3,0.01606516113259726,-140,140,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_09_10_kuwait_iraq_friendly,2018-09-10,kuwait,iraq,Friendly,Kuwait,Al Farwaniyah,D,A,0.33051867886909997,0.3264115251138275,0.3430697960170726,0.3430697960170726,3,0.01665827090324512,-144,144,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2022_06_08_philippines_yemen_afc_asian_cup_qualification,2022-06-08,philippines,yemen,AFC Asian Cup qualification,Mongolia,Ulaanbaatar,D,A,0.3272225949809887,0.32586361512862466,0.3469137898903867,0.3469137898903867,3,0.02105017476176202,-75,75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
lightgbm,test,2020_11_11_turkey_croatia_friendly,2020-11-11,turkey,croatia,Friendly,Turkey,Istanbul,D,A,0.33931959663159394,0.3184996818997144,0.34218072146869166,0.34218072146869166,3,0.02368103956897727,-135,135,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2022_06_05_united_states_uruguay_friendly,2022-06-05,united_states,uruguay,Friendly,United States,Kansas City,D,H,0.3535270186299143,0.32732333878477915,0.3191496425853065,0.3535270186299143,2,0.026203679845135164,-107,107,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2026_03_28_mexico_portugal_friendly,2026-03-28,mexico,portugal,Friendly,Mexico,Mexico City,D,H,0.353146898576482,0.32626102980825994,0.320592071615258,0.353146898576482,2,0.026885868768222076,-119,119,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2023_01_28_united_states_colombia_friendly,2023-01-28,united_states,colombia,Friendly,United States,Carson,D,H,0.35528221474871935,0.32731566505425924,0.3174021201970214,0.35528221474871935,2,0.027966549694460108,-114,114,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2020_11_11_turkey_croatia_friendly,2020-11-11,turkey,croatia,Friendly,Turkey,Istanbul,D,A,0.3292855311368148,0.3208505653635234,0.34986390349966173,0.34986390349966173,3,0.029013338136138322,-135,135,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2019_11_18_argentina_uruguay_friendly,2019-11-18,argentina,uruguay,Friendly,Israel,Tel Aviv,D,A,0.3390746944930474,0.31533738308382314,0.34558792242312947,0.34558792242312947,3,0.030250539339306326,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
glmnet_multinomial_ridge,test,2020_11_11_turkey_croatia_friendly,2020-11-11,turkey,croatia,Friendly,Turkey,Istanbul,D,A,0.3419049307048899,0.31375559475621234,0.3443394745388978,0.3443394745388978,3,0.030583879782685452,-135,135,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_11_16_united_arab_emirates_bolivia_friendly,2018-11-16,united_arab_emirates,bolivia,Friendly,United Arab Emirates,Dubai,D,A,0.33275860738447055,0.3182436742203968,0.3489977183951327,0.3489977183951327,3,0.03075404417473593,-158,158,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
glmnet_multinomial_ridge,test,2018_06_09_sweden_peru_friendly,2018-06-09,sweden,peru,Friendly,Sweden,Gothenburg,D,H,0.3494311184496075,0.3182100734657636,0.3323588080846289,0.3494311184496075,3,0.031221044983843926,-124,124,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2018_10_16_united_states_peru_friendly,2018-10-16,united_states,peru,Friendly,United States,East Hartford,D,A,0.319134043182048,0.3248070432789619,0.35605891353899,0.35605891353899,2,0.03125187026002807,-143,143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2025_11_13_canada_ecuador_friendly,2025-11-13,canada,ecuador,Friendly,Canada,Toronto,D,H,0.34600438700085134,0.31433469257337054,0.3396609204257781,0.34600438700085134,3,0.0316696944274808,-141,141,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2023_11_16_venezuela_ecuador_fifa_world_cup_qualification,2023-11-16,venezuela,ecuador,FIFA World Cup qualification,Venezuela,Maturín,D,H,0.3443249327149367,0.31245780787206773,0.34321725941299563,0.3443249327149367,3,0.031867124842868966,-122,122,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
multinom,test,2019_11_18_republic_of_ireland_denmark_uefa_euro_qualification,2019-11-18,republic_of_ireland,denmark,UEFA Euro qualification,Republic of Ireland,Dublin,D,A,0.3371920092670655,0.3154397470663843,0.3473682436665502,0.3473682436665502,3,0.031928496600165945,-170,170,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
multinom,test,2019_03_26_norway_sweden_uefa_euro_qualification,2019-03-26,norway,sweden,UEFA Euro qualification,Norway,Oslo,D,H,0.3446850900358616,0.3123467710842136,0.34296813887992483,0.3446850900358616,3,0.032338318951648015,-166,166,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
glmnet_multinomial_ridge,test,2018_10_16_united_states_peru_friendly,2018-10-16,united_states,peru,Friendly,United States,East Hartford,D,A,0.3323405029167198,0.3175349719868365,0.35012452509644376,0.35012452509644376,3,0.03258955310960726,-143,143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
