model,split,match_result,n,mean_pred_D,median_pred_D,q10_pred_D,q25_pred_D,q75_pred_D,q90_pred_D
glmnet_multinomial_ridge,test,H,3433,0.19625479903053702,0.2084391798546237,0.09751024564339242,0.14595817413120904,0.2529125028906662,0.27650878640323623
glmnet_multinomial_ridge,test,D,1724,0.23706087980944518,0.24741881622411305,0.17063577339917912,0.21250168471471165,0.27162793623796366,0.2895890220690672
glmnet_multinomial_ridge,test,A,2133,0.23780201689624855,0.24845523974377937,0.17070287726516026,0.2138984884405441,0.2730545877190286,0.2897089459567304
lightgbm,test,H,3433,0.19004069042276941,0.20724361960954168,0.055236823280644894,0.12325052843452064,0.26587147225881885,0.2912064224633384
lightgbm,test,D,1724,0.23847402260302958,0.25510828232600985,0.1445753430811671,0.21200908607558755,0.28414296520250604,0.2996116529255456
lightgbm,test,A,2133,0.22975484135046376,0.25213076931256073,0.11202181090591962,0.19146829960099188,0.2819057881745084,0.3003883312195706
multinom,test,H,3433,0.19550247589013006,0.20751389844327475,0.08808092496348068,0.13889553366409085,0.2574928247811485,0.28363036234501066
multinom,test,D,1724,0.23880591226691464,0.2500705671022502,0.16298157602738209,0.21137013619141792,0.27755514276683313,0.2959120814597915
multinom,test,A,2133,0.23697064750224409,0.2503391096183742,0.15667534753144974,0.2070429990580378,0.2776786268794965,0.29595159390777986
glmnet_multinomial_ridge,validation,H,3383,0.20647634743458548,0.2190673362787128,0.10829143898147053,0.16048785886859387,0.26187673257121624,0.2824297485801011
glmnet_multinomial_ridge,validation,D,1668,0.24382354840426929,0.2557107337141159,0.17609271224879797,0.21864278495713657,0.2765961775135512,0.2914753618165079
glmnet_multinomial_ridge,validation,A,1997,0.24444687384225908,0.25703506850671975,0.17665781837372807,0.2229984187244428,0.2771034462082248,0.2921363416359938
lightgbm,validation,H,3383,0.20353888031736567,0.2246175816759803,0.0668014202054572,0.1421806804291531,0.27468060247118964,0.2994192131376816
lightgbm,validation,D,1668,0.24837491019601915,0.26584137130234237,0.15527643529106994,0.22117535579464787,0.29191631796064055,0.30418250722418866
lightgbm,validation,A,1997,0.24035263979930008,0.2622708736288047,0.12851490578396263,0.21618028549911344,0.291387095297632,0.3040986538850781
multinom,validation,H,3383,0.20660461154956788,0.2202387218638487,0.09950821234241328,0.1555049377803941,0.2673614828200829,0.28912454034072005
multinom,validation,D,1668,0.24622034104443757,0.2591334042370642,0.17073319637891993,0.2196532237239796,0.28250917382129626,0.2981005934128753
multinom,validation,A,1997,0.24458869196069483,0.259302055385989,0.16659214124503685,0.21711174900447155,0.28300949830044547,0.2991342576325415
