feature_variant,model,split,class,tp,fp,fn,tn,precision,recall,f1
baseline_safe,multinom,validation,H,2954,1984,429,1681,0.5982179019846091,0.8731894767957434,0.7100108160076913
baseline_safe,multinom,validation,D,0,0,1668,5380,0,0,0
baseline_safe,multinom,validation,A,1158,952,839,4099,0.5488151658767773,0.5798698047070606,0.5639152666179692
baseline_safe,multinom,test,H,3058,2027,375,1830,0.6013765978367748,0.8907660937955141,0.7180089222822258
baseline_safe,multinom,test,D,0,0,1724,5566,0,0,0
baseline_safe,multinom,test,A,1296,909,837,4248,0.5877551020408164,0.6075949367088608,0.5975103734439834
baseline_safe,glmnet_multinomial_ridge,validation,H,2986,2028,397,1637,0.5955325089748703,0.8826485368016553,0.7112063832321067
baseline_safe,glmnet_multinomial_ridge,validation,D,0,0,1668,5380,0,0,0
baseline_safe,glmnet_multinomial_ridge,validation,A,1135,899,862,4152,0.5580137659783677,0.5683525287931898,0.5631356983378815
baseline_safe,glmnet_multinomial_ridge,test,H,3076,2086,357,1771,0.5958930647036033,0.8960093212933294,0.7157649796393252
baseline_safe,glmnet_multinomial_ridge,test,D,0,0,1724,5566,0,0,0
baseline_safe,glmnet_multinomial_ridge,test,A,1265,863,868,4294,0.5944548872180451,0.593061415846226,0.5937573339591645
baseline_safe,lightgbm,validation,H,2955,1958,428,1707,0.6014654996946875,0.8734850724209282,0.7123915139826422
baseline_safe,lightgbm,validation,D,3,2,1665,5378,0.6,0.0017985611510791368,0.0035863717872086074
baseline_safe,lightgbm,validation,A,1167,963,830,4088,0.547887323943662,0.5843765648472709,0.5655439786770051
baseline_safe,lightgbm,test,H,3047,2025,386,1832,0.6007492113564669,0.8875618992135159,0.7165196942974721
baseline_safe,lightgbm,test,D,1,4,1723,5562,0.2,5.80046403712297e-4,0.001156737998843262
baseline_safe,lightgbm,test,A,1283,930,850,4227,0.5797559873474921,0.6015002344116268,0.5904279797514956
draw_abs_only,multinom,validation,H,2963,1999,420,1666,0.5971382507053608,0.8758498374224062,0.7101258238466148
draw_abs_only,multinom,validation,D,0,0,1668,5380,0,0,0
draw_abs_only,multinom,validation,A,1150,936,847,4115,0.551294343240652,0.5758637956935403,0.5633112907176097
draw_abs_only,multinom,test,H,3066,2045,367,1812,0.5998826061436118,0.8930964171278765,0.7176966292134831
draw_abs_only,multinom,test,D,1,0,1723,5566,1,5.80046403712297e-4,0.0011594202898550724
draw_abs_only,multinom,test,A,1286,892,847,4265,0.5904499540863177,0.602906704172527,0.596613314776154
draw_abs_only,glmnet_multinomial_ridge,validation,H,3005,2058,378,1607,0.5935216274935808,0.8882648536801655,0.7115794458915463
draw_abs_only,glmnet_multinomial_ridge,validation,D,0,0,1668,5380,0,0,0
draw_abs_only,glmnet_multinomial_ridge,validation,A,1117,868,880,4183,0.56272040302267,0.5593390085127692,0.5610246107483676
draw_abs_only,glmnet_multinomial_ridge,test,H,3090,2118,343,1739,0.5933179723502304,0.9000873871249636,0.7151950005786367
draw_abs_only,glmnet_multinomial_ridge,test,D,0,0,1724,5566,0,0,0
draw_abs_only,glmnet_multinomial_ridge,test,A,1247,835,886,4322,0.5989433237271854,0.5846225972808251,0.5916963226571768
draw_abs_only,lightgbm,validation,H,2956,1953,427,1712,0.6021592992462823,0.8737806680461129,0.712976362759286
draw_abs_only,lightgbm,validation,D,3,2,1665,5378,0.6,0.0017985611510791368,0.0035863717872086074
draw_abs_only,lightgbm,validation,A,1175,959,822,4092,0.5506091846298032,0.5883825738607912,0.5688695231178892
draw_abs_only,lightgbm,test,H,3038,2034,395,1823,0.5989747634069401,0.8849402854646082,0.71440329218107
draw_abs_only,lightgbm,test,D,0,2,1724,5564,0,0,0
draw_abs_only,lightgbm,test,A,1280,936,853,4221,0.5776173285198556,0.6000937646507267,0.5886410669119339
draw_smooth,multinom,validation,H,2969,1994,414,1671,0.5982268789038888,0.8776234111735146,0.711478552600048
draw_smooth,multinom,validation,D,0,1,1668,5379,0,0,0
draw_smooth,multinom,validation,A,1152,932,845,4119,0.5527831094049904,0.5768652979469204,0.5645675079637344
draw_smooth,multinom,test,H,3067,2044,366,1813,0.6000782625709254,0.8933877075444218,0.7179307116104869
draw_smooth,multinom,test,D,0,0,1724,5566,0,0,0
draw_smooth,multinom,test,A,1284,895,849,4262,0.5892611289582377,0.6019690576652602,0.5955473098330241
draw_smooth,glmnet_multinomial_ridge,validation,H,3005,2067,378,1598,0.5924684542586751,0.8882648536801655,0.710821998817268
draw_smooth,glmnet_multinomial_ridge,validation,D,0,1,1668,5379,0,0,0
draw_smooth,glmnet_multinomial_ridge,validation,A,1110,865,887,4186,0.5620253164556962,0.5558337506259389,0.5589123867069486
draw_smooth,glmnet_multinomial_ridge,test,H,3095,2126,338,1731,0.5927983144991381,0.9015438392076901,0.7152761728680379
draw_smooth,glmnet_multinomial_ridge,test,D,0,0,1724,5566,0,0,0
draw_smooth,glmnet_multinomial_ridge,test,A,1241,828,892,4329,0.5998066698888351,0.5818096577590248,0.5906711089957163
draw_smooth,lightgbm,validation,H,2959,1964,424,1701,0.6010562665041641,0.8746674549216672,0.7124969901276186
draw_smooth,lightgbm,validation,D,5,2,1663,5378,0.7142857142857143,0.002997601918465228,0.005970149253731343
draw_smooth,lightgbm,validation,A,1168,950,829,4101,0.5514636449480642,0.584877315973961,0.5676792223572297
draw_smooth,lightgbm,test,H,3043,2046,390,1811,0.5979563764983298,0.8863967375473347,0.7141516076038489
draw_smooth,lightgbm,test,D,0,4,1724,5562,0,0,0
