source,feature_variant,model,split,n,log_loss,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,mean_pred_D,median_pred_D,mean_max_pred_prob,mean_true_class_prob
model_28,safe_plus_form_compact,multinom,test,7289,0.8730388962692729,0.5980244203594457,0.44014355708032354,0.0017401392111368909,0.375,0.0010975442447523666,0.236520784744135,0.22160293251168228,0.23853456177653637,0.6145657399588776,0.4907622460626534
model_26,draw_smooth,multinom,test,7290,0.8743253739044755,0.5968449931412895,0.437826007147837,0,0,0,0.2364883401920439,0.21692128117853485,0.2388039346675753,0.6168367414023577,0.4929739506677208
model_28,safe_plus_form_compact,lightgbm,test,7289,0.8744001616802515,0.5948689806557826,0.43813718928928486,0.002320185614849188,0.23529411764705882,0.002332281520098779,0.236520784744135,0.21908567198544518,0.24303454633166197,0.6132420502653266,0.4920300673418315
model_26,draw_smooth_neutral,multinom,test,7290,0.8744493384833721,0.5960219478737997,0.43685389550684217,0,0,0,0.2364883401920439,0.2168247363895781,0.23894882709522697,0.6169814027647277,0.4932203131220081
model_26,draw_abs_only,multinom,test,7290,0.8748272830694687,0.597119341563786,0.438489788093164,5.80046403712297e-4,1,1.3717421124828533e-4,0.2364883401920439,0.2172076103160889,0.23718527017700347,0.6175161673034953,0.492641253528016
model_28,safe_plus_form_compact,glmnet_multinomial_ridge,test,7289,0.8750443063802162,0.5951433667169708,0.4361827171972936,5.80046403712297e-4,0.5,2.7438606118809165e-4,0.236520784744135,0.222327373405598,0.2377228957232856,0.6030599237212367,0.4837577753900198
model_28,baseline_safe,multinom,test,7289,0.875196819225856,0.5974756482370696,0.4385886600736946,0,0,0,0.236520784744135,0.2199202002468841,0.23774619593344692,0.6161115875363053,0.49043598596049803
model_28,safe_plus_form_draw,multinom,test,7289,0.8753349616107703,0.5970640691452874,0.43904038921015986,0.0017401392111368909,0.75,5.487721223761833e-4,0.236520784744135,0.22047982867884008,0.23681302496849854,0.615597156804919,0.49038727208092786
model_24,model_24_baseline_safe,multinom,test,7290,0.8753895248729078,0.5972565157750342,0.4385064319087364,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,multinom,test,7290,0.8753895248729078,0.5972565157750342,0.4385064319087364,0,0,0,0.2364883401920439,0.21787651352555065,0.2353181598278713,0.6183788848173547,0.4914415264379508
model_26,draw_smooth,glmnet_multinomial_ridge,test,7290,0.875692784985396,0.5947873799725651,0.4353157606212514,0,0,0,0.2364883401920439,0.21688538622228584,0.23787737335344863,0.606796291078644,0.48668156085741127
model_26,draw_smooth_neutral,glmnet_multinomial_ridge,test,7290,0.8758147127553768,0.5945130315500686,0.43483039898943593,0,0,0,0.2364883401920439,0.21680330313228777,0.2380205236715588,0.607158495864808,0.4868819634843656
model_28,baseline_safe,lightgbm,test,7289,0.875921884613269,0.5922623130744958,0.4346938322259926,0.001160092807424594,0.14285714285714285,0.0019207024283166415,0.236520784744135,0.21652734978374522,0.24275787426041678,0.6173368619190583,0.4937581082496775
model_26,draw_abs_only,glmnet_multinomial_ridge,test,7290,0.876007218258254,0.5949245541838134,0.4356304410786045,0,0,0,0.2364883401920439,0.21714112632770372,0.23646318877006908,0.6070493391502768,0.48632683559479806
model_24,model_24_baseline_safe,lightgbm,test,7290,0.876087921758668,0.5941015089163237,0.43603480401593697,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,lightgbm,test,7290,0.876087921758668,0.5941015089163237,0.43603480401593697,5.80046403712297e-4,0.2,6.858710562414266e-4,0.2364883401920439,0.21311467514259663,0.2399085730922686,0.6194402891223086,0.49455625627013966
model_26,draw_smooth,lightgbm,test,7290,0.8764029017045356,0.5916323731138546,0.43358556281175253,0,0,5.486968449931413e-4,0.2364883401920439,0.21386359421620432,0.2402124024786142,0.6200544984579084,0.49503229820533223
model_28,baseline_safe,glmnet_multinomial_ridge,test,7289,0.876526619135658,0.5954177527781589,0.4364584905041493,0,0,0,0.236520784744135,0.22040776758715522,0.236895138079725,0.6047172338808898,0.483690516938566
model_28,safe_plus_form_draw,lightgbm,test,7289,0.8765476632145999,0.592811085196872,0.435008449691044,5.80046403712297e-4,0.07692307692307693,0.0017835093977225957,0.236520784744135,0.2169866173755049,0.24224764663939938,0.616508560195435,0.49322107212755667
model_26,draw_abs_only,lightgbm,test,7290,0.8765544259034995,0.592318244170096,0.434348119697668,0,0,2.7434842249657066e-4,0.2364883401920439,0.21312961249994825,0.2393141387033273,0.6193541627051378,0.4943789052545935
model_24,model_24_baseline_safe,glmnet_multinomial_ridge,test,7290,0.8766585783555388,0.5954732510288065,0.4365074378661633,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,glmnet_multinomial_ridge,test,7290,0.8766585783555388,0.5954732510288065,0.4365074378661633,0,0,0,0.2364883401920439,0.2180613695340213,0.23397816016107165,0.6068599768487569,0.4845762517192283
model_28,safe_plus_form_draw,glmnet_multinomial_ridge,test,7289,0.8766704832994874,0.5947317876251886,0.4364033378227288,0.001160092807424594,0.6666666666666666,4.1157909178213747e-4,0.236520784744135,0.2210486515111316,0.23628407084002015,0.6041738022268526,0.4836499052142913
model_26,draw_smooth_neutral,lightgbm,test,7290,0.8770637286652396,0.5939643347050755,0.4351712064511603,0,0,2.7434842249657066e-4,0.2364883401920439,0.21338979611210748,0.23983595513441255,0.6198175598911837,0.49490860709217654
model_28,safe_plus_form_compact,lightgbm,validation,6820,0.8915169777591728,0.5856304985337243,0.43001525887748665,0.004932182490752158,0.34782608695652173,0.003372434017595308,0.2378299120234604,0.230767556867657,0.25599934240790284,0.5934110809232885,0.47813611482351515
