model_family,config_id,feature_variant,split,class,tp,fp,fn,tn,precision,recall,f1
lightgbm,current_final,safe_plus_form_compact,validation,H,2853,1901,419,1647,0.600126209507783,0.8719437652811736,0.7109394467979068
lightgbm,current_final,safe_plus_form_compact,validation,D,12,15,1610,5183,0.4444444444444444,0.007398273736128237,0.014554275318374773
lightgbm,current_final,safe_plus_form_compact,validation,A,1120,919,806,3975,0.5492888670917117,0.5815160955347871,0.5649432534678436
lightgbm,slower_small,safe_plus_form_compact,validation,H,2853,1886,419,1662,0.6020257438278118,0.8719437652811736,0.7122706278866558
lightgbm,slower_small,safe_plus_form_compact,validation,D,10,13,1612,5185,0.43478260869565216,0.006165228113440197,0.012158054711246199
lightgbm,slower_small,safe_plus_form_compact,validation,A,1136,922,790,3972,0.5519922254616132,0.5898234683281413,0.5702811244979921
lightgbm,faster_small,safe_plus_form_compact,validation,H,2855,1884,417,1664,0.6024477737919393,0.8725550122249389,0.7127699413306704
lightgbm,faster_small,safe_plus_form_compact,validation,D,8,9,1614,5189,0.47058823529411764,0.004932182490752158,0.009762050030506406
lightgbm,faster_small,safe_plus_form_compact,validation,A,1129,935,797,3959,0.5469961240310077,0.5861889927310489,0.5659147869674185
lightgbm,shallower,safe_plus_form_compact,validation,H,2856,1896,416,1652,0.601010101010101,0.8728606356968215,0.7118644067796611
lightgbm,shallower,safe_plus_form_compact,validation,D,16,17,1606,5181,0.48484848484848486,0.009864364981504316,0.01933534743202417
lightgbm,shallower,safe_plus_form_compact,validation,A,1125,910,801,3984,0.5528255528255528,0.5841121495327103,0.5680383741479424
lightgbm,deeper,safe_plus_form_compact,validation,H,2856,1896,416,1652,0.601010101010101,0.8728606356968215,0.7118644067796611
lightgbm,deeper,safe_plus_form_compact,validation,D,8,9,1614,5189,0.47058823529411764,0.004932182490752158,0.009762050030506406
lightgbm,deeper,safe_plus_form_compact,validation,A,1127,924,799,3970,0.5494880546075085,0.5851505711318795,0.5667588634649232
lightgbm,more_regular,safe_plus_form_compact,validation,H,2863,1893,409,1655,0.6019764507989908,0.875,0.7132536123567514
lightgbm,more_regular,safe_plus_form_compact,validation,D,9,9,1613,5189,0.5,0.005548705302096177,0.01097560975609756
lightgbm,more_regular,safe_plus_form_compact,validation,A,1128,918,798,3976,0.5513196480938416,0.5856697819314641,0.5679758308157099
lightgbm,less_regular,safe_plus_form_compact,validation,H,2856,1896,416,1652,0.601010101010101,0.8728606356968215,0.7118644067796611
lightgbm,less_regular,safe_plus_form_compact,validation,D,7,9,1615,5189,0.4375,0.004315659679408138,0.008547008547008546
lightgbm,less_regular,safe_plus_form_compact,validation,A,1127,925,799,3969,0.5492202729044834,0.5851505711318795,0.5666163901458019
lightgbm,compact_robust,safe_plus_form_compact,validation,H,2856,1878,416,1670,0.6032953105196451,0.8728606356968215,0.713464901324007
lightgbm,compact_robust,safe_plus_form_compact,validation,D,9,17,1613,5181,0.34615384615384615,0.005548705302096177,0.010922330097087379
lightgbm,compact_robust,safe_plus_form_compact,validation,A,1132,928,794,3966,0.5495145631067961,0.5877466251298027,0.5679879578524838
lightgbm,l2_regularized,safe_plus_form_compact,validation,H,2855,1893,417,1655,0.6013058129738837,0.8725550122249389,0.7119700748129675
lightgbm,l2_regularized,safe_plus_form_compact,validation,D,14,18,1608,5180,0.4375,0.008631319358816275,0.016928657799274487
lightgbm,l2_regularized,safe_plus_form_compact,validation,A,1123,917,803,3977,0.5504901960784314,0.5830737279335411,0.5663136661623803
lightgbm,l1_l2_regularized,safe_plus_form_compact,validation,H,2852,1885,420,1663,0.6020688199282246,0.871638141809291,0.7121987763765764
lightgbm,l1_l2_regularized,safe_plus_form_compact,validation,D,19,20,1603,5178,0.48717948717948717,0.011713933415536375,0.02287778446718844
lightgbm,l1_l2_regularized,safe_plus_form_compact,validation,A,1127,917,799,3977,0.5513698630136986,0.5851505711318795,0.5677581863979848
