config_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,best_iteration,validation_log_loss,validation_brier_score,validation_accuracy,validation_macro_f1
current_final,0.03,15,4,100,1,1,0,0,202,0.8921842420989353,0.5258758769827774,0.5843108504398827,0.4301456585280417
slower_small,0.02,15,4,100,0.9,0.9,0,0,311,0.8917270201375737,0.5256928711098847,0.5863636363636363,0.4315699356986314
faster_small,0.05,15,4,100,0.9,0.9,0,0,113,0.8918114367080853,0.5257664616551994,0.5853372434017595,0.4294822594428651
shallower,0.03,7,3,100,0.9,0.9,0,0,333,0.8920301697501312,0.5259021816846638,0.5860703812316715,0.4330793761198759
deeper,0.03,31,5,100,0.9,0.9,0,0,139,0.8926391498730795,0.5261030223265495,0.5851906158357771,0.4294617734250302
more_regular,0.03,15,4,200,0.8,0.8,0,1,190,0.8922285387799184,0.525946970993414,0.5865102639296188,0.430735017642853
less_regular,0.03,31,5,50,0.9,0.9,0,0,140,0.8928751940458469,0.5262009730696926,0.5850439882697948,0.4289814402562786
compact_robust,0.02,15,4,200,0.8,0.8,0,1,314,0.891951084082035,0.5258048241470699,0.5860703812316715,0.4307917297578594
l2_regularized,0.03,15,4,100,0.9,0.9,0,5,238,0.8920974006905188,0.5258861423673309,0.5853372434017595,0.4317374662582074
l1_l2_regularized,0.03,15,4,100,0.9,0.9,0.1,1,244,0.8920244791009713,0.5258431508446049,0.5862170087976539,0.4342782490805832
